Pesca
Rede de arrasto
Força
Velocidade terminal
Dinâmica dos fluidos
Fluido
Líquido
Gás
Atrito
Pressão
Velocidade
Usain Bolt
Aerodinâmica automotiva
Equação do arrasto
Ir para cima
International Standard Book Number
Digital object identifier
Física
