Física
Observação
Fenômeno
Dados
Universo
Experiência de Cavendish
Grande Colisor de Hádrons
Sócrates
Empírico
Educador
Platão
Aristóteles
Método científico
Cientista
Galileu Galilei
Método indutivo
Francis Bacon
Descartes
Dedução
Bunge
Física teórica
International Standard Book Number
