1 de julho
1840
Dublin
25 de novembro
1913
Cambridge
Britânico
Reino Unido da Grã-Bretanha e Irlanda
Alma mater
Universidade de Dublin
Astrônomo
Matemático
Professor universitário
Escritor
Membro da Royal Society
Astronomia
Irlandeses
William Parsons
Professor Lowndeano de Astronomia e Geometria
Wikiquote
Wikisource
Projeto Gutenberg
Base Virtual Internacional de Autoridade
Biblioteca Apostólica Vaticana
Bibsys
Museu Britânico
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Catálogo de autoridades de nomes e títulos da Catalunha
CiNii
Discogs
Faceted Application of Subject Terminology
Gemeinsame Normdatei
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
LibriVox
Biblioteca Nacional da Austrália
Biblioteca Nacional da Grécia
National Portrait Gallery
Biblioteca Real dos Países Baixos
Oxford University Press
Scopus (base de dados bibliográfica)
Sistema Universitário de Documentação
WikiTree
Open Library
Biblioteca Nacional da Polónia
Biblioteca Nacional do País de Gales
