Polinômio de Lagrange
Função de Lagrange
Mecânica de Lagrange
Multiplicadores de Lagrange
Pontos de Lagrange
Teorema de Lagrange (teoria dos grupos)
Os 72 nomes na Torre Eiffel
25 de janeiro
1736
Turim
10 de abril
1813
Paris
Piemonte
Panteão (Paris)
Italianos
Reino da Sardenha
Alma mater
Universidade de Turim
Matemático
Astrônomo
Físico
Político
Escritor
Professor universitário
Membro da Royal Society
Escola Normal Superior de Paris
Leonhard Euler
Jean-Baptiste Joseph Fourier
Giovanni Plana
Siméon Denis Poisson
Sophie Germain
École Polytechnique
Matemática
Nobreza Napoleônica
Sardenha
Napoleão Bonaparte
Legião de Honra
Análise matemática
Geometria
Mecânica
Mecânica clássica
Deslocamento
Velocidade
Velocidade escalar
Aceleração
Aceleração centrípeta
Movimento uniforme
Movimento uniformemente variado
Movimento retilíneo
Movimento parabólico
Movimento circular
Movimento circular uniforme
Movimento curvilíneo
Movimento harmônico simples
Movimento harmônico complexo
Força
Inércia
Produto de inércia
Leis de Newton
Primeira Lei de Newton
Segunda Lei de Newton
Terceira Lei de Newton
Equações de movimento
Ressonância
História da física
Energia cinética
Energia potencial
Trabalho (física)
Lei da conservação da energia
Força conservativa
Força de contato
Potência
Retropropulsão
Princípio de Hamilton
Centro de massas
Corpo rígido
Momento linear
Conservação do momento linear
Equilíbrio dinâmico
Princípio de d'Alembert
Sistema massa-mola
Impulso
Colisão elástica
Colisão inelástica
Posição angular
Deslocamento angular
Velocidade angular
Aceleração angular
Momento de inércia
Torque
Momento angular
Sistema dinâmico
Sistema de equações lineares
Sistema dinâmico não linear
Sistema hamiltoniano
Teoria do caos
Mecânica newtoniana
Mecânica hamiltoniana
Mecânica clássica de Koopman-von Neumann
Equação de Udwadia-Kalaba
Mecânica de Routhian
Lei da gravitação universal
Princípio da superposição
Constante gravitacional universal
Velocidade de escape
Leis de Kepler
Princípio da equivalência
Isaac Newton
Pierre-Simon Laplace
Galileu Galilei
William Rowan Hamilton
Johannes Kepler
Cálculo diferencial
Probabilidade
Som
Mecânica dos fluidos
Academia de Ciências de Berlim
Lua
Terra
Problema de Euler dos três corpos
Sol
Centro de gravidade
Academia Francesa de Ciências
Rei da Sardenha
Londres
Berlim
D’Alembert
Frederico o Grande
Louvre
Revolução
Maria Antonieta
Tomada da Bastilha
Revolução Francesa
Inflação
Sistema Solar
Teorema do valor médio
Mathematics Genealogy Project
Edmund Robertson
MacTutor History of Mathematics archive
Universidade de St. Andrews
Biblioteca Nacional da Alemanha
Base Virtual Internacional de Autoridade
Biblioteca Apostólica Vaticana
Bibsys
Biblioteca Nacional do Chile
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Catálogo de autoridades de nomes e títulos da Catalunha
Consortium of European Research Libraries
CiNii
Encyclopædia Britannica
Faceted Application of Subject Terminology
Gemeinsame Normdatei
Projeto Gutenberg
Istituto centrale per il catalogo unico delle biblioteche italiane e per le informazioni bibliografiche
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
Biblioteca Nacional da Dieta
Biblioteca Nacional da Austrália
Biblioteca Nacional da Grécia
Notable Names Database
Biblioteca Real dos Países Baixos
Sistema Universitário de Documentação
Enciclopédia Treccani
WikiTree
Biblioteca Nacional do Brasil
Biblioteca Nacional de Portugal
Open Library
Palazzo Castellani (Florença)
Biblioteca Nacional da Polónia
