Física
Massa
Sistema físico
Força
Corpo (física)
Torque
Mecânica clássica
Corpo rígido
Leis de Newton
Centro de gravidade
Campo gravitacional
Densidade
Centroide
Grécia
Arquimedes
Engenheiro
Físico
Matemático
Alavanca
Fluido
Eixo de simetria
Planímetro
Área
Dimensão
Sistema de coordenadas
Vetor (matemática)
Posição
Vetor unitário
Volume
Infinitesimal
Velocidade
Aceleração
Momento linear
Simetria
Polígono regular
Cálculo
Geometria
Quadrado
Diagonais de um polígono
Reta
Vértice
Ponto médio
Ângulo
Aresta
Sistema de coordenadas cartesiano
Paralelogramo
Circunferência
Triângulo
Mediana (geometria)
Intersecção diagonal
Geometria plana
Força peso
Ir para cima
Gravidade
Peso
