Leis de Kepler
27 de dezembro
1571
Weil der Stadt
15 de novembro
1630
Ratisbona
Baviera
Alemanha
Ducado de Württemberg
Katharina Kepler
Alma mater
Universidade de Tübingen
Naturalista
Astrólogo
Matemático
Astrônomo
Musicólogo
Físico
Teórico musical
Filósofo
Escritor
Professor
Universidade de Graz
Rodolfo II do Sacro Império Romano-Germânico
Linz
Michael Maestlin
Universidade de Linz
Astronomia
Astrologia
Matemática
Filosofia natural
Astronomia Nova
Harmonices Mundi
Epitome Astronomiae Copernicanae
Luteranismo
Alemães
Revolução científica
Mecânica celeste
Epítome da Astronomia de Copérnico
Gravitação universal
Isaac Newton
Graz
Áustria
Tycho Brahe
Rodolfo II da Germânia
"Matias, Sacro Imperador Romano-Germânico"
"Fernando II, Sacro Imperador Romano-Germânico"
Albrecht von Wallenstein
Óptica
Telescópio refrator
Telescópio
Galileu Galilei
Quadrivium
Artes liberais
Física
Natureza
Razão
Metafísica (Aristóteles)
Aristóteles
Sobre o Céu
Cosmologia
Cidade Imperial Livre
Região de Estugarda
Baden-Württemberg
Mercenário
Guerra dos Oitenta Anos
Países Baixos
Medicina alternativa
Herbalismo
Bruxaria
Grande Cometa de 1577
Eclipse lunar
Lua
Universidade de Tubinga
Teologia
Jacob Heerbrand
Philipp Melanchthon
Horóscopo
Sistema ptolomaico
Sistema de Copérnico
Heliocentrismo
Sol
Praga
Rodolfo II
Lista de reis da Boêmia
Rickettsia
Convulsão
Varíola
Pádua
Calvinismo
Confissão de Augsburgo
Fórmula de Concórdia
Universidade de Pádua
Sacro Império Romano-Germânico
Salário
Żagań
Regensburg
Sólido platônico
Sistema Solar
Mysterium Cosmographicum
Epifania
Saturno (planeta)
Júpiter (planeta)
Zodíaco
Polígono regular
Poliedro
Esfera celeste
Mercúrio (planeta)
Vênus (planeta)
Terra
Marte (planeta)
Octaedro
Icosaedro
Dodecaedro
Tetraedro
Cubo
Período orbital
Espiritualidade
Jesus
Espírito Santo
Sistema Tychonico
Nicolau Copérnico
Cronologia
Numerologia
Meteorologia
Franz Tengnagel
Benátky nad Jizerou
Erasmus Reinhold
Alquimia
Utraquista
Joost Bürgi
David Fabricius
Refração atmosférica
Câmera pinhole
Paralaxe
Olho humano
Cristalino
Retina
Refração
Supernova de Kepler
Remanescente de supernova
SN 1604
Grande conjunção
Carlos Magno
Cristo
Estrela de Belém
Ofiúco
Astronomia nova
Equante
Minuto de arco
"Deus, o Pai"
William Gilbert
De Magnete
Afélio
Periélio
Geocêntrico
Movimento retrógrado aparente
Ovoide
Elipse
Somnium
Efemérides
Giovanni Antonio Magini
Cronologia de Jesus
Sidereus Nuncius
Imagem real
Conjectura de Kepler
Atomismo
Empacotamento de esferas
Infinitesimal
Eucaristia
Calendário gregoriano
Luas de Galileu
Demônio
Musica universalis
Pitágoras
Ptolomeu
Robert Fludd
Poliedro regular
Poliedros de Kepler-Poinsot
Velocidade orbital
Christiaan Huygens
Força inercial centrífuga
Edmund Halley
Christopher Wren
Robert Hooke
Escolástica
Guerra dos Trinta Anos
Contrarreforma
Ulm
René Descartes
Pierre Gassendi
Trânsito de Vênus
Jeremiah Horrocks
Maria Cunitz
Giovanni Alfonso Borelli
Inércia
Philosophiae Naturalis Principia Mathematica
Lei da gravitação universal
Filosofia da ciência
Historiografia
Jean-Étienne Montucla
Jean Baptiste Joseph Delambre
Iluminista
William Whewell
Método científico
Ernst Friedrich Apelt
"Catarina, a Grande"
Alexandre Koyré
República Tcheca
Arthur Koestler
Charles Sanders Peirce
Norwood Russell Hanson
Stephen Toulmin
Karl Popper
Incomensurabilidade
Falseabilidade
Wolfgang Pauli
Psicologia analítica
John Banville
Carl Sagan
Astrofísico
NASA
Kepler (sonda espacial)
De Stella Nova
Bayerische Akademie der Wissenschaften
História da astronomia
História da física
Revolução copernicana
Revolução Científica
Língua inglesa
Mathematics Genealogy Project
International Standard Book Number
Journal for the History of Astronomy
Thales
International Standard Serial Number
Digital object identifier
OCLC
Arthur I. Miller
Marcelo Gleiser
Cosmos: A Personal Voyage
Cambridge University Press
University of Chicago Press
Princeton University Press
J. L. E. Dreyer
Owen Gingerich
Frankfurt
Erlangen
Google Books
Cornell University Press
Thomas Samuel Kuhn
Arkan Simaan
A Imagem do Mundo dos Babilônios a Newton
Ronaldo Rogério de Freitas Mourão
Wikimedia
Projeto Gutenberg
Base Virtual Internacional de Autoridade
Biblioteca Apostólica Vaticana
Bibsys
Biblioteca Nacional do Chile
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Biblioteca Virtual Miguel de Cervantes
Catálogo de autoridades de nomes e títulos da Catalunha
Consortium of European Research Libraries
CiNii
Encyclopædia Britannica
Bibliotheca Alexandrina
Faceted Application of Subject Terminology
Gemeinsame Normdatei
Istituto centrale per il catalogo unico delle biblioteche italiane e per le informazioni bibliografiche
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
Biblioteca Nacional da Dieta
Biblioteca Nacional da Austrália
Biblioteca Nacional da Grécia
Notable Names Database
Biblioteca Real dos Países Baixos
Sistema Universitário de Documentação
Enciclopédia Treccani
WikiTree
Biblioteca Nacional do Brasil
Biblioteca Nacional de Portugal
Open Library
Biblioteca Nacional de Israel
Pontifícia Universidade São Tomás de Aquino
Palazzo Castellani (Florença)
Biblioteca Nacional da Polónia
Rijksmuseum
Biblioteca Nacional da Eslováquia
