Plano (geometria)
Matemática
Conjunto
Finito
Equação linear
Variável (matemática)
Sistema linear
Resolução de equações
Álgebra linear
Equação polinomial
Matemática aplicada
Ciências naturais
Física
Economia
Engenharia
Biologia
Geografia
Navegação
Aviação
Cartografia
Demografia
Astronomia
Algoritmo
Álgebra linear numérica
Acurácia
Aproximação
Linearização
Modelo (matemática)
Modelagem computacional
Equação do primeiro grau
Polinômios
Incógnita
Potência
Um
Zero
Multiplicação
Número real
Número complexo
Corpo (matemática)
Álgebra elementar
Número inteiro
Número racional
Estrutura algébrica
Vetor coluna
Combinação linear
Espaço vetorial
Módulo (álgebra)
Espaço vectorial gerado
Base (álgebra linear)
Independência linear
Matriz (matemática)
Posto matricial
Matriz identidade
Isomorfismo
Transformação linear
Interpolação
Joseph-Louis Lagrange
Decomposição
Número primo
Anel comutativo
Teorema
Forma bilinear
Equação
Dimensão (matemática)
Conjunto universo
Existência
Leibniz
Regra de Cramer
Colin Maclaurin
Gabriel Cramer
Étienne Bézout
Laplace
Cálculo integral
Determinante
Cauchy
Carl Gustav Jakob Jacobi
Teoria
Eliminação de Gauss
Matriz triangular
Diagonal de uma matriz
Fatorização
Fatoração LU
International Standard Book Number
Universidade Federal do Rio Grande do Sul
Grandeza escalar
Vetor (matemática)
Projeção de um vetor
Projeção (matemática)
Espaço coluna
Espaço linha
Espaço dual
Perpendicularidade
Núcleo (álgebra linear)
Valor próprio
Método dos mínimos quadrados
Produto diádico
Produto interno
Produto escalar
Matriz transposta
Processo de Gram-Schmidt
Produto de matrizes
Decomposição LU
Menor (álgebra linear)
Matriz inversa
Matriz de transformação
Matriz em bloco
Matriz unimodular
Vírgula flutuante
Estabilidade numérica
Matriz esparsa
Gemeinsame Normdatei
