Conservação da massa
Momento linear
Lei da conservação da energia
Mecânica dos sólidos
Sólido
Tensão (mecânica)
Deformação
Equação de compatibilidade
Teoria das deformações finitas
Teoria das deformações infinitesimais
Elasticidade
Plasticidade
Flexão (física)
Lei de Hooke
Teoria de falha dos materiais
Mecânica da fratura
Contato mecânico
Mecânica dos fluidos
Fluido
Hidrostática
Hidrodinâmica
Impulsão
Equações de Navier-Stokes
Pressão
Princípio de Bernoulli
Princípio de Arquimedes
Princípio de Pascal
Turbulência
Líquido
Tensão superficial
Capilaridade
Gás
Atmosfera
Lei de Boyle-Mariotte
Lei de Charles
Lei de Gay-Lussac
Lei combinada dos gases
Plasma
Reologia
Viscosidade
Fluido newtoniano
Fluido não newtoniano
Material viscoelástico
Ferrofluido
Daniel Bernoulli
Robert Boyle
Augustin-Louis Cauchy
Jacques Alexandre Cesar Charles
Leonhard Euler
Louis Joseph Gay-Lussac
Robert Hooke
Claude Louis Marie Henri Navier
Isaac Newton
Blaise Pascal
Jean Léonard Marie Poiseuille
George Gabriel Stokes
Física
Mecânica
Modelo matemático
Mecânica dos sólidos rígidos
Fluxo compressível
Fluido incompressível
International Standard Book Number
Acústica
Vibração
Dinâmica de corpo rígido
Lei de Poiseuille
Tensor tensão de Cauchy
Elasticidade (mecânica dos sólidos)
Equação de estado
Material elástico de Cauchy
Viscoelasticidade
Fluência
Fadiga (engenharia)
Momento fletor
Dinâmica dos fluidos
Lei geral dos gases
Aeroacústica
Cientista
Prêmio
Medalha Eringen
Medalha William Prager
Tensor
Matemática
Sistema de coordenadas
Álgebra multilinear
Geometria euclidiana
Álgebra tensorial
Geometria diferencial
Cálculo tensorial
Engenharia
Eletromagnetismo
Fenômenos de transporte
Relatividade geral
Visão computacional
Índice múltiplo
Notação de Einstein
Cálculo de Ricci
Notação de Voigt
Notação de índices abstratos
Campo tensorial
Densidade de tensor
Tensor misto
Tensor antissimétrico
Tensor simétrico
Operação (matemática)
Produto tensorial
Produto exterior
Matriz transposta
Elevação e abaixamento de índices em tensores
Derivada covariante
Derivada de Lie
Dimensão (matemática)
Base (álgebra linear)
Vetor (matemática)
Espaço vetorial
Covariância e contravariância de vetores
Transformação linear
Matriz (matemática)
Espinor
Formalismo de Cartan
Forma diferencial
Geodésica
Variedade (matemática)
Maço de fibras
Delta de Kronecker
Símbolo de Levi-Civita
Tensor métrico
Símbolos de Christoffel
Tensor de curvatura de Ricci
Tensor de curvatura de Riemann
Tensor de Weyl
Momento de inércia
Momento angular
Tensor de energia-momento
Tensor eletromagnético
Tensor de Einstein
Tensor métrico (relatividade geral)
Matemático
Carl Friedrich Gauss
Hermann Grassmann
Gregorio Ricci-Curbastro
Tullio Levi-Civita
Jan Arnoldus Schouten
Bernhard Riemann
Elwin Bruno Christoffel
Woldemar Voigt
Élie Cartan
Hermann Weyl
Albert Einstein
Biblioteca Nacional Central de Florença
Biblioteca Nacional da França
Encyclopædia Britannica
Gemeinsame Normdatei
JSTOR
Número de controle da Biblioteca do Congresso
Biblioteca Nacional da Dieta
