Física geral
Equações de Maxwell
Física
História da física
Filosofia da física
Mecânica clássica
Mecânica quântica
Termodinâmica
Eletromagnetismo
Relatividade
Comprimento
Área
Volume
Tempo
Ângulo plano
Ângulo sólido
Velocidade
Velocidade angular
Frequência
Vazão
Fluxo (física)
Aceleração
Aceleração angular
Força
Pressão
Torque
Energia
Calor
Trabalho (física)
Temperatura
Capacidade térmica
Calor específico
Condutividade térmica
Potência
Massa
Densidade
Quantidade de matéria
Carga elétrica
Corrente elétrica
Tensão elétrica
Resistência elétrica
Resistividade
Condutividade elétrica
Condutância elétrica
Capacitância
Indutância
Momento do dipolo elétrico
Campo elétrico
Momento de dipolo magnético
Campo magnético
Fluxo magnético
Convergência
Física teórica
Física aplicada
Astrofísica
Óptica
Biofísica
Ciência dos materiais
Ciência de superfícies
Física da matéria condensada
Geofísica
Física de partículas
Física nuclear
Galileu Galilei
Isaac Newton
Rudolf Clausius
Ludwig Boltzmann
Charles-Augustin de Coulomb
André-Marie Ampère
Carl Friedrich Gauss
Michael Faraday
Hans Christian Ørsted
James Clerk Maxwell
Max Planck
Albert Einstein
Ernest Rutherford
Niels Bohr
Louis de Broglie
Erwin Schrödinger
Richard Feynman
Henry Cavendish
Robert Andrews Millikan
Pêndulo de Foucault
Espalhamento de Rutherford
Experiência de Cavendish
Experimento da dupla fenda
Experiência da gota de óleo
Experimento de Davisson-Germer
Experiência de Michelson-Morley
Experimento de Franck-Hertz
Experimento de Stern-Gerlach
Experimento de Ørsted
Colisor Relativístico de Íons Pesados
Grande Colisor de Hádrons
Telescópio Espacial James Webb
Matéria
Sólido
Cristal
Periodicidade
Átomo
Engenharia elétrica
Magnetismo
Engenharia mecânica
Semicondutor
Teoria de bandas
Supercondutividade
Ressonância magnética
Líquido
Plasma
International Standard Serial Number
Digital object identifier
International Standard Book Number
Biblioteca Nacional Central de Florença
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Encyclopædia Britannica
Faceted Application of Subject Terminology
Gemeinsame Normdatei
JSTOR
Número de controle da Biblioteca do Congresso
Biblioteca Técnica Nacional de Praga
