Mesopotâmia Superior
Matemático
Escritor
Engenheiro
Astrônomo
Ulemá
Islamismo
Árabe
Polímata
Curdos
Artesão
Arte islâmica
Cizre
Turquia
Idade de Ouro Islâmica
Idade Média
Wayback Machine
International Standard Book Number
