Física
Química
Temperatura
Pressão
Volume
Calor
Trabalho
Mecânica estatística
Eletroquímica
Sólido
Líquido
Gasoso
Mikhail Lomonossov
Mikhail Lomonosov
Palestra
Língua russa
Universidade Estatal de São Petersburgo
Termodinâmica química
Eletrólito
Solução
Cinética química
Josiah Willard Gibbs
Energia livre de Gibbs
Potencial químico
Regra das fases de Gibbs
Entalpia
Heike Kamerlingh Onnes
Macromolécula
Revista científica
Zeitschrift für Physikalische Chemie
Wilhelm Ostwald
Jacobus Henricus van 't Hoff
Svante August Arrhenius
Século XIX
Século XX
Prêmio Nobel de Química
Colóide
Ciência de superfícies
Irving Langmuir
Mecânica quântica
Química quântica
Linus Pauling
Espectroscopia
Espectroscopia de infravermelho
Espectroscopia rotacional
Espectroscopia de ressonância paramagnética electrónica
Espectroscopia NMR
Química nuclear
Isótopo
Segunda Guerra Mundial
Astroquímica
Algoritmo
Ponto crítico (termodinâmica)
Ahmed H. Zewail
Ilya Prigogine
Marie Curie
Svante Arrhenius
Peter Debye
Manfred Eigen
Roald Hoffmann
Erich Hückel
Friedrich Kohlrausch
Yuan T. Lee
Gilbert N. Lewis
Rudolph A. Marcus
Robert S. Mulliken
Walther Nernst
Lars Onsager
John Charles Polanyi
Michael Polanyi
Stuart A. Rice
Richard N. Zare
Fotoquímica
Termoquímica
Química do estado sólido
Biofísica química
Ciência dos materiais
Físico-química orgânica
Micromerítica
Ir para cima
PubMed Identifier
Digital object identifier
Medellín
International Standard Book Number
Química analítica
Química inorgânica
Química orgânica
Tabela periódica
Biologia química
Bioquímica
Ciência das superfícies
Cosmoquímica
Femtoquímica
Geoquímica
Neuroquímica
Química alimentar
Química ambiental
Química bio-orgânica
Química bioinorgânica
Química clínica
Química computacional
Química matemática
Composto de coordenação
Química dos fulerenos
Química dos polímeros
Química forense
Química medicinal
Química organometálica
Química supramolecular
Química teórica
Química verde
Sonoquímica
Física teórica
Fenomenologia (física de partículas)
Física computacional
Física experimental
Física aplicada
Física clássica
Mecânica clássica
Mecânica de meios contínuos
Mecânica dos sólidos
Mecânica dos fluidos
Acústica
Eletromagnetismo
Eletrostática
Magnetostática
Plasma
Física de aceleradores
Termodinâmica
Física da matéria condensada
Física mesoscópica
Matéria mole
Física do estado sólido
Física moderna
Eletrodinâmica quântica
Teoria quântica de campos
Gravitação quântica
Informação quântica
Mecânica relativista
Relatividade geral
Relatividade restrita
Física de partículas
Astrofísica de partículas
Física nuclear
Cromodinâmica quântica
Física atômica
Física molecular
Ótica
Fotônica
Óptica quântica
Cosmologia física
Astrofísica
Astrofísica nuclear
Mecânica celeste
Física solar
Heliofísica
Física espacial
Agrofísica
Biofísica
Física médica
Neurofísica
Engenharia física
Geofísica
Meteorologia física
Física matemática
Física química
Computador quântico
Sociofísica
Econofísica
História da física
Nobel de Física
Teoria de tudo
Tesauro de Arte e Arquitetura
Biblioteca Nacional Central de Florença
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Encyclopædia Britannica
Faceted Application of Subject Terminology
Gemeinsame Normdatei
JSTOR
Número de controle da Biblioteca do Congresso
Biblioteca Nacional da Dieta
Biblioteca Técnica Nacional de Praga
Medical Subject Headings
Sistema Unificado de Linguagem Médica
