Física
Medicina
Radioterapia
Física Aplicada
Biologia
Luigi Galvani
Leonardo da Vinci
Século XVI
Biomecânica
Sistema cardiovascular
Microscópio
Microorganismo
Século XVII
Século XVIII
Eletricidade
Eletromagnetismo
Século XIX
D’Arsonval
Willem Einthoven
Bioeletricidade
Hermann von Helmholtz
Conservação de energia
Oftalmologia
Oftalmoscópio
Radiografia
Wilhelm Conrad Röntgen
Radiação eletromagnética
Raio-X
Prêmio Nobel de Física
Antoine Henri Becquerel
Pierre Curie
Marie Curie
Radioatividade
Ernest Rutherford
Nobel de Química
Prêmio Nobel
Londres
EUA
Berna
Boston
William Duane
Radônio
Nova York
Medicina nuclear
Brasil
Radiação ionizante
Radiação
Laser
Campo magnético
Medicina Nuclear
Radiologia
Saúde
Hospital
Universidade
Pesquisa
CNEN
Vigilância Sanitária
Biofísica
Diagnóstico por imagem
Engenharia biomédica
Física teórica
Fenomenologia (física de partículas)
Física computacional
Física experimental
Física aplicada
Física clássica
Mecânica clássica
Mecânica de meios contínuos
Mecânica dos sólidos
Mecânica dos fluidos
Acústica
Eletrostática
Magnetostática
Plasma
Física de aceleradores
Mecânica estatística
Termodinâmica
Física da matéria condensada
Física mesoscópica
Matéria mole
Física do estado sólido
Física moderna
Mecânica quântica
Eletrodinâmica quântica
Teoria quântica de campos
Gravitação quântica
Informação quântica
Mecânica relativista
Relatividade geral
Relatividade restrita
Física de partículas
Astrofísica de partículas
Física nuclear
Cromodinâmica quântica
Física atômica
Física molecular
Ótica
Fotônica
Óptica quântica
Cosmologia física
Astrofísica
Astrofísica nuclear
Mecânica celeste
Física solar
Heliofísica
Física espacial
Agrofísica
Neurofísica
Engenharia física
Geofísica
Meteorologia física
Física matemática
Físico-química
Física química
Computador quântico
Sociofísica
Econofísica
História da física
Nobel de Física
Teoria de tudo
Biblioteca Nacional Central de Florença
Biblioteca Nacional da França
Gemeinsame Normdatei
JSTOR
Número de controle da Biblioteca do Congresso
