Omnidirecional
Câmara anecoica
Física
Som
Difração
Engenharia
Universidade Federal de Santa Maria
Rio Grande do Sul
Engenharia Mecânica
Engenharia Elétrica
Universidade Federal de Santa Catarina
Energia
Onda
Pressão
Velocidade do som
Otto von Guericke
Vácuo
Jakob Bernoulli
Leonhard Euler
Século XIX
Ressonância
Efeito Doppler
Pascal (unidade)
Hertz
Decibel
Hermann von Helmholtz
Cóclea
Orelha
Georg von Békésy
Eco
Reverberação
Batimento
Absorção do som
Isolamento sonoro
Edificação
Urbanismo
Concha acústica
Pitágoras
Escala musical
Música
Nota musical
Acústica musical
Pregas vocais
Dor
Cálculo renal
Estetoscópio
Instrumento musical
Mecânica dos fluidos
Espectro sonoro
Ambiente anecoico
Sonoluminescência
International Standard Book Number
Tesauro de Arte e Arquitetura
Biblioteca Nacional Central de Florença
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Encyclopædia Britannica
Gemeinsame Normdatei
JSTOR
Número de controle da Biblioteca do Congresso
Biblioteca Nacional da Dieta
Biblioteca Técnica Nacional de Praga
Medical Subject Headings
Sistema Unificado de Linguagem Médica
Mecânica de meios contínuos
Mecânica dos sólidos
Vibração
Dinâmica de corpo rígido
Conservação da massa
Momento linear
Equações de Navier-Stokes
Princípio de Bernoulli
Lei de Poiseuille
Princípio de Arquimedes
Princípio de Pascal
Lei da conservação da energia
Tensão (mecânica)
Tensor tensão de Cauchy
Deformação
Teoria das deformações infinitesimais
Teoria das deformações finitas
Sólido
Elasticidade
Elasticidade (mecânica dos sólidos)
Lei de Hooke
Equação de estado
Material elástico de Cauchy
Viscoelasticidade
Fluência
Plasticidade
Contato mecânico
Teoria de falha dos materiais
Fadiga (engenharia)
Mecânica da fratura
Flexão (física)
Momento fletor
Fluido
Hidrostática
Dinâmica dos fluidos
Impulsão
Viscosidade
Fluido newtoniano
Fluido não newtoniano
Líquido
Tensão superficial
Capilaridade
Gás
Atmosfera
Lei de Boyle-Mariotte
Lei de Charles
Lei de Gay-Lussac
Lei geral dos gases
Plasma
Aeroacústica
Reologia
Ferrofluido
Cientista
Daniel Bernoulli
Robert Boyle
Augustin-Louis Cauchy
Jacques Alexandre Cesar Charles
Louis Joseph Gay-Lussac
Robert Hooke
Blaise Pascal
Isaac Newton
Claude Louis Marie Henri Navier
George Gabriel Stokes
Prêmio
Medalha Eringen
Medalha William Prager
Física teórica
Fenomenologia (física de partículas)
Física computacional
Física experimental
Física aplicada
Física clássica
Mecânica clássica
Eletromagnetismo
Eletrostática
Magnetostática
Física de aceleradores
Mecânica estatística
Termodinâmica
Física da matéria condensada
Física mesoscópica
Matéria mole
Física do estado sólido
Física moderna
Mecânica quântica
Eletrodinâmica quântica
Teoria quântica de campos
Gravitação quântica
Informação quântica
Mecânica relativista
Relatividade geral
Relatividade restrita
Física de partículas
Astrofísica de partículas
Física nuclear
Cromodinâmica quântica
Física atômica
Física molecular
Ótica
Fotônica
Óptica quântica
Cosmologia física
Astrofísica
Astrofísica nuclear
Mecânica celeste
Física solar
Heliofísica
Física espacial
Agrofísica
Biofísica
Física médica
Neurofísica
Engenharia física
Geofísica
Meteorologia física
Física matemática
Físico-química
Física química
Computador quântico
Sociofísica
Econofísica
História da física
Nobel de Física
Teoria de tudo
