Língua árabe
Romanização (linguística)
Latim
Século XI
Avicena
Médico
Físico
Filosofia
Cientista
Muçulmano
Pérsia
1014
1020
Lógica
Ciência natural
Psicologia
Geometria
Astronomia
Aritmética
Música
Toledo
1907
Língua alemã
Língua francesa
Língua inglesa
Língua italiana
Cairo
1953
1983
