Ciência da informação quântica
Teoria da informação
Mecânica quântica
Sistema quântico
Mecânica clássica
Bit
Bit quântico
Qutrit
Entrelaçamento quântico
Ir para cima
International Standard Book Number
OCLC
Computação
História da computação
Algoritmo
Teoria da computação
Autômato
Computador quântico
Multimédia
Nanotecnologia
Bioinformática
Hardware
Microcontrolador
Microprocessador
Disco rígido
Memória (computador)
Modem
Placa-mãe
Placa de rede
Placa de som
Placa de vídeo
Placa sintonizadora de TV
Rato (informática)
Teclado (informática)
Impressora
Digitalizador
Software
Programação de computadores
Utilitário
Sistema operativo
Operação bit a bit
Internet
World Wide Web
E-mail
File Transfer Protocol
Internet Relay Chat
P2P
Cientista
Alan Kay
Alan Turing
Ada Lovelace
Charles Babbage
Donald Knuth
Douglas Engelbart
Edsger Dijkstra
Eric Steven Raymond
John von Neumann
Larry Wall
Marvin Minsky
Noam Chomsky
Richard Matthew Stallman
Terminologia
Lista de termos de computação
Lista de etimologias de termos usados em computação
