Aristóteles
Arquitas de Tarento
Renascença
Francesco Maurolico
Corpus aristotelicum
Organon
Da Interpretação
Analíticos Anteriores
Analíticos Posteriores
Tópicos (Aristóteles)
Elencos Sofísticos
Física (Aristóteles)
Sobre o Céu
Da Geração e da Corrupção
Meteorologia (Aristóteles)
Do Universo
Da Alma
Parva Naturalia
Da Sensação e do Sensível
Da Memória e Reminiscência
Do Sono e da Vigília
Dos Sonhos
Da Adivinhação pelo Sonho
Da Longevidade e Brevidade da Vida
"Da Juventude e da Velhice, Da Vida e da Morte, Do Fôlego"
Da Respiração
Da História dos Animais
Das Partes dos Animais
Do Movimento dos Animais
Da Marcha dos Animais
Da Geração dos Animais
Das Cores
Das Coisas Ouvidas
Fisiognomonia (Aristóteles)
Das Plantas
Das Maravilhosas Coisas Ouvidas
Problemas (Aristóteles)
Das Linhas Indivisíveis
Situações e Nomes dos Ventos
"Sobre Melisso, Xenófanes e Górgias"
Metafísica (Aristóteles)
Ética a Nicômaco
Magna moralia
Ética a Eudemo
Das Virtudes e Vícios
Política (Aristóteles)
Economia (Aristóteles)
Constituição dos Atenienses
Retórica (Aristóteles)
Retórica a Alexandre
Poética (Aristóteles)
Protéptico
Base Virtual Internacional de Autoridade
Biblioteca Nacional da França
Gemeinsame Normdatei
Número de controle da Biblioteca do Congresso
Sistema Universitário de Documentação
