Convecção
Glossário (termodinâmica)
Mecânica estatística
Termodinâmica química
Lei zero da termodinâmica
Primeira lei da termodinâmica
Segunda lei da termodinâmica
Terceira lei da termodinâmica
Sistema termodinâmico
Equação de estado
Gás ideal
Gás real
Estados físicos da matéria
Equilíbrio termodinâmico
Volume de controle
Transformação termodinâmica
Transformação isobárica
Transformação isocórica
Transformação isotérmica
Transformação adiabática
Transformação isentrópica
Transformação isentálpica
Transformação politrópica
Expansão livre
Reversibilidade
Irreversibilidade
Ciclo termodinâmico
Máquina térmica
Ciclo de refrigeração
Eficiência termodinâmica
Função de estado
Propriedades extensivas
Propriedades intensivas
Calor
Calor específico
Condutividade térmica
Densidade
Energia
Entropia
Fluxo (física)
Potência
Potencial químico
Pressão
Temperatura termodinâmica
Título (termodinâmica)
Trabalho (física)
Vazão
Volume
Capacidade térmica
Compressibilidade
Dilatação térmica
Teorema de Carnot
Lei dos gases ideais
Relações de Maxwell
Teorema da equipartição
Teorema do virial
Lei de Henry
Lei de Boyle-Mariotte
Equação de Van der Waals
Raio de Van der Waals
Lei de Charles
Potencial termodinâmico
Energia livre termodinâmica
Energia interna
Entalpia
Energia livre de Helmholtz
Energia livre de Gibbs
História da termodinâmica
Leis dos gases
Demônio de Maxwell
Teoria calórica
Teoria do calor
Vis viva
Equivalente mecânico do calor
Potência motriz
Daniel Bernoulli
Ludwig Boltzmann
Nicolas Léonard Sadi Carnot
Benoît Paul-Émile Clapeyron
Rudolf Clausius
Constantin Carathéodory
Pierre Duhem
Josiah Willard Gibbs
Hermann von Helmholtz
James Prescott Joule
James Clerk Maxwell
Julius von Mayer
Lars Onsager
William John Macquorn Rankine
John Smeaton
Georg Ernst Stahl
Benjamin Thompson
William Thomson
Johannes Diderik van der Waals
John James Waterston
Língua grega
Física
Temperatura
Sistema (física)
Grosso modo
Movimento
Motor a vapor
Experiência científica
Escala macroscópica
Matéria
Condensador (química)
Pistão
Wikilivros
Hemisférios de Magdeburgo
Aristóteles
Robert Boyle
Robert Hooke
Lei de Boyle
1679
Denis Papin
Marmita de Papin
Máquina de Carnot
Ciclo de Carnot
Átomo
Molécula
Termodinâmica clássica
Termodinâmica estatística
Entropia (termodinâmica)
Sistema
Vizinhança (física)
Potenciais termodinâmicos
Transformada de Legendre
Equação fundamental
Ciência
Tecnologia
Química
Engenharia química
Engenharia aeroespacial
Engenharia mecânica
Biologia celular
Engenharia biomédica
Ciência dos materiais
Economia
Diagrama de fases
Sistema isocórico (física)
Processo isotérmico
Processo adiabático
Processo isentálpico
Sistema isolado (física)
Energia Livre de Gibbs
Sistema isolado
Pressão parcial
Fase (física)
Equilíbrio térmico
Energia térmica
Temperatura absoluta
Lei da conservação de energia
Gás
Adiabático
Vapor de água
Gás carbônico
Reagentes
Gelo
Sal
Substância
Dilatação volumétrica
Morte térmica do universo
Gás perfeito
Geladeira
Lei Zero da Termodinâmica
Empirismo
Primeira Lei da Termodinâmica
Segunda Lei da Termodinâmica
Clausius
Universo
Terceira Lei da Termodinâmica
Calorimetria
Escalas termométricas
Termologia
Gás de férmions
Elétrons
Férmion
Íon
Coacervados
International Standard Book Number
James Riddick Partington
Língua inglesa
Física teórica
Fenomenologia (física de partículas)
Física computacional
Física experimental
Física aplicada
Física clássica
Mecânica clássica
Mecânica de meios contínuos
Mecânica dos sólidos
Mecânica dos fluidos
Acústica
Eletromagnetismo
Eletrostática
Magnetostática
Plasma
Física de aceleradores
Física da matéria condensada
Física mesoscópica
Matéria mole
Física do estado sólido
Física moderna
Mecânica quântica
Eletrodinâmica quântica
Teoria quântica de campos
Gravitação quântica
Informação quântica
Mecânica relativista
Relatividade geral
Relatividade restrita
Física de partículas
Astrofísica de partículas
Física nuclear
Cromodinâmica quântica
Física atômica
Física molecular
Ótica
Fotônica
Óptica quântica
Cosmologia física
Astrofísica
Astrofísica nuclear
Mecânica celeste
Física solar
Heliofísica
Física espacial
Agrofísica
Biofísica
Física médica
Neurofísica
Engenharia física
Geofísica
Meteorologia física
Física matemática
Físico-química
Física química
Computador quântico
Sociofísica
Econofísica
História da física
Nobel de Física
Teoria de tudo
