Física
Espaço-tempo
Mecânica clássica
Mecânica quântica
Termodinâmica
Eletromagnetismo
Relatividade
História da Física
Pêndulo de Foucault
Espalhamento de Rutherford
Experimento de Cavendish
Experimento da dupla fenda
Experiência da gota de óleo
Experimento de Davisson–Germer
Experiência de Michelson-Morley
Experimento de Franck-Hertz
Experimento de Stern-Gerlach
Gato de Schrödinger
Formulação matemática da mecânica quântica
Representação de Schrödinger
Representação de Heisenberg
Representação de Dirac
Mecânica matricial
Integração funcional
Diagramas de Feynman
Teoria quântica de campos
Leis de Newton
Leis da termodinâmica
Equação de Schrödinger
Equação de Dirac
Equação de Klein–Gordon
Equação de Laplace
Equação de Van der Waals
Equação de Hamilton–Jacobi
Equações de Maxwell
Física teórica
Física aplicada
Óptica
Biofísica
Ciência dos materiais
Ciência de superfícies
Física da matéria condensada
Geofísica
Física de partículas
Física nuclear
Comprimento
Área
Volume
Tempo
Ângulo plano
Ângulo sólido
Velocidade angular
Frequência
Vazão
Fluxo (física)
Aceleração
Aceleração angular
Força
Pressão
Torque
Energia
Calor
Trabalho (física)
Temperatura
Capacidade térmica
Calor específico
Condutividade térmica
Potência
Massa
Densidade
Quantidade de matéria
Carga elétrica
Corrente elétrica
Tensão elétrica
Resistência elétrica
Resistividade
Condutividade
Condutância
Capacitância
Indutância
Momento do dipolo elétrico
Campo magnético
Fluxo magnético
Convergência
Isaac Newton
Leonhard Euler
Joseph-Louis Lagrange
William Rowan Hamilton
Pierre-Simon Laplace
James Clerk Maxwell
Heinrich Hertz
Alessandro Volta
Michael Faraday
Charles de Coulomb
Carl Friedrich Gauss
Max Planck
Erwin Schrödinger
Louis de Broglie
Max Born
Werner Heisenberg
Paul Dirac
Albert Einstein
David Hilbert
Henri Poincaré
Hendrik Lorentz
Stephen Hawking
Astronomia
Universo
Luminosidade
Composição química
Estrela
Galáxias
Meio interestelar
Física experimental
Matéria escura
Energia escura
Buraco negro
Viagem no tempo
Buraco de minhoca
Multiverso (ciência)
