Função de onda
Elétron
Princípio da incerteza de Heisenberg
Introdução à mecânica quântica
Formulação matemática da mecânica quântica
Mecânica clássica
Antiga teoria quântica
Interferência
Notação Bra-ket
Hamiltoniano
Estado quântico
Superposição quântica
Emaranhamento quântico
Efeito do observador (física)
Princípio de exclusão de Pauli
Dualidade onda-corpúsculo
Decoerência quântica
Teorema de Ehrenfest
Efeito túnel
Experiência de dupla fenda
Experimento de Davisson–Germer
Experimento de Stern-Gerlach
Experiências dos testes de Bell
Experiência de Popper
Gato de Schrödinger
Problema de Elitzur-Vaidman
Borracha quântica
Representação de Schrödinger
Representação de Heisenberg
Representação de Dirac
Mecânica matricial
Integração funcional
Equação de Schrödinger
Equação de Pauli
Equação de Klein–Gordon
Equação de Dirac
Interpretações da mecânica quântica
Interpretação de Copenhaga
Interpretação conjunta
Teoria das variáveis ocultas
Interpretação transacional
Interpretação de muitos mundos
Histórias consistentes
Lógica quântica
Interpretação de Bohm
Mecânica quântica estocástica
Mecânica quântica emergente
Teoria quântica de campos
Gravitação quântica
Teoria de tudo
Mecânica quântica relativística
Teoria de campo de Qubits
John Stewart Bell
"Patrick Blackett, Baron Blackett"
Nikolay Bogolyubov
David Bohm
Niels Bohr
John Bardeen
Max Born
Satyendra Nath Bose
Louis de Broglie
Arthur Compton
Leon Neil Cooper
Paul Dirac
Clinton Davisson
F. J. Duarte
Paul Ehrenfest
Albert Einstein
Hugh Everett III
Richard Feynman
Gustav Ludwig Hertz
Werner Heisenberg
Pascual Jordan
Klaus von Klitzing
Polykarp Kusch
Hendrik Anthony Kramers
John von Neumann
Wolfgang Pauli
Willis Lamb
Max von Laue
Robert B. Laughlin
Henry Moseley
Robert A. Millikan
Heike Kamerlingh Onnes
Max Planck
Chandrasekhara Venkata Raman
Owen Willans Richardson
Johannes Rydberg
Erwin Schrödinger
Horst Ludwig Störmer
William Shockley
John Robert Schrieffer
Clifford Shull
Arnold Sommerfeld
Joseph John Thomson
Daniel C. Tsui
John Clive Ward
Wilhelm Wien
Eugene Wigner
Pieter Zeeman
Anton Zeilinger
Wojciech Zurek
Moléculas
Átomos
Elétrons
Prótons
Partículas subatômicas
Física
Radiação de corpo negro
Física atômica
Super fluidez
Supercondutividade
Constante de Planck
Momento angular
Ação (física)
Quantização
Estados ligados
Século XIX
Século XX
Equação da onda
Latim
Quantum
Energia
Átomo
Física da matéria condensada
Física do estado sólido
Física molecular
Química computacional
Química quântica
Física de partículas
Física nuclear
Von Neumann
Modelo atômico de Rutherford
Rutherford
Próton
Átomo de hidrogênio
Urânio
Sólido
Vapor
Posição
Momento linear
Vetor (matemática)
Espaço vetorial
Probabilidade
Equação diferencial parcial
Álgebra linear
Operador (física)
Autovetor
Autovalor
Pares ordenados
Espaço de Hilbert
Transformação linear
Operador autoadjunto
Spin
História da mecânica quântica
Conferência de Solvay
Bruxelas
1838
Michael Faraday
Raios catódicos
1859
Gustav Kirchhoff
1877
Ludwig Boltzmann
Thomas Young
Experiência da dupla fenda
Efeito fotoelétrico
Luz
Onda de matéria
Comprimento de onda
Quantidade de movimento
Medida (física)
Norma (matemática)
Funcional linear
Espaço dual
Autovalores
Schrödinger
Trajetória
Mecânica Clássica
Década de 1930
Problema da medição
Não-localidade
Causalidade
1935
Boris Podolsky
Nathan Rosen
Paradoxo EPR
Década de 1960
Teorema de Bell
Alain Aspect
Jean Dalibard
Entrelaçamento quântico
Corpo negro
Experimento da dupla fenda
Efeito fotoeléctrico
Heinrich Hertz
