Mecânica quântica
Princípio da incerteza de Heisenberg
Introdução à mecânica quântica
Formulação matemática da mecânica quântica
Mecânica clássica
Antiga teoria quântica
Interferência
Notação Bra-ket
Hamiltoniano
Estado quântico
Função de onda
Superposição quântica
Emaranhamento quântico
Efeito do observador (física)
Princípio de exclusão de Pauli
Dualidade onda-corpúsculo
Decoerência quântica
Teorema de Ehrenfest
Efeito túnel
Experiência de dupla fenda
Experimento de Davisson–Germer
Experimento de Stern-Gerlach
Experiências dos testes de Bell
Experiência de Popper
Gato de Schrödinger
Problema de Elitzur-Vaidman
Borracha quântica
Representação de Schrödinger
Representação de Heisenberg
Representação de Dirac
Mecânica matricial
Integração funcional
Equação de Schrödinger
Equação de Pauli
Equação de Klein–Gordon
Equação de Dirac
Interpretações da mecânica quântica
Interpretação de Copenhaga
Interpretação conjunta
Teoria das variáveis ocultas
Interpretação transacional
Interpretação de muitos mundos
Histórias consistentes
Lógica quântica
Interpretação de Bohm
Mecânica quântica estocástica
Mecânica quântica emergente
Gravitação quântica
Teoria de tudo
Mecânica quântica relativística
Teoria de campo de Qubits
John Stewart Bell
"Patrick Blackett, Baron Blackett"
Nikolay Bogolyubov
David Bohm
Niels Bohr
John Bardeen
Max Born
Satyendra Nath Bose
Louis de Broglie
Arthur Compton
Leon Neil Cooper
Paul Dirac
Clinton Davisson
F. J. Duarte
Paul Ehrenfest
Albert Einstein
Hugh Everett III
Richard Feynman
Gustav Ludwig Hertz
Werner Heisenberg
Pascual Jordan
Klaus von Klitzing
Polykarp Kusch
Hendrik Anthony Kramers
John von Neumann
Wolfgang Pauli
Willis Lamb
Max von Laue
Robert B. Laughlin
Henry Moseley
Robert A. Millikan
Heike Kamerlingh Onnes
Max Planck
Chandrasekhara Venkata Raman
Owen Willans Richardson
Johannes Rydberg
Erwin Schrödinger
Horst Ludwig Störmer
William Shockley
John Robert Schrieffer
Clifford Shull
Arnold Sommerfeld
Joseph John Thomson
Daniel C. Tsui
John Clive Ward
Wilhelm Wien
Eugene Wigner
Pieter Zeeman
Anton Zeilinger
Wojciech Zurek
Modelo Padrão
Física de partículas
Partícula elementar
Teoria de gauge
Quebra espontânea de simetria
Mecanismo de Higgs
Interação eletrofraca
Cromodinâmica quântica
Matriz CKM
Problema de hierarquia
Oscilação de neutrinos
Física além do modelo padrão
Ernest Rutherford
J. J. Thomson
James Chadwick
E. C. George Sudarshan
Masatoshi Koshiba
Raymond Davis Jr.
Carl David Anderson
Enrico Fermi
Carlo Rubbia
Murray Gell-Mann
Henry Way Kendall
Richard E. Taylor
Jerome Isaac Friedman
C. F. Powell
Philip Warren Anderson
Sheldon Lee Glashow
John Iliopoulos
Luciano Maiani
Simon van der Meer
Yoichiro Nambu
Owen Chamberlain
Nicola Cabibbo
Melvin Schwartz
Martin Lewis Perl
Ettore Majorana
Steven Weinberg
Tsung-Dao Lee
Abdus Salam
Makoto Kobayashi
Toshihide Maskawa
Yang Chen-Ning
Hideki Yukawa
Gerard 't Hooft
Martinus J. G. Veltman
David Gross
Hugh David Politzer
Frank Wilczek
James Cronin
Val Logsdon Fitch
John Hasbrouck Van Vleck
Peter Higgs
François Englert
Robert Brout
C. R. Hagen
Gerald Guralnik
Tom Kibble
Samuel C. C. Ting
Burton Richter
Cosmologia
Física da matéria condensada
Eletrodinâmica quântica
Fótons
Eletromagnetismo
Força fraca
Força forte
Modelo padrão
Bósons
Gravidade
André-Marie Ampère
George Simon Ohm
Michael Faraday
James Clerk Maxwell
Campo eletromagnético
Luz
Óptica
Isaac Newton
Transformações de Galileu
Equação de onda
Woldemar Voigt
1887
Equação diferencial de d'Alembert
Jean le Rond d’Alembert
Transformação de Lorentz
Lorentz
Éter (elemento)
Experiência de Michelson-Morley
1905
Termodinâmica
Frequência
Corpo negro
Lord Rayleigh
James Hopwood Jeans
Onda eletromagnética
Oscilador harmônico
Efeito fotoeléctrico
Fóton
Equações de Maxwell
Não-linearidade
Átomo de hidrogênio
Equação de autovalores
Autovalor
Mecânica de Lagrange
Funcional
Mecânica hamiltoniana
Regra da cadeia
Parênteses de Poisson
Comutador (matemática)
Espaço de Hilbert
Lei de Hooke
Operador diferencial
Não-localidade
Série infinita
Método de Hartree-Fock
Campo magnético
Teoria Kaluza-Klein
Operadores Hermitianos
Spin
Ad hoc
Pósitron
Vácuo quântico
1925
Polarização
Graus de liberdade (física)
Espaço de Fock
Teoria quântica de campos em espaço-tempo curvo
International Standard Book Number
Notação de Einstein
Produto interno
Biblioteca Nacional Central de Florença
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Encyclopædia Britannica
Gemeinsame Normdatei
JSTOR
Número de controle da Biblioteca do Congresso
Biblioteca Nacional da Dieta
Biblioteca Técnica Nacional de Praga
