Teerã
Irã
Alma mater
Universidade Harvard
Instituto de Tecnologia de Massachusetts
Filósofo
Professor universitário
Escritor
Universidade de Edimburgo
Xiismo
Língua persa
7 de abril
Professor emérito
Estudos islâmicos
Universidade George Washington
Filosofia
Religião
Espiritualidade
Música
Arte
Arquitetura
Ciência
Literatura
Meio ambiente
Ataques de 11 de setembro de 2001
Diálogo inter-religioso
Fórum Católico-Muçulmano
Vaticano
Bento XVI
Física
Matemática
MIT
Universidade de Harvard
Pérsia
Dinastia Qajar
Pahlavi
Geologia
Geofísica
História da Ciência
Universidade de Teerã
Agacão
Universidade Americana de Beirute
Henry Corbin
Filosofia islâmica
Mula Sadra
Avicena
Xaabe Aldim Surauardi
Ibn Arabi
Albiruni
Revolução Iraniana
Universidade de Utah
Universidade Temple
Papa Paulo VI
Metafísica
Ciência islâmica
Sufismo
René Guénon
Perenialismo
Ananda Coomaraswamy
Frithjof Schuon
Gifford Lectures
Universidade de Uppsala
Ir para cima
International Standard Book Number
Base Virtual Internacional de Autoridade
Bibsys
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
CiNii
Bibliotheca Alexandrina
Faceted Application of Subject Terminology
Gemeinsame Normdatei
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
MusicBrainz
Biblioteca Nacional da Dieta
Biblioteca Nacional da Austrália
Biblioteca Real dos Países Baixos
Persée (portal)
Google Scholar
Sistema Universitário de Documentação
Biblioteca Nacional de Portugal
Pontifícia Universidade São Tomás de Aquino
Alquimia e química no Islã medieval
Astronomia islâmica
Calâm
Madraça
Escatologia islâmica
Fiqh
Física islâmica medieval
Alfarábi
Averroísmo
Escola perenialista
Filosofia sufi
Iluminacionismo
Abdolkarim Soroush
Abu Solimão de Sijistão
Abzeme
Alquindi
Averróis
Cobadim de Xiraz
Riaz Ahmed Gohar Shahi
Martin Lings
Ibn Miskawayh
Muhammad Baqir al-Sadr
Muhammad Iqbal
Mulá Sadra
Nácer Cosroes
Naceradim de Tus
Omar Caiam
Rasis
Ibne Tufail
Literatura persa
Inscrição de Beistum
Dencarde
As Capitais Provinciais do Irã
Criação Original
Julgamentos do Espírito e Sabedoria
Rudaqui
Ferdusi
Épica dos Reis
Unsuri
Algazali
Nizã Almulque
Xabadim Surauardi
Farid al-Din Attar
Circa
Anvari
Nizami Ganjavi
Facradim Arrazi
Xamece de Tabriz
Rumi
Khwaju Kermani
Hafez
Jami
Fuzûlî
Hushang Ebtehaj
Ahmad NikTalab
Sohrab Sepehri
Mohammad-Hossein Shahriar
Ahmad Shamlou
Sadriddin Ayni
Iskandar Khatloni
Abolqasem Lahouti
Simin Daneshvar
Mahmoud Dowlatabadi
Jalal Al-e-Ahmad
Asghar Farhadi
Hamid Farrokhnezhad
Farrokh Ghaffari
Bahman Ghobadi
Ali Hatami
Samuel Khachikian
Abbas Kiarostami
Majid Majidi
Mohsen Makhmalbaf
Dariush Mehrjui
Jafar Panahi
Babak NickTalab
Poopak NikTalab
Ali-Akbar Dehkhoda
Ali Latifiyan
Tajiquistão
Afeganistão
Filosofia perene
Neoplatonismo
Vedanta
Tariqa Maryamiyya
Ivan Aguéli
Titus Burckhardt
Marco Pallis
Whitall Perry
Wolfgang Smith
Angus Macnab
Bernard Kelly
Harry Oldmeadow
William Stoddart
Mateus Soares de Azevedo
Michael Oren Fitzgerald
Luiz Pontual
Ihsan
Dhikr
Qawwali
Tariqa
Ba 'Alawi tariqa
Bektashi
Mevlevi
Naqshbandi
Rahmani
Ni'matullāhī
Lista de ordens sufis
Haçane de Baçorá
Rabia de Baçorá
Rudbari
Bayazid Bastami
Junaide de Bagdá
Dulnune do Egito
Almançor Alhalaje
Abdalcáder Guilani
Attar de Nixapur
Baha-ud-Din Naqshband Bukhari
Safi Adine de Ardabil
Yunus Emre
Ahmad al-Alawi
Idries Shah
Tage Lindbom
Annemarie Schimmel
