Chichester
Lambeth
Catedral de Cantuária
Reino da Inglaterra
Alma mater
Merton College (Oxford)
Balliol College (Oxford)
Matemático
Professor universitário
Padre
Físico
Filósofo
Teólogo
Universidade de Oxford
Catedral de São Paulo (Londres)
Igreja Católica
Peste Negra
Bispo
Inglaterra
Matemáticas
Robert Grosseteste
Escola Franciscana de Oxford
Arcebispo de Cantuária
Jean Buridan
Paradoxo do mentiroso
Edward Grant
Função matemática
Escolástica
Velocidade
Força
Cociente
Nicole d'Oresme
Anneliese Maier
Cálculo
Álgebra
Memória
Mnemotécnica
Deus
Agostinho de Hipona
Causalidade
Liberdade
Ordem dos Frades Menores
John Wycliffe
Jan Hus
Reforma Protestante
Fracção
José Ferrater Mora
International Standard Book Number
Século XV
Universidade de Valência
Arcebispo da Cantuária
Lista dos arcebispos da Cantuária
Conquista normanda da Inglaterra
Agostinho de Cantuária
Lourenço de Cantuária
Melito de Cantuária
Justo de Rochester
Honório de Cantuária
Adeodato de Cantuária
Teodoro de Tarso
Notelmo de Cantuária
Cuteberto da Cantuária
Breguíno
Etelhardo da Cantuária
Etelmo
Dunstano
"Sigerico, o Sério"
Elfrico de Abingdon
Alfege da Cantuária
Etelnodo
Roberto de Jumièges
Estigando
Reforma Inglesa
Lanfranco de Cantuária
Anselmo de Cantuária
Teobaldo de Bec
Tomás Becket
Hubert Walter
Stephen Langton
Ralph Neville
Simon Sudbury
Thomas Arundel
John Kemp
Thomas Bourchier
John Morton (cardeal)
William Warham
Tomás Cranmer
Reginald Pole
Richard Bancroft
George Abbot
William Laud
Comunidade da Inglaterra
William Juxon
William Sancroft
Charles Thomas Longley
Cosmo Lang
William Temple (religioso)
Geoffrey Fisher
Robert Runcie
Rowan Williams
Justin Welby
Base Virtual Internacional de Autoridade
Biblioteca Apostólica Vaticana
Bibsys
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Biblioteca Virtual Miguel de Cervantes
Catálogo de autoridades de nomes e títulos da Catalunha
Catholic-Hierarchy.org
Consortium of European Research Libraries
CiNii
Encyclopædia Britannica
Faceted Application of Subject Terminology
Gemeinsame Normdatei
Istituto centrale per il catalogo unico delle biblioteche italiane e per le informazioni bibliografiche
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
Biblioteca Nacional da Austrália
Biblioteca Real dos Países Baixos
Oxford University Press
Sistema Universitário de Documentação
Enciclopédia Treccani
Biblioteca Nacional de Portugal
Open Library
Biblioteca Nacional de Israel
Pontifícia Universidade São Tomás de Aquino
Palazzo Castellani (Florença)
