Taifa de Saragoça
Fez
Filósofo
Matemático
Astrônomo
Escritor
Médico
Botânico
Islamismo
Palácio da Aljaferia
Língua árabe
Romanização (linguística)
Saragoça
1080
Fez (Marrocos)
1138
Alandalus
Medicina
Poesia
Física
Botânica
Música
Astronomia
Averróis
Alberto Magno
Matemática
Afonso I de Aragão
1118
Banu Hude
Salomão ibne Gabirol
Ibne Esdras
1060
Músico
Poeta
Astrólogo
Físico
Lógico
Político
Maimónides
Ibne Tufail
Tradição cristã
São Tomás de Aquino
Santo Alberto Magno
Aristóteles
Al-Farabi
Avicena
Platonismo
Aristotelismo
Vizir
Ibne Tifiluite
Almorávidas
Lógica aristotélica
Alcorão
Neoplatonismo
Farmacologia
Islão
Ciência
Astrologia
Retórica
Romances
Abenguefite
Ibne Albaitar
Avenzoar
Albacri
Ibne Hasdai
Estagirita
Alexandre de Afrodísias
João Filopono
Tábuas alfonsinas
Afonso X o Sábio
Ptolemeu
Alá
Ascética
Kierkegaard
Nietzsche
Platão
Política
Trotta
Língua castelhana
Filosofia medieval
Pseudo-Dionísio
Boécio
Isidoro de Sevilha
"Máximo, o Confessor"
Albuxar de Bactro
Alquindi
Erígena
Rasis
Alfarábi
Saadia Gaon
Alhazém
Pedro Damião
Anselmo de Cantuária
Algazali
Pedro Abelardo
Adelardo de Bath
Gilberto de la Porrée
Bernardo de Claraval
"Pedro, o Venerável"
Pedro Lombardo
Hugo de São Vitor
Hildegarda de Bingen
Ricardo de São Vitor
João de Salisbury
Domingo Gundisalvo
Alain de Lille
Maimônides
"Filipe, o Chanceler"
Roberto Grosseteste
Alexandre de Hales
Pedro de Maricourt
Roger Bacon
Boaventura
Henri de Gante
Tomás de Aquino
Raimundo Lúlio
Arnaldo de Vilanova
Gil de Roma
Teodorico de Freiberg
Hervé de Nédéllec
Meister Eckhart
Dante Alighieri
João Duns Escoto
Marsílio de Pádua
Gersónides
João Baconthorpe
Thomas Bradwardine
Richard FitzRalph
William de Heytesbury
Alberto da Saxônia (filósofo)
Nicolau de Oresme
John Wycliffe
Antipapa Alexandre V
Pierre d'Ailly
Jerônimo de Praga
Caetano de Thiene
Nicolau de Cusa
Dionísio Cartuxo
Base Virtual Internacional de Autoridade
Biblioteca Apostólica Vaticana
Biblioteca Nacional do Chile
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Catálogo de autoridades de nomes e títulos da Catalunha
Consortium of European Research Libraries
CiNii
Academia Real de História da Espanha
Encyclopædia Britannica
Bibliotheca Alexandrina
Faceted Application of Subject Terminology
Gran Enciclopedia Aragonesa
Gemeinsame Normdatei
Istituto centrale per il catalogo unico delle biblioteche italiane e per le informazioni bibliografiche
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
MusicBrainz
Biblioteca Real dos Países Baixos
Sistema Universitário de Documentação
Enciclopédia Treccani
Pontifícia Universidade São Tomás de Aquino
Palazzo Castellani (Florença)
Biblioteca Nacional da Austrália
