Circa
980
Bucara
Uzbequistão
1037
Hamadã
Pérsia
Persas
Filósofo
Medicina
Alquimia
Química
Astronomia
Ética
Filosofia
Geografia
Matemática
Psicologia
Física
Poesia
Ciência
Paleontologia
Quantidade de movimento linear
Avicenismo
Psicanálise
Aromaterapia
Neuropsiquiatria
Geologia
Língua persa
Irã
Latim
Polímata
Livro da Cura
Enciclopédia
Cânone da Medicina
Universidade de Montpellier
Universidade Católica de Leuven
Galeno
Hipócrates
Lógica
Era de Ouro Islâmica
Médio platonismo
Neoplatonismo
Aristotelianismo
Alquindi
Álgebra
Trigonometria
Dinastia Samânida
Coração (região histórica)
Ásia Central
Dinastia buída
Bagdá
Corão
Hádice
Fiqh
Calam
Arrazi
Alfarábi
Bactro
Corásmia
Gurgã
Rei (Irã)
Ispaã
Albiruni
Escolástica
Tomismo
Averroísmo
Escotismo
Guilherme de Ockham
Avicenna
Suma Teológica
Sentenças
João Duns Escoto
Tomás de Aquino
Duns Escoto
Francisco Suárez
Averróes
Alberto Magno
Boaventura
Anselmo de Cantuária
Pedro Lombardo
Aristotelismo
Ordem Dominicana
Ordem dos Frades Menores
Teologia católica
Filosofia islâmica
Empirismo
Problema dos universais
Samânidas
Grande Coração
Balque
Afeganistão
Matemática indiana
Metafísica
Língua árabe
Oriente Médio
Idade de ouro islâmica
Europa medieval
Escolasticismo
Paris
O Cânone da Medicina
San Antonio
EUA
Al-Qanun
Rasis
Dioscórides
Árabes
Indianos
Gregos
Século XIII
Gerardo de Cremona
Século XVIII
Montpellier
Louvain
Romanização (linguística)
Século XI
Médico
Físico
Cientista
Muçulmano
1014
1020
Ciência natural
Geometria
Aritmética
Música
Toledo
1907
Língua alemã
Língua francesa
Língua inglesa
Língua italiana
Cairo
1953
1983
Seyyed Hossein Nasr
International Standard Book Number
Thierry Bianquis
Edmund Robertson
MacTutor History of Mathematics archive
Universidade de St. Andrews
Amsterdam University Press
Janet Afary
Encyclopaedia Iranica
Encyclopædia Britannica
Henry Corbin
University of Notre Dame
Wikimedia
Sleim Ammar
Aconitum
Castóreo
Cannabis
Erythroxylum coca
Atropa belladonna
Hyoscyamus niger
Lactucário
Mandrágora
Datura metel
Ópio
Conium maculatum
Saussurea
Datura inoxia
Salgueiro
Abulcasis
Avenzoar
Aulo Cornélio Celso
Cláudio Galeno
Şerafeddin Sabuncuoğlu
Sushruta Samhita
Teofrasto
Tetrahidrocanabinol
Atropina
Cocaína
Hiosciamina
Morfina
Ácido salicílico
Escopolamina
Alquimia e química no Islã medieval
Harbi al-Himiari
Jafar Alçadique
Jabir ibne Haiane
Abas ibne Firnas
Albaladuri
Ziriabe
Ibne Uaxia
Ibne Nadim
Maslama al-Majriti
Abenguefite
Alcuarismi Alcati
Ibn Miskawayh
Almuiz ibne Badis
Amade ibne Imadadim
Alboácem ibne Muça ibne Arfa Ra'a
Ibne Albaitar
Abu Alabas Anabati
Najemadim Alcatibi
Attar de Nixapur
Ibne Rassame
Takwin
Pedra filosofal
Elixir da vida
Alambique
Atanor
Albuxar de Bactro
Abu Zaíde de Bactro
Ali Cusji
Abū Ja'far al-Khāzin
Alcuarismi
Naceradim de Tus
Omar Caiam
Xarafadim de Tus
Algazel
Nácer Cosroes
Abu Solimão de Sijistão
Axarastani
Abu Hanifa
Amade ibne Hambal
Al-Bukhari
Abu Mansur Maturidi
Muslim ibne Alhajaje
Taftazani
Al-Zamakhshari
Bezade
Ferdusi
Jami
Rudaqui
Jalaladim Maomé Rumi
Alixir Navai
Ata Maleque Juveini
Balami
Ibne Cordadebe
Calide ibne Barmaque
Tair ibne Huceine
Iáia ibne Calide
Sinde ibne Ali
Alhajaje ibne Iúçufe ibne Matar
Al-Mahani
Banu Muça
Hunaine ibne Ixaque
Tabite ibne Curra
Azofi
Alçagani
Ibn Yunus
Ibrahim ibn Sinan
Al-Battānī
Abū Sahl al-Qūhī
Abu Ixaque Ibraim Azarcali
Al-Biruni
Alhazen
Ibn Mu'adh al-Jayyani
Al-Karaji
Iúçufe Almutamã
Jabir ibne Afla
Muiadim do Magrebe
Xameçadim de Samarcanda
Ibn al‐Ha'im al‐Ishbili
Yaʿīsh ibn Ibrāhīm al-Umawī
Ibne Albana de Marraquexe
Ibn al-Shatir
Alcaxi
Cádi Zada Arrumi
Ulugue Begue
Muhammad Baqir Yazdi
Ibne Hâmeza do Magrebe
Ibne Gazi de Mequinez
Almanaque
Tábuas Toledanas
Tabula Rogeriana
O Livro da Cura
Universidade de Alazar
Universidade al-Mustansiriya
Casa da Sabedoria
Madraçal
Maktab
Universidade al Quaraouiyine
Matemática babilônica
Matemática da Grécia Antiga
Ciência bizantina
Medicina na Era Medieval Islâmica
Rufaida Al-Aslamia
Ali ibn Abbas al-Majusi
Al-Zahrawi
Ibn al-Jazzar
Eutíquio de Alexandria
Alhazém
Ibn al-Wafid
Maimônides
Averróis
Ibne Tufail
Ibn al-Nafis
Ibne Alcatibe
Raxidadim de Hamadã
Bimaristão
Medicina da Grécia Antiga
Astronomia islâmica
Calâm
Madraça
Escatologia islâmica
Física islâmica medieval
Escola perenialista
Filosofia sufi
Iluminacionismo
Abdolkarim Soroush
Abzeme
Ibn Arabi
Cobadim de Xiraz
Frithjof Schuon
Riaz Ahmed Gohar Shahi
Hossein Nasr
Martin Lings
Muhammad Baqir al-Sadr
Muhammad Iqbal
Mulá Sadra
René Guénon
Xaabe Aldim Surauardi
Filosofia medieval
Pseudo-Dionísio
João Filopono
Boécio
Isidoro de Sevilha
"Máximo, o Confessor"
Erígena
Saadia Gaon
Pedro Damião
Salomão ibne Gabirol
Algazali
Avempace
Pedro Abelardo
Adelardo de Bath
Gilberto de la Porrée
Bernardo de Claraval
"Pedro, o Venerável"
Hugo de São Vitor
Hildegarda de Bingen
Ricardo de São Vitor
João de Salisbury
Domingo Gundisalvo
