Galileu Galilei
Língua italiana
Latim
Obras fundamentais da Mecânica Clássica
Mecânica
Século XVII
Horologium Oscillatorium
Christiaan Huygens
Princípios Matemáticos da Filosofia Natural
Isaac Newton
Diálogo sobre os Dois Principais Sistemas do Mundo
Lodewijk Elzevir
Holanda do Sul
República de Veneza
Veneza
Holanda
Inquisição
Aristotélico
Velocidade
Projétil
Pierre Gassendi
Epistemologia
Roberto Belarmino
Nicolau Copérnico
Platão
Universidade de Pádua
São Tomás de Aquino
Stillman Drake
Alexandre Koyré
J. B. S. Haldane
John Maynard Smith
Aristóteles
Física aristotélica
Terra
Mastro
Primeira lei de Newton
Lei da inércia
Números infinitos
Hexagonos
Ir para cima
International Standard Serial Number
Digital object identifier
International Standard Book Number
University of Chicago Press
Alessandro De Angelis
Bibcode
Wikisource
