Justus Sustermans
15 de fevereiro
1564
Pisa
Ducado de Florença
8 de janeiro
1642
Florença
Grão-ducado da Toscana
Vincenzo Galilei
Maria Celeste
Alma mater
Universidade de Pisa
Ostilio Ricci
Benedetto Castelli
Mario Guiducci
Vincenzo Viviani
Universidade de Pádua
Astronomia
Física
Matemática
Astrônomo
Físico
Engenheiro
Polímata
Método científico
História da ciência
Princípio de relatividade
Rapidez
Velocidade
Gravidade
Queda livre
Inércia
Movimento parabólico
Pêndulo
Hidrostática
Termoscópio
Telescópio
Fases de Vênus
Luas de Galileu
Júpiter (planeta)
Anéis de Saturno
Mancha solar
Heliocentrismo
Geocentrismo
Sistema Tychonico
Paralaxe estelar
Inquisição romana
Heresia (catolicismo)
Livro sagrado
Diálogo sobre os Dois Principais Sistemas do Mundo
Papa Urbano VIII
Companhia de Jesus
Duas Novas Ciências
Cinemática
Resistência dos materiais
Alaúde
Teórico musical
Née
Basílica de Santa Cruz
Academia Nacional dos Linces
Galileia
Israel
Processo de Galileu Galilei
Tommaso Caccini
Atos dos Apóstolos
Legitimação
Lustre
Christiaan Huygens
Curva tautocrônica
Filosofia natural
Termômetro
Academia das Artes do Desenho
Chiaroscuro
Esteticismo
Cigoli
Mecânica
Pesquisa básica
Ciências aplicadas
Astrologia
William Gilbert
Pitágoras
Lei científica
Il Saggiatore
Escolástica tardia
Parábola
Cónica
Abscissa e ordenada
Trajetória
Arrasto
Terra
Doge de Veneza
Satélite natural
Hans Lippershey
Telescópio refractor
Veneza
Sidereus Nuncius
Supernova
Nova
Supernova de Kepler
Paralaxe
Estrela fixa
Órbita
Satélites de Júpiter
Cosme II de Médici
Simon Marius
Io (satélite)
Europa (satélite)
Ganímedes (satélite)
Calisto (satélite)
Sobre o Céu
Corpo celeste
Cristóvão Clávio
Johannes Kepler
Vénus (planeta)
Fases da Lua
Lua
Sistema Solar
Nicolaus Copernicus
Sol
Ptolomeu
Marciano Capela
Saturno (planeta)
Netuno (planeta)
Palazzo Castellani (Florença)
Francesco Sizzi
Tycho Brahe
Thomas Harriot
Cratera de impacto
Aristóteles
Dante Alighieri
Libração
Via Láctea
Nebulosa
Estrela
Zeta Ursae Majoris
Ursa Major
Magnitude aparente
Segundo de arco
Giovanni Battista Riccioli
Engenharia
Artilharia
Agrimensura
Niccolò Fontana Tartaglia
Guidobaldo del Monte
Canhão
Pólvora
Pelouro (artilharia)
Polígono
Observatório Griffith
Microscópio
Longitude
Giovanni Domenico Cassini
Zebulon Pike
Cronômetro marinho
John Harrison
Catedral de Pisa
Corpo (física)
René Descartes
Mecânica clássica
Isaac Newton
Amplitude
Velocidade da luz
Massa
Torre de Pisa
Experimento mental
Simon Stevin
João Filopono
Apollo 15
David Scott
Lucrécio
Nicole d'Oresme
Domingo de Soto
Teoria aristotélica da gravitação
Jean Buridan
Leis de Newton
Domenico Tintoretto
Roberto Belarmino
Maré
Albert Einstein
Leis de Kepler
Orazio Grassi
Colégio Romano
Controvérsia
Ciência
Ígneo
Christoph Scheiner
Polémica
Friedrich Wilhelm Bessel
Aristarco de Samos
Magnitude (astronomia)
Livro de Salmos
Livros de Crônicas
Eclesiastes
Livro de Josué
Cristina de Lorena
Niccolò Lorini
Concílio de Trento
Protestantismo
Francesco Ingoli
Papa Paulo V
Index Librorum Prohibitorum
Nicolau Copérnico
Família Barberini
Inquisição
Simplício da Cilícia
Vincenzo Maculani
Indiciamento
Abjuração
E pur si muove!
Bartolomé Esteban Murillo
Stillman Drake
Ascanio II Piccolomini
Siena
Eclesiologia
Hérnia
Insônia
Dava Sobel
Fernando II de Médici
Papa Bento XIV
Inquisição espanhola
Terra plana
Papa Pio XII
Pontifícia Academia das Ciências
"Universidade de Roma ""La Sapienza"""
Papa Bento XVI
Paul Feyerabend
Papa João Paulo II
Nicola Cabibbo
Stephen Hawking
Galileo (sonda espacial)
Sistema de navegação por satélite
Galileo
Transformação geométrica
Referencial inercial
Transformação de Galileu
Gal (unidade)
Aceleração
Sistema Internacional de Unidades
Organização das Nações Unidas
Ano Internacional da Astronomia
55 Cancri b
Asteroide
697 Galilea
Bohemian Rhapsody
Queen
A Vida de Galileu
Bertolt Brecht
Kim Stanley Robinson
Galleria degli Uffizi
Queen's University de Belfast
Luas galileanas
De Motu Antiquiora
Lettera a Madama Cristina di Lorena granduchessa di Toscana
Discorso del flusso e reflusso del mare
Élie Diodati
On the Shoulders of Giants: The Great Works of Physics and Astronomy
Cesare Cremonini
Arthur Koestler
Língua inglesa
Mathematics Genealogy Project
International Standard Book Number
University of St Andrews
Springer Science+Business Media
Michał Heller
Bibcode
OCLC
International Standard Serial Number
JSTOR
Digital object identifier
Astronomy Now
Wayback Machine
Jet Propulsion Laboratory
California Institute of Technology
NASA
Waterloo Maple
PubMed Identifier
Scientific American
Universidade Rice
JPL Small-Body Database
Universidade de Oklahoma
Biblioteca do Congresso dos Estados Unidos
Owen Gingerich
Cambridge University Press
Journal for the History of Astronomy
ArXiv
Edward Grant
Alexandre Koyré
Transactions of the American Philosophical Society
Thomas Kuhn
Elsevier
Papa Benedito XVI
Library of Congress Control Number
Pierre Duhem
Enciclopédia Católica
Domínio público
Wikimedia
Projeto Gutenberg
Internet Archive
Galileo Galilei
Astronomia observacional
Invariância de Galileu
Paradoxo de Galileu
Termómetro de Galileu
Aeroporto de Pisa-San Giusto
Filosofia da ciência
Alfred North Whitehead
Augusto Comte
Averróis
Carl Gustav Hempel
Charles Sanders Peirce
Daniel Dennett
Epicurismo
Francis Bacon
Friedrich Wilhelm Joseph von Schelling
