Merton College (Oxford)
Oxford
Lógica matemática
Matemática
Problema (filosofia)
Thomas Bradwardine
Nicolau de Oresme
História da teoria gravitacional
Mecânica
Lógica aristotélica
Física aristotélica
Calor
Força
Cor
Densidade
Luz
Aristóteles
Filosofia
Albatani
Trigonometria
Teorema da velocidade média
Galileu Galilei
Cinemática
Dinâmica
Velocidade
Geometria
Área
Triângulo retângulo
Retângulo
Altura (medida)
Física matemática
História da ciência
Clifford Truesdell
Eudoxo de Cnido
Crescimento exponencial
Família Bernoulli
Leonhard Euler
Juro
Limite
Matemático
História da matemática
Carl Boyer
Boécio
Énuplo
Álgebra
Medicina
Cláudio Galeno
Avicena
Doença
Filósofo
Aceleração
Ciência medieval
Escolástica
Ir para cima
International Standard Serial Number
JSTOR
International Standard Book Number
Uta Merzbach
Anthony Kenny
