Física teórica
Teoria quântica de campos
Força forte
Força fundamental
Quark
Glúon
Hádron
Próton
Nêutron
Píon
Teoria de calibre
Grupo especial unitário
Partícula mensageira
Fóton
Força eletromagnética
Eletrodinâmica quântica
Modelo padrão
Física de partículas
Confinamento (física)
Antiquark
Liberdade assintótica
Plasma de quarks e glúons
Hugh David Politzer
Frank Wilczek
David Gross
Prêmio Nobel de Física
ALICE
Murray Gell-Mann
Finnegans Wake
James Joyce
Cargas
Carga de cor
Eletrodinâmica
Câmara de bolhas
Câmara de faíscas
Partícula elementar
Carga
Isospin
Eugene Paul Wigner
Werner Heisenberg
Kazuhiko Nishijima
Yuval Ne'eman
George Zweig
Bárion omega
Quark strange
Férmions
Princípio de exclusão de Pauli
Nikolai Bogoliubov
Trieste
Bárion Delta
Quark up
Yoichiro Nambu
Richard Feynman
Pártons
James Bjorken
Centro de Aceleração Linear de Stanford
Teoria de perturbações
PETRA
Grande Colisor de Elétrons e Pósitrons
Organização Europeia para a Pesquisa Nuclear
Retículo QCD
Problemas do Prémio Millennium
Clay Mathematics Institute
Espaço-tempo
Teoria de gauge
Bóson de gauge
Quiralidade
Física do estado sólido
Grupo unitário
Grupo abeliano
Quiralidade (física)
Quebra espontânea de simetria
Condensado fermiônico
Número bariônico
Quantização (física)
Instanton
Méson rho
Méson omega
Lagrangiana
Teoria de grupos
Representação adjunta (grupo de Lie)
Matrizes gama
Grupo de Lorentz
Tensor eletromagnético
Constantes de estrutura
Assinatura métrica
Laço de Wilson
Kenneth Wilson
Força fraca
Estranheza (física)
Bósons
Estado singleto
Diagramas de Feynman
Fótons
Fantasmas de Faddeev-Popov
Fixação de gauge
Méson
Mésons
Nucleons
Supercomputador
Sabor (física)
Processo Drell-Yan
Fator de forma
Glueball
Vidro de spin
Entropia
Matéria QCD
