Qubit
Mecânica quântica
Princípio da incerteza de Heisenberg
Introdução à mecânica quântica
Formulação matemática da mecânica quântica
Mecânica clássica
Antiga teoria quântica
Interferência
Notação Bra-ket
Hamiltoniano
Estado quântico
Função de onda
Superposição quântica
Emaranhamento quântico
Efeito do observador (física)
Princípio de exclusão de Pauli
Dualidade onda-corpúsculo
Decoerência quântica
Teorema de Ehrenfest
Efeito túnel
Experiência de dupla fenda
Experimento de Davisson–Germer
Experimento de Stern-Gerlach
Experiências dos testes de Bell
Experiência de Popper
Gato de Schrödinger
Problema de Elitzur-Vaidman
Borracha quântica
Representação de Schrödinger
Representação de Heisenberg
Representação de Dirac
Mecânica matricial
Integração funcional
Equação de Schrödinger
Equação de Pauli
Equação de Klein–Gordon
Equação de Dirac
Interpretações da mecânica quântica
Interpretação de Copenhaga
Interpretação conjunta
Teoria das variáveis ocultas
Interpretação transacional
Interpretação de muitos mundos
Histórias consistentes
Lógica quântica
Interpretação de Bohm
Mecânica quântica estocástica
Mecânica quântica emergente
Teoria quântica de campos
Gravitação quântica
Teoria de tudo
Mecânica quântica relativística
Teoria de campo de Qubits
John Stewart Bell
"Patrick Blackett, Baron Blackett"
Nikolay Bogolyubov
David Bohm
Niels Bohr
John Bardeen
Max Born
Satyendra Nath Bose
Louis de Broglie
Arthur Compton
Leon Neil Cooper
Paul Dirac
Clinton Davisson
F. J. Duarte
Paul Ehrenfest
Albert Einstein
Hugh Everett III
Richard Feynman
Gustav Ludwig Hertz
Werner Heisenberg
Pascual Jordan
Klaus von Klitzing
Polykarp Kusch
Hendrik Anthony Kramers
John von Neumann
Wolfgang Pauli
Willis Lamb
Max von Laue
Robert B. Laughlin
Henry Moseley
Robert A. Millikan
Heike Kamerlingh Onnes
Max Planck
Chandrasekhara Venkata Raman
Owen Willans Richardson
Johannes Rydberg
Erwin Schrödinger
Horst Ludwig Störmer
William Shockley
John Robert Schrieffer
Clifford Shull
Arnold Sommerfeld
Joseph John Thomson
Daniel C. Tsui
John Clive Ward
Wilhelm Wien
Eugene Wigner
Pieter Zeeman
Anton Zeilinger
Wojciech Zurek
Mecânica Quântica
Sobreposição quântica
Computador
D-Wave Two
Computação
Computador de DNA
Transístor
IBM Q System One
Memória
Bit
Átomo
Fótons
Prótons
Nêutrons
Spin
Silício
Bit quântico
Inteligência artificial
Medicamento
Criptografia
Mercado financeiro
Previsão do tempo
Número primo
Codificação binária decimal
RSA
Diffie-Helman
Algoritmo
3DES
Advanced Encryption Standard
Criptografia Quântica
David Deutsch
Máquina de Turing
Peter Shor
Lei de Amdahl
Qubits
Ressonância magnética nuclear
D-Wave
Sudoku
NASA
Google
Números complexos
Matriz (matemática)
Teoria da computação
NP-Completo
Problema da parada
Church-Turing
Wikilivros
História da computação
Autômato
Multimédia
Nanotecnologia
Bioinformática
Hardware
Microcontrolador
Microprocessador
Disco rígido
Memória (computador)
Modem
Placa-mãe
Placa de rede
Placa de som
Placa de vídeo
Placa sintonizadora de TV
Rato (informática)
Teclado (informática)
Impressora
Digitalizador
Software
Programação de computadores
Utilitário
Sistema operativo
Operação bit a bit
Internet
World Wide Web
E-mail
File Transfer Protocol
Internet Relay Chat
P2P
Cientista
Alan Kay
Alan Turing
Ada Lovelace
Charles Babbage
Donald Knuth
Douglas Engelbart
Edsger Dijkstra
Eric Steven Raymond
Larry Wall
Marvin Minsky
Noam Chomsky
Richard Matthew Stallman
Terminologia
Lista de termos de computação
Lista de etimologias de termos usados em computação
Biblioteca Nacional Central de Florença
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Encyclopædia Britannica
Faceted Application of Subject Terminology
Gemeinsame Normdatei
JSTOR
Número de controle da Biblioteca do Congresso
Biblioteca Nacional da Dieta
