Sistemas lineares
Função (matemática)
Função linear
Grandeza escalar
Física
Engenharia
Feixe (física)
Carga
Transformada de Fourier
Transformada de Laplace
Transformação linear
Equação algébrica
Equação diferencial linear
Sistema de equações
Campo vetorial
Espaço vetorial
Análise de Fourier
Senoide
Amplitude
Fase (física)
Função de Green
Delta de Dirac
Onda
Luz
Onda plana
Frequência
Polarização eletromagnética
Óptica não linear
Pressão
Campo eletromagnético
Equação da onda
Interferência
Matrilinearidade
Função de onda
Equação de Schrödinger
Espaço de Hilbert
Equação de Laplace
Problema de Dirichlet
Laplaciano
Engenharia elétrica
Circuito linear
Teorema da superposição
Equações de Maxwell
Carga elétrica
Corrente elétrica
Campo elétrico
Campo magnético
Equação do calor
Engenharia mecânica
Hidrogeologia
Aquífero
Linearização
Música
Léon Brillouin
Daniel Bernoulli
Leonhard Euler
Joseph-Louis Lagrange
Jean Baptiste Joseph Fourier
