Mecânica hamiltoniana
Quaterniões
Caminho hamiltoniano
Nabla
Tensor
Teorema de Cayley-Hamilton
Equação de Hamilton–Jacobi
4 de agosto
1805
Dublim
2 de setembro
1865
Irlandeses
Reino Unido da Grã-Bretanha e Irlanda
Alma mater
Trinity College de Dublim
Matemático
Físico
Astrônomo
Acadêmico
Professor universitário
Medalha Real
John Brinkley
Física
Astronomia
Matemática
Anglicanismo
Mecânica clássica
Deslocamento
Velocidade
Velocidade escalar
Aceleração
Aceleração centrípeta
Movimento uniforme
Movimento uniformemente variado
Movimento retilíneo
Movimento parabólico
Movimento circular
Movimento circular uniforme
Movimento curvilíneo
Movimento harmônico simples
Movimento harmônico complexo
Força
Inércia
Produto de inércia
Leis de Newton
Primeira Lei de Newton
Segunda Lei de Newton
Terceira Lei de Newton
Equações de movimento
Ressonância
História da física
Energia cinética
Energia potencial
Trabalho (física)
Lei da conservação da energia
Força conservativa
Força de contato
Função de Lagrange
Potência
Retropropulsão
Princípio de Hamilton
Centro de massas
Corpo rígido
Momento linear
Conservação do momento linear
Equilíbrio dinâmico
Princípio de d'Alembert
Sistema massa-mola
Impulso
Colisão elástica
Colisão inelástica
Posição angular
Deslocamento angular
Velocidade angular
Aceleração angular
Momento de inércia
Torque
Momento angular
Sistema dinâmico
Sistema de equações lineares
Sistema dinâmico não linear
Sistema hamiltoniano
Teoria do caos
Mecânica newtoniana
Mecânica de Lagrange
Mecânica clássica de Koopman-von Neumann
Equação de Udwadia-Kalaba
Mecânica de Routhian
Lei da gravitação universal
Princípio da superposição
Constante gravitacional universal
Velocidade de escape
Leis de Kepler
Princípio da equivalência
Isaac Newton
Leonhard Euler
Joseph-Louis Lagrange
Pierre-Simon Laplace
Galileu Galilei
Johannes Kepler
Astrónomo
Irlanda
Óptica
Dinâmica
Álgebra
Mecânica analítica
Mecânica quântica
Teoria quântica de campos
Hamiltoniano
Prodígio
Língua grega antiga
Latim
Língua hebraica
Língua persa
Língua árabe
Sânscrito
Siríaco
Língua francesa
Língua italiana
Zerah Colburn
Alexis Clairaut
Summerhill (Irlanda)
George Biddell Airy
William Wordsworth
Armagh
Telescópio
Augustin-Jean Fresnel
James MacCullagh
Immanuel Kant
Associação Britânica para o Avanço da Ciência
Bristol
Alcoolismo
Euclides
Gota (doença)
Academia Nacional de Ciências
Estados Unidos
Charles Lyell
John William Lubbock
Michael Faraday
George Newport
John Herschel
Edmund Robertson
MacTutor History of Mathematics archive
Universidade de St. Andrews
Mathematics Genealogy Project
James Ivory (matemático)
John Dalton
Friedrich Georg Wilhelm Struve
Humphry Davy
Johann Franz Encke
William Hyde Wollaston
Charles Bell
Eilhard Mitscherlich
Antoine Jérôme Balard
David Brewster
Augustin Pyrame de Candolle
William Whewell
William Henry Fox Talbot
Thomas Graham
Martin Barry
Charles Wheatstone
Eaton Hodgkinson
Robert Kane
John Frederic Daniell
William Bowman
James David Forbes
George Boole
Thomas Andrews (cientista)
Thomas Snow Beck
Richard Owen
George Fownes
William Robert Grove
Charles James Hargreave
Thomas Galloway
Edward Sabine
Gideon Mantell
Benjamin Collins Brodie
Base Virtual Internacional de Autoridade
Biblioteca Apostólica Vaticana
Bibsys
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Catálogo de autoridades de nomes e títulos da Catalunha
Consortium of European Research Libraries
CiNii
Universidade de Oxford
Encyclopædia Britannica
Faceted Application of Subject Terminology
Gemeinsame Normdatei
Istituto centrale per il catalogo unico delle biblioteche italiane e per le informazioni bibliografiche
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
Biblioteca Nacional da Dieta
Biblioteca Nacional da Austrália
Biblioteca Nacional da China
Notable Names Database
National Portrait Gallery
Biblioteca Real dos Países Baixos
Oxford University Press
Sistema Universitário de Documentação
Enciclopédia Treccani
WikiTree
Open Library
Biblioteca Nacional de Israel
Palazzo Castellani (Florença)
