Gema esculpida
Efígie
190 a.C.
Niceia
120 a.C.
Rodes (cidade)
Astrônomo
Matemático
Cartógrafo
Língua grega antiga
Romanização (linguística)
Grécia Antiga
Máquina
Escola de Alexandria
Bitínia
İznik
Turquia
Alexandria
Astronomia
Trigonometria
Hípsicles
Babilónia
Círculo
Minuto de arco
Segundo de arco
Euclides
Apolônio de Perga
Eratóstenes
Arquimedes
Ptolomeu
Aristarco de Samos
Estrela
Precessão dos equinócios
Sol
Lua
Astrolábio
Cartografia
Projeção estereográfica
Terra
Eclipses
Precessão axial
Aristilo
Spica
Ponto vernal
Equador celeste
Esfera celeste
Matemática da Grécia Antiga
Física
Eclipse
Astrometria
Carta celeste
Cientista
Ciência
Museu alexandrino
Biblioteca de Alexandria
Anexo:Lista de diretores da Biblioteca de Alexandria
Herófilo
Heron de Alexandria
Conon de Samos
Téon de Alexandria
Erasístrato
Filosofia
Teologia
Escola Catequética de Alexandria
Atanásio
Gregório Taumaturgo
"Dídimo, o Cego"
Dionísio de Alexandria
Héraclas de Alexandria
Cirilo de Alexandria
Clemente de Alexandria
Orígenes
Panteno
Pedro de Alexandria
Filo
Neoplatonismo
Amônio de Hérmias
Heliodoro de Alexandria
Hérmias de Alexandria
Hipátia
"Davi, o Invencível"
João Filopono
Nemésio de Emesa
"Olimpiodoro, o Jovem"
Sinésio
Estêvão de Bizâncio
Edésia
Filologia
Apolônio Eidógrafo
Aristarco de Samotrácia
Aristófanes de Bizâncio
Dídimo Calcêntero
Zenódoto de Éfeso
Literatura
Apolônio de Rodes
Arato de Solos
Calímaco de Cirene
Licofrão de Cálcis
Teócrito
Hesíquio de Alexandria
Dionísio de Trácia
Anexo:Lista de filósofos platônicos antigos
Matemática grega
Anaxágoras
Antêmio de Trales
Arquitas de Tarento
"Aristeu, o Velho"
Autólico de Pitane
Bion de Abdera
Boécio
Calipo
Carpo de Antioquia
Crisipo de Solis
Ctesíbio
Demócrito
Dicearco
Díocles
Diofanto
Eudemo de Rodes
Eudoxo de Cnido
Eutócio de Ascalão
Gêmino
Hipaso de Metaponto
Hípias de Élis
Hipócrates de Quio
Isidoro de Mileto
"Leão, o Matemático"
Marino de Neápolis
Menêcmo
Menelau de Alexandria
Nicômaco de Gérasa
Nicoteles de Cirene
Papo de Alexandria
Filolau
Filon
Porfírio
Posidônio
Proclo
Ptolemeu
Pitágoras
Simplício da Cilícia
Sosígenes de Alexandria
Tales de Mileto
Teano (filósofa)
Temistocleia
Teodoro de Cirene
Xenócrates
Zenão de Eleia
Zenão de Sídon
Zenodoro (matemático)
Almagesto
Palimpsesto de Arquimedes
Aritmética
Elementos de Euclides
O Contador de Areia
Academia
Cirene (cidade)
Matemática babilônica
Matemática egípcia
Matemática indiana
Problema de Apolônio
Quadratura do círculo
Duplicação do cubo
Trissecção do ângulo
Astronomia na Grécia Antiga
Acoreu
Aglaonice (astrônoma)
Anaximandro
Andrónico de Cirro
Apolônio de Pérgamo
Arato
Cleóstrato
Euctêmon
Filolau de Crotona
Hicetas
Meton
Filipo de Opunte
Píteas
Seleuco de Selêucia
"Sosígenes, o Peripatético"
Estrabão
Sobre os Céus
Máquina de Anticítera
Esfera armilar
Gnômon
Instrumento de mural
Triquetrum (astronomia)
Deferente
Epiciclo
Equante
Geocentrismo
Heliocentrismo
Ciclo metônico
Solstício
Terra redonda
Esfera sublunar
Zodíaco
Astronomia babilônica
Astronomia indiana
Astronomia no Islã medieval
Base Virtual Internacional de Autoridade
Biblioteca Apostólica Vaticana
Bibsys
Museu Britânico
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Consortium of European Research Libraries
CiNii
Encyclopædia Britannica
Faceted Application of Subject Terminology
Gemeinsame Normdatei
Istituto centrale per il catalogo unico delle biblioteche italiane e per le informazioni bibliografiche
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
Biblioteca Nacional da Austrália
Biblioteca Nacional da Grécia
Notable Names Database
Biblioteca Real dos Países Baixos
Sistema Universitário de Documentação
Enciclopédia Treccani
Biblioteca Nacional do Brasil
Open Library
Biblioteca Nacional de Israel
École Biblique
Palazzo Castellani (Florença)
Biblioteca Nacional da Polónia
Escola Arqueológica Italiana de Atenas
