Física geral
Equações de Maxwell
Física
História da física
Filosofia da física
Mecânica clássica
Mecânica quântica
Termodinâmica
Eletromagnetismo
Relatividade
Comprimento
Área
Volume
Tempo
Ângulo plano
Ângulo sólido
Velocidade
Velocidade angular
Frequência
Vazão
Fluxo (física)
Aceleração
Aceleração angular
Força
Pressão
Torque
Energia
Calor
Trabalho (física)
Temperatura
Capacidade térmica
Calor específico
Condutividade térmica
Potência
Massa
Densidade
Quantidade de matéria
Carga elétrica
Corrente elétrica
Tensão elétrica
Resistência elétrica
Resistividade
Condutividade elétrica
Condutância elétrica
Capacitância
Indutância
Momento do dipolo elétrico
Campo elétrico
Momento de dipolo magnético
Campo magnético
Fluxo magnético
Convergência
Física teórica
Física aplicada
Astrofísica
Óptica
Biofísica
Ciência dos materiais
Ciência de superfícies
Física da matéria condensada
Geofísica
Física nuclear
Galileu Galilei
Isaac Newton
Rudolf Clausius
Ludwig Boltzmann
Charles-Augustin de Coulomb
André-Marie Ampère
Carl Friedrich Gauss
Michael Faraday
Hans Christian Ørsted
James Clerk Maxwell
Max Planck
Albert Einstein
Ernest Rutherford
Niels Bohr
Louis de Broglie
Erwin Schrödinger
Richard Feynman
Henry Cavendish
Robert Andrews Millikan
Pêndulo de Foucault
Espalhamento de Rutherford
Experiência de Cavendish
Experimento da dupla fenda
Experiência da gota de óleo
Experimento de Davisson-Germer
Experiência de Michelson-Morley
Experimento de Franck-Hertz
Experimento de Stern-Gerlach
Experimento de Ørsted
Colisor Relativístico de Íons Pesados
Grande Colisor de Hádrons
Telescópio Espacial James Webb
Matéria
Radiação
Interação
Física de altas energias
Lista de partículas elementares
Elétron
Próton
Gráviton
Raio cósmico
Méson pi
Méson mu
Modelo Padrão
Partícula elementar
Teoria quântica de campos
Teoria de gauge
Quebra espontânea de simetria
Mecanismo de Higgs
Interação eletrofraca
Cromodinâmica quântica
Matriz CKM
Problema de hierarquia
Oscilação de neutrinos
Física além do modelo padrão
J. J. Thomson
James Chadwick
Satyendra Nath Bose
E. C. George Sudarshan
Masatoshi Koshiba
Raymond Davis Jr.
Carl David Anderson
Enrico Fermi
Paul Dirac
Carlo Rubbia
Murray Gell-Mann
Henry Way Kendall
Richard E. Taylor
Jerome Isaac Friedman
C. F. Powell
Philip Warren Anderson
Sheldon Lee Glashow
John Iliopoulos
Luciano Maiani
Simon van der Meer
Yoichiro Nambu
Owen Chamberlain
Nicola Cabibbo
Melvin Schwartz
Martin Lewis Perl
Ettore Majorana
Steven Weinberg
Tsung-Dao Lee
John Clive Ward
Abdus Salam
Makoto Kobayashi
Toshihide Maskawa
Yang Chen-Ning
Hideki Yukawa
Gerard 't Hooft
Martinus J. G. Veltman
David Gross
Hugh David Politzer
Frank Wilczek
James Cronin
Val Logsdon Fitch
John Hasbrouck Van Vleck
Peter Higgs
François Englert
Robert Brout
C. R. Hagen
Gerald Guralnik
Tom Kibble
Samuel C. C. Ting
Burton Richter
Tales de Mileto
Demócrito
Átomo
John Dalton
Diagrama de Feynman
Partícula subatômica
Partícula
Partículas subatômicas
Nêutron
Fóton
Neutrino
Múon
Matéria exótica
Leptons
Constante de Planck
Pósitron
Spin
Quarks
Glúons
Antipróton
1955
Antinêutron
Quark
Bóson
Velocidade da luz
Méson
Hádrons
Híperon
Glúon
Interação forte
Interação eletromagnética
Tau
Lépton
Antipartícula
Muon
Neutrino de tau
Férmion
Interações fundamentais
Lei da conservação da energia
Princípio da incerteza de Heisenberg
Força eletromagnética
Energia potencial elétrica
Constante de estrutura fina
Gravidade
Momento magnético
Eletrodinâmica quântica
Força forte
Hádron
Núcleo atómico
Píon
Força fraca
Emissão beta
Antimatéria
Física de aceleradores
Física matemática
Modelo padrão
Partícula virtual
Processo Drell-Yan
Supersimetria
Teorias de grande unificação
Teoria das supercordas
Táquion
Fenomenologia (física de partículas)
Física computacional
Física experimental
Física clássica
Mecânica de meios contínuos
Mecânica dos sólidos
Mecânica dos fluidos
Acústica
Eletrostática
Magnetostática
Plasma
Mecânica estatística
Física mesoscópica
Matéria mole
Física do estado sólido
Física moderna
Gravitação quântica
Informação quântica
Mecânica relativista
Relatividade geral
Relatividade restrita
Astrofísica de partículas
Física atômica
Física molecular
Ótica
Fotônica
Óptica quântica
Cosmologia física
Astrofísica nuclear
Mecânica celeste
Física solar
Heliofísica
Física espacial
Agrofísica
Física médica
Neurofísica
Engenharia física
Meteorologia física
Físico-química
Física química
Computador quântico
Sociofísica
Econofísica
Nobel de Física
Teoria de tudo
