Godfrey Kneller
4 de janeiro
1643
Woolsthorpe-by-Colsterworth
Lincolnshire
Reino da Inglaterra
31 de março
1727
Kensington (Londres)
Middlesex
Reino da Grã-Bretanha
Cálculo renal
Britânicos
Ingleses
Alma mater
Trinity College (Cambridge)
Universidade de Cambridge
Cientista
Princípios Matemáticos da Filosofia Natural
Leis de Newton
Protestantismo
Presidentes da Royal Society
25 de dezembro
1642
Calendário juliano
Calendário gregoriano
20 de março
Matemático
Físico
Astrônomo
Teólogo
Autor
Filosofia natural
Revolução Científica
Mecânica clássica
Óptica
Gottfried Wilhelm Leibniz
Cálculo infinitesimal
Lei da gravitação universal
Teoria da relatividade
Albert Einstein
Gravidade
Leis de Kepler
Maré
Trajetória
Cometa
Precessão axial
Heliocentrismo
Sistema Solar
Dinâmica
Corpo celeste
Mecânica celeste
Esferoide
Pierre Louis Moreau de Maupertuis
Charles Marie de La Condamine
Telescópio newtoniano
Prisma
Espectro eletromagnético
Espectro visível
Lei do resfriamento de Newton
Velocidade do som
Fluido newtoniano
Binómio de Newton
Método de Newton–Raphson
Raiz (matemática)
Professor lucasiano
Cristão
Trindade (cristianismo)
Ordem (sacramento)
Igreja Anglicana
Alquimia
Cronologia bíblica
Partido Whig (Reino Unido)
Cavaleiro
Ana da Grã-Bretanha
Royal Society
Woolsthorpe Manor
Hamlet (lugar)
Parto pré-termo
Quarto (volume)
The King's School
Relógio de sol
Valet
Aristóteles
René Descartes
Galileu Galilei
Johannes Kepler
Mecanicismo (filosofia)
Cálculo
Grande Praga de Londres
Isaac Barrow
Lista de membros da Royal Society eleitos em 1672
Nicolas Fatio de Duillier
Identidades de Newton
Polinómio
Variável (matemática)
Operador de diferença
Geometria analítica
Equação diofantina
Série (matemática)
Série harmónica (matemática)
Logaritmo
Série de potências
Simon Stevin
Anglicanismo
Carlos II de Inglaterra
Telescópio refletor
Refração
Lente
Corpuscularismo
Telescópio refractor
Dispersão (óptica)
Aberração cromática
Objetiva (óptica)
Anéis de Newton
Qualidade (filosofia)
Robert Hooke
Éter luminífero
Platonistas de Cambridge
Hermetismo
John Maynard Keynes
Máquina eletrostática
Thomas Young
Augustin Jean Fresnel
Christiaan Huygens
Johann Wolfgang von Goethe
John Dollond
Planeta
John Flamsteed
Edmond Halley
De motu corporum in gyrum
Revolução Industrial
Lei de Boyle-Mariotte
Achatamento
Ocultismo
James Stirling (matemático)
Plano projectivo
John Locke
Primeira Epístola de João
Comma Johanneum
Cunhagem
Falsificação
"Enforcado, arrastado e esquartejado"
Direito da Inglaterra
Juiz de paz
Condado doméstico
Académie des Sciences
Astrônomo Real Britânico
Cavaleiro Celibatário
Francis Bacon
Padrão-ouro
Companhia dos Mares do Sul
Winchester
Catherine Barton
Varíola
Abadia de Westminster
Voltaire
Virgindade
Charles Hutton
Carl Sagan
Transtorno mental
Samuel Pepys
Joseph-Louis Lagrange
Alexander Pope
Epitáfio
Sobre os ombros de gigantes
Guinness World Records
Michael Faraday
James Clerk Maxwell
Museu de História Natural da Universidade de Oxford
William Kent
Putto
Banco da Inglaterra
Eduardo Paolozzi
Heresia
História do cristianismo
Atanásio de Alexandria
Ário
Credo de Atanásio
Grande Apostasia
Idolatria
Semiarianismo
Jesus
Consubstancialidade
Monoteísmo
Antitrinitarismo
Padres da Igreja
Crítica textual
Imanência
Hilozoísmo
Baruch Espinoza
Design inteligente
Divina Providência
Movimento perpétuo
Samuel Clarke
Correspondência Leibniz-Clarke
Pierre-Simon Laplace
Napoleão Bonaparte
David Brewster
Trinitarismo
William Blake
Tate
Robert Boyle
Racionalismo
Panteísmo
Entusiasmo
Latitudinarianismo
Metafísica
Superstição
Ateísmo
Pensamento mágico
Iluminismo
Cristianismo místico
Prova matemática
Rosa-cruz
Platão
Apocalipse 12
Sic
Fritz Leiber
Pedra filosofal
Reino Unido
Cambridge
Universidade de Indiana
Charles Coulston Gillispie
Jan Baptista van Helmont
Natureza
Direito natural
Macieira de Isaac Newton
William Stukeley
John Conduitt
Fundo Nacional para Locais de Interesse Histórico ou Beleza Natural (Reino Unido)
Newton (escala)
Opticks
Arithmetica Universalis
The Chronology of Ancient Kingdoms
Method of Fluxions
Língua inglesa
International Standard Serial Number
JSTOR
PubMed Central
PubMed Identifier
Digital object identifier
International Standard Book Number
John Venn
John Archibald Venn
ArXiv
Bibcode
Wayback Machine
Undergraduate Texts in Mathematics
OCLC
John Keble
Richard Westfall
John P. Meier
Wikimedia
Encyclopædia Britannica (edição de 1911)
Domínio público
LibriVox
Google Scholar
Eric W. Weisstein
Mathematics Genealogy Project
Hugh Chisholm
Encyclopædia Britannica
"Encyclopædia Britannica, Inc."
National Portrait Gallery
Londres
William Whiston
Hans Sloane
Ateísmo na Era do Iluminismo
Capitalismo
Método da dúvida
Ciência na Era do Iluminismo
Classicismo de Weimar
Contrailuminismo
Deísmo
Democracia
Despotismo esclarecido
Dialética do Iluminismo
Direitos humanos
Educação na Era do Iluminismo
Empirismo
Encyclopédie
Enciclopedistas
Haskalá
Humanismo
Liberalismo clássico
Liberdades civis
"Liberté, égalité, fraternité"
Mulheres no Iluminismo
Mercado livre
Nacionalismo
Objetividade (filosofia)
Pensamento crítico
Racionalidade
Razão
Reducionismo
Sapere aude
Socialismo
Iluminismo alemão
Carl Friedrich Gauss
Johann Gottfried von Herder
Wilhelm von Humboldt
Immanuel Kant
Gotthold Ephraim Lessing
Georg Christoph Lichtenberg
Moisés Mendelssohn
Samuel von Pufendorf
Friedrich Schiller
Christian Thomasius
Gabriel Wagner
Christoph Martin Wieland
Iluminismo escocês
Joseph Black
James Boswell
Robert Burns
William Cullen
Adam Ferguson
David Hume
James Hutton
James Mill
John Playfair
Thomas Reid
Adam Smith
Dugald Stewart
Iluminismo na Espanha
Gaspar Melchor de Jovellanos
José Cadalso
Leandro Fernández de Moratín
Martín Sarmiento
Iluminismo americano
Benjamin Franklin
Thomas Jefferson
James Madison
Thomas Paine
Jean le Rond d'Alembert
"René Louis de Voyer de Paulmy, marquês d'Argenson"
Pierre Bayle
Pierre-Augustin Caron de Beaumarchais
Nicolas Chamfort
Émilie du Châtelet
Étienne Bonnot de Condillac
Marquês de Condorcet
Denis Diderot
Bernard le Bovier de Fontenelle
Claude-Adrien Helvétius
Barão d'Holbach
Louis de Jaucourt
"Georges-Louis Leclerc, conde de Buffon"
Julien Offray de La Mettrie
Gabriel Bonnot de Mably
Sylvain Maréchal
Jean Meslier
Montesquieu
Étienne-Gabriel Morelly
Blaise Pascal
François Quesnay
Guillaume-Rhomas François Raynal
Marquês de Sade
Anne Robert Jacques Turgot
Rigas Feraios
Adamántios Koraís
Joseph Addison
"Anthony Ashley-Cooper, 3.º Conde de Shaftesbury"
Jeremy Bentham
Edward Gibbon
William Godwin
Samuel Johnson
John Milton
Richard Price
Joseph Priestley
Joshua Reynolds
Mary Wollstonecraft
Iluminismo nas Terras Médias
Matthew Boulton
Erasmus Darwin
James Watt
Josiah Wedgwood
Joseph Wright
James Wyatt
Edmund Burke
George Berkeley
John Toland (matemático)
Cesare Beccaria
Luigi Galvani
Antonio Genovesi
Francesco Mario Pagano
Giambattista Vico
Anton van Leeuwenhoek
Bernard Nieuwentyt
Hugo Grócio
Jan Swammerdam
Estanislau II Augusto da Polônia
Hugo Kołłątaj
Ignacy Krasicki
Julian Ursyn Niemcewicz
Stanisław Staszic
Józef Wybicki
Sebastião José de Carvalho e Melo
Samuil Micu-Klein
Iluminismo russo
Denis Fonvizin
Mikhail Lomonossov
Dositej Obradović
Firmin Abauzit
Charles Bonnet
Jean-Jacques Burlamaqui
Jean-Louis de Lolme
Jean-Jacques Rousseau
Pierre Prévost
Horace-Bénédict de Saussure
Abstração
Abstração hipostática
Alma
Anima mundi
Arquétipo
Categorização
Causalidade
Cogito ergo sum
Cognição incorporada
Conceito
Corpo (física)
Distinção tipo-token
Ente
Escolha
Essência
Existência
Experiência (filosofia)
Forma substancial
Hipóstase
Ideia
Identidade (filosofia)
Informação
Inobservável
Intuição
Inteligência
Matéria (filosofia)
Memética
Mente
Necessidade (filosofia)
Movimento
Noção primitiva
Objeto
Padrão
Pensamento
Percepção
Princípio
Propriedade (filosofia)
Qualia
Realidade
Representação mental
Ser
Sujeito (filosofia)
Tempo
Universal (metafísica)
Valor (ética)
Verdade
Vontade
Antirrealismo
Determinismo
Dualismo
Dinamismo
Enação
Essencialismo
Existencialismo
Fenomenalismo
Fisicalismo
Idealismo platônico
Idealismo
Liberdade
Libertarianismo (metafísica)
Livre-arbítrio
Materialismo
Monismo
Naturalismo (filosofia)
Niilismo
Realismo científico
Realismo filosófico
Relativismo
Sentido da vida
Solipsismo
Subjetivismo
Substância (filosofia)
Teoria da ação
Teoria do ato e potência
Teoria dos objetos abstratos
Teoria dos tipos
Agostinho de Hipona
João Duns Escoto
Parmênides
Plotino
Tomás de Aquino
Arthur Schopenhauer
Baruch Spinoza
Bertrand Russell
Francisco Suárez
Friedrich Nietzsche
Georg Wilhelm Friedrich Hegel
Martin Heidegger
Alfred North Whitehead
Alvin Plantinga
Charles Sanders Peirce
David Lewis
David Malet Armstrong
Derek Parfit
Donald Davidson
G. E. M. Anscombe
G. E. Moore
Gilbert Ryle
Gilles Deleuze
Henri Bergson
Hilary Putnam
Jean-Paul Sartre
Joseph Maréchal
Ludwig Wittgenstein
Michael Dummett
Nicolas Malebranche
Peter Frederick Strawson
Peter van Inwagen
Robin George Collingwood
Rudolf Carnap
Saul Kripke
Willard Van Orman Quine
Axiologia
Cosmogonia
Cosmologia
Epistemologia
Filosofia da mente
Filosofia do si
Filosofia do tempo
Física teórica
Henologia
Interpretações da mecânica quântica
Ontologia
Teleologia
Filosofia da ciência
Augusto Comte
Averróis
Carl Gustav Hempel
Daniel Dennett
Epicurismo
Friedrich Wilhelm Joseph von Schelling
Henri Poincaré
Herbert Spencer
Hugo de São Vitor
Imre Lakatos
John Dewey
John Stuart Mill
Jürgen Habermas
Karl Pearson
Karl Popper
Karl Jaspers
Mário Bunge
Otto Neurath
Paul Feyerabend
Pierre Duhem
Pierre Gassendi
Roger Bacon
Thomas Hobbes
Thomas Kuhn
Willard van Orman Quine
Wilhelm Windelband
Wilhelm Wundt
William of Ockham
William Whewell
Lista de filósofos da ciência
Análise (filosofia)
Analítico
A priori
Inteligência artificial
Círculo de Viena
Comprovação científica
Construto
Estoicismo
Experiência científica
Falsificabilidade
Filosofia da natureza
Hipótese de Ortega
Ignoramus et ignorabimus
Investigação
Objetividade
Observação
Paradigma
Poder explicativo
Problema da indução
Problema da demarcação
Método científico
Revolução científica
Teoria científica
Cepticismo
Cientificismo
Contextualismo
Empiricismo
Falibilismo
Fundacionalismo
Infinitismo
Instrumentalismo
Positivismo
Pragmatismo
Uniformitarismo
Vitalismo
História da ciência
Filosofia das ciências sociais
Filosofia da biologia
Filosofia da química
Filosofia da física
Filosofia da inteligência artificial
Filosofia da informação
Filosofia da percepção
Filosofia da ciência da computação
Pseudociência
Equação diferencial
Sistema de equações diferenciais
Equações diferenciais
Equações diferenciais ordinárias
Equação diferencial ordinária de primeira ordem
Equação diferencial de d'Alembert
Equação diferencial de Bernoulli
Equação de Clairaut
Equação de Duffing
Decaimento exponencial
Equação de Euler
Equação de Lane-Emden
Equação de Lotka-Volterra
Equação do pêndulo
Equação de Riccati
Crescimento demográfico (equação diferencial)
Trajetória ortogonal
Equação diferencial parcial
Equação de Mason-Weaver
Equação do transporte
Equação de Laplace
Equação de Poisson
Equação do calor
Equações de Navier-Stokes
Equação da onda
Separação de variáveis
Método de Frobenius
Método de d'Alembert
Método dos elementos de contorno
Método dos elementos finitos
Método de Euler
Método Multigrid
Método de Runge-Kutta
Método de Dormand-Prince
Wronskiano
Método da variação de parâmetros
Leonhard Euler
Charles Émile Picard
Josef Hoëné-Wronski
Ernst Leonard Lindelöf
Rudolf Lipschitz
Augustin-Louis Cauchy
John Crank
Phyllis Nicolson
Carl Runge
Martin Wilhelm Kutta
Lema de Grönwall
Teorema de Picard-Lindelöf
Teoria de Sturm-Liouville
Nicholas Saunderson
John Colson
Edward Waring
Isaac Milner
Robert Woodhouse
Thomas Turton
George Biddell Airy
Charles Babbage
Joshua King (matemático)
George Gabriel Stokes
Joseph Larmor
Paul Dirac
Michael James Lighthill
Stephen Hawking
Michael Green
Michael Cates
Século XVII
Robert Moray
William Brouncker
Christopher Wren
John Vaughan
Thomas Herbert
Século XVIII
Martin Folkes
John Pringle
Século XIX
Joseph Banks
William Hyde Wollaston
Humphry Davy
Davies Gilbert
"Augusto Frederico, Duque de Sussex"
William Parsons
John Wrottesley
Benjamin Collins Brodie
Edward Sabine
Joseph Dalton Hooker
William Spottiswoode
Thomas Henry Huxley
William Thomson
Joseph Lister
Século XX
William Huggins
John William Strutt
Archibald Geikie
William Crookes
Joseph John Thomson
Charles Scott Sherrington
Ernest Rutherford
Frederick Gowland Hopkins
William Henry Bragg
Henry Dale
Robert Robinson
