Portal (internet)
Estados Unidos
Língua inglesa
1995
Acrónimo
Online e offline
Revista acadêmica
Organização sem fins lucrativos
Auto-sustentável
Escritório
Nova Iorque
Ann Arbor
Michigan
Biblioteca
Biblioteca universitária
Periódicos
Universidade de Princeton
1972
1988
Economia
História
1996
Software
Fotografia
Gráfico
Royal Society de Londres
Philosophical Transactions
1665
2000
2007
Banco de dados
2010
2011
Ativistas da Internet
Aaron Swartz
MIT
Download e upload
Artigo científico
Câmera
Crime
Fraude
Fiança
Dólar
2012
Governo dos EUA
Prisão
Multa
Suicídio
2013
Universidade
Internet
OCLC
Wayback Machine
Base Virtual Internacional de Autoridade
Bibsys
Biblioteca Nacional da França
Gemeinsame Normdatei
Global Research Identifier Database
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
Online Computer Library Center
Biblioteca Nacional de Israel
