Béthune
Paris
Reino da França
Alma mater
Universidade de Paris
Filósofo
Teólogo
Lógico
Escritor
Nominalismo
Lógica
Igreja Católica
Latim
1300
1358
França
Idade Média
Ímpeto
Dinâmica
Galileu
Inércia
Isaac Newton
Padre
Franciscanos
Dominicanos
Pierre Duhem
Paradoxo
Asno de Buridan
Sobre o Céu
Aristóteles
Canis lupus familiaris
Determinismo
Burro
Lista de clérigos-cientistas católicos
Escolástica
Ciência medieval
Filosofia medieval
Pseudo-Dionísio
João Filopono
Boécio
Isidoro de Sevilha
"Máximo, o Confessor"
Albuxar de Bactro
Alquindi
Erígena
Rasis
Alfarábi
Saadia Gaon
Alhazém
Avicena
Pedro Damião
Salomão ibne Gabirol
Anselmo de Cantuária
Algazali
Avempace
Pedro Abelardo
Adelardo de Bath
Gilberto de la Porrée
Bernardo de Claraval
"Pedro, o Venerável"
Pedro Lombardo
Hugo de São Vitor
Hildegarda de Bingen
Ricardo de São Vitor
João de Salisbury
Domingo Gundisalvo
Averróis
Alain de Lille
Maimônides
"Filipe, o Chanceler"
Roberto Grosseteste
Alexandre de Hales
Alberto Magno
Pedro de Maricourt
Roger Bacon
Boaventura
Henri de Gante
Tomás de Aquino
Raimundo Lúlio
Arnaldo de Vilanova
Gil de Roma
Teodorico de Freiberg
Hervé de Nédéllec
Meister Eckhart
Dante Alighieri
João Duns Escoto
Marsílio de Pádua
Gersónides
João Baconthorpe
Thomas Bradwardine
Richard FitzRalph
William de Heytesbury
Alberto da Saxônia (filósofo)
Nicolau de Oresme
John Wycliffe
Antipapa Alexandre V
Pierre d'Ailly
Jerônimo de Praga
Caetano de Thiene
Nicolau de Cusa
Dionísio Cartuxo
Tomismo
Averroísmo
Escotismo
Guilherme de Ockham
Avicenna
Suma Teológica
Sentenças
Averróes
Duns Escoto
Francisco Suárez
João Escoto Erígena
Nicole d'Oresme
Robert Grosseteste
Filosofia
Aristotelismo
Ordem Dominicana
Ordem dos Frades Menores
Teologia católica
Filosofia islâmica
Empirismo
Problema dos universais
Base Virtual Internacional de Autoridade
Biblioteca Apostólica Vaticana
Bibsys
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Catálogo de autoridades de nomes e títulos da Catalunha
Consortium of European Research Libraries
CiNii
Encyclopædia Britannica
Faceted Application of Subject Terminology
Gemeinsame Normdatei
Istituto centrale per il catalogo unico delle biblioteche italiane e per le informazioni bibliografiche
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
Biblioteca Nacional da Austrália
Notable Names Database
Biblioteca Real dos Países Baixos
Sistema Universitário de Documentação
Enciclopédia Treccani
Biblioteca Nacional de Portugal
Open Library
Biblioteca Nacional de Israel
Pontifícia Universidade São Tomás de Aquino
Palazzo Castellani (Florença)
Biblioteca Nacional da Polónia
