Teoria aristotélica da gravitação
Movimento parabólico
Gravidade
João Filopono
Alpetrágio
Avicena
Jean Buridan
Inércia
Momento linear
Aceleração
Mecânica clássica
O Livro da Cura
Projétil
Arrasto
Aristóteles
Alberto da Saxônia (filósofo)
Escola peripatética
Motor imóvel
Averróis
Tomás de Aquino
Tomismo
Calculadores de Merton College
Nicole d'Oresme
Experimento mental
Galileu Galilei
Diálogo sobre os Dois Principais Sistemas do Mundo
Thomas Kuhn
Conatus
Física islâmica medieval
História da ciência
International Standard Book Number
Bibcode
Digital object identifier
Seyyed Hossein Nasr
Routledge
Brill Publishers
Stillman Drake
Pierre Duhem
Alexandre Koyré
JSTOR
