João VII de Constantinopla
Alexandria
Império Bizantino
Filósofo
Teólogo
Matemático
Físico
Escritor
Astrônomo
Latim
490
570
Neoplatonismo
Cristianismo
Patrística
Biblioteca de Alexandria
Egito
Academia de Alexandria
Física
Aristóteles
Astrolábio
Princípio da inércia
Gramática
Alfarábi
Hunaine ibne Ixaque
Tomás de Aquino
Cosmologia
Nicômaco de Gérasa
Filosofia
Escola de Alexandria
Ciência
Museu alexandrino
Anexo:Lista de diretores da Biblioteca de Alexandria
Apolônio de Perga
Arquimedes
Aristarco de Samos
Aristilo
Herófilo
Heron de Alexandria
Euclides
Ptolomeu
Conon de Samos
Téon de Alexandria
Eratóstenes
Hiparco
Erasístrato
Teologia
Escola Catequética de Alexandria
Atanásio
Gregório Taumaturgo
"Dídimo, o Cego"
Dionísio de Alexandria
Héraclas de Alexandria
Cirilo de Alexandria
Clemente de Alexandria
Orígenes
Panteno
Pedro de Alexandria
Filo
Amônio de Hérmias
Heliodoro de Alexandria
Hérmias de Alexandria
Hipátia
"Davi, o Invencível"
Nemésio de Emesa
"Olimpiodoro, o Jovem"
Sinésio
Estêvão de Bizâncio
Edésia
Filologia
Apolônio Eidógrafo
Aristarco de Samotrácia
Aristófanes de Bizâncio
Dídimo Calcêntero
Zenódoto de Éfeso
Literatura
Apolônio de Rodes
Arato de Solos
Calímaco de Cirene
Licofrão de Cálcis
Teócrito
Hesíquio de Alexandria
Dionísio de Trácia
Anexo:Lista de filósofos platônicos antigos
Base Virtual Internacional de Autoridade
Bibsys
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Biblioteca Virtual Miguel de Cervantes
Catálogo de autoridades de nomes e títulos da Catalunha
Consortium of European Research Libraries
CiNii
Encyclopædia Britannica
Faceted Application of Subject Terminology
Gemeinsame Normdatei
Istituto centrale per il catalogo unico delle biblioteche italiane e per le informazioni bibliografiche
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
Biblioteca Nacional da Austrália
Biblioteca Nacional da Grécia
Biblioteca Real dos Países Baixos
Sistema Universitário de Documentação
Enciclopédia Treccani
Biblioteca Nacional do Brasil
Biblioteca Nacional de Portugal
Open Library
Pontifícia Universidade São Tomás de Aquino
École Biblique
Palazzo Castellani (Florença)
Biblioteca Nacional da Polónia
Escola Arqueológica Italiana de Atenas
Biblioteca Nacional da Eslováquia
Universidade Pontifícia de Salamanca
