Discovery Channel
Gold Rush
Clipper (veleiro)
Nova Iorque
São Francisco (Califórnia)
Descoberta
Ouro
Metais
Metal precioso
Mineral
Terra-rara
Minerador
Riqueza
Austrália
Nova Zelândia
Brasil
Chile
África do Sul
Estados Unidos
Canadá
Custo
Migração humana
Lucro
Garimpo
Mina (mineração)
Mercador
Transporte
Oferta
Comércio
Investimento
Historiador
Colonização
História ambiental
Sentimento
Dinamismo
Indivíduo
Imigração
Cultura
Velho Oeste
Dinheiro
Economia
Milagre econômico
Império Romano
Diodoro Sículo
"Plínio, o Velho"
Antigo Egito
República Democrática do Congo
Serra Leoa
Gana
África
Reuters
Contrabando
Emirados Árabes Unidos
Médio Oriente
Europa
Agência de notícias
Tanzânia
Zâmbia
International Standard Book Number
Digital object identifier
