Liga metálica
Ferro
Austenita
Bainita
Martensita
Cementita
Ledeburita
Ferrita
Perlite (aço)
Aço inoxidável
Aço rápido
Ferro fundido
Ferro forjado
Carbono
Magnésio
Crômio
Vanádio
Nióbio
Tungstênio
Deslocamento (defeito cristalino)
Estrutura cristalina
Ductibilidade
Forja
Laminação
Extrusão
Trem
Anatólia
2000 a.C.
Idade do Ferro
1000 a.C.
500 a.C.
Europa
400 a.C.
China
Carvão
Forno
Tarugo
Maleabilidade
Escória (substância)
Egípcios
900 a.C.
Espada
Faca
Temperatura
Química
Classificação SAE
Elemento químico
Sucata
Mineral
Combustível
Enxofre
Fósforo
Resistência dos materiais
Dureza
Níquel
Molibdênio
Alumínio
Corrosão
Cimento
Cerâmica
Jazida mineral
Aciaria
Metalurgia
Siderurgia
Indústria siderúrgica
Infraestrutura (engenharia)
Índia
Corus
ArcelorMittal
Japão
Estados Unidos
Rússia
Coreia do Sul
Alemanha
Turquia
Brasil
Irã
Irão
Itália
Taiwan
Ucrânia
Vietname
México
França
Espanha
Canadá
Polónia
Bangladesh
Dúctil
Elasticidade (mecânica dos sólidos)
Plasticidade
Tensão (mecânica)
Módulo de Young
Limite de escoamento
Deformação
Calor específico
Módulo de elasticidade
Coeficiente de Poisson
Resistência à tração
Aço damasco
Aço temperado
Aço corten
Aço maraging
Arcelor
Gerdau
International Standard Book Number
The Christian Science Monitor
ABNT
Commodity
Açúcar
Algodão
Arroz
Aveia
Azeite
Azeite de dendê
Batata
Borracha natural
Café
Centeio
Cevada
Chá
Colza
Grão de cacau
Linhaça
Milho
Óleo de algodão
Óleo de amendoim
Óleo de soja
Suco de laranja
Soja
Trigo
Almíscar
Âmbar cinza
Banha
Cabra
Casimira
Cavalo
Bos taurus
Lã
Leite
Manteiga
Marfim
Osso
Ovelha
Pena
Pele
Porifera
Sebo (culinária)
Seda
Petróleo
Etanol
Gás natural
Propano
Tório
Urânio
Liga de alumínio
Cobalto
Cobre
Chumbo
Estanho
Zinco
Ouro
Paládio
Platina
Prata
Contrato de futuros
Mercados futuros
Comoditização
Mercantilização do útero
Valor (economia)
Valor de troca
Preço
Valor de uso
Utilidade (economia)
Tesauro de Arte e Arquitetura
Biblioteca Nacional Central de Florença
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Encyclopædia Britannica
Gemeinsame Normdatei
JSTOR
Número de controle da Biblioteca do Congresso
Arquivos Nacionais e Administração de Documentos
Biblioteca Nacional da Dieta
Biblioteca Técnica Nacional de Praga
Enciclopédia Treccani
Medical Subject Headings
Sistema Unificado de Linguagem Médica
