Classificação científica
Reino (biologia)
Plantae
Viridaeplantae
Streptophyta
Divisão (biologia)
Angiosperma
Classe (biologia)
Magnoliopsida
Ordem (biologia)
Solanales
Família (biologia)
Solanaceae
Género (biologia)
Solanum
Espécie
Nomenclatura binomial
Lineu
Sinonímia (taxonomia)
Nomenclatura vernácula
Planta perene
Família
Terófita
Tubérculo
Amido
Cordilheira dos Andes
Lago Titicaca
Batata-doce
Incas
Século XVI
Europa
Grande fome de 1845–1849 na Irlanda
China
Índia
Ano Internacional da Batata
Organização das Nações Unidas
Madeira (região autónoma)
Galiza
Angola
Herbácea
Tomate
Beringela
Rizoma
Talo
Folha
Cálice (botânica)
Corola
Ovário (botânica)
Pistilo
Estigma
Estame
Autógama
Panícula
Inflorescência
Cultivar
Baga
Lóculo
Dicotiledônea
Estolho
Agente patogénico
Pedicelo
Fotoperíodo
Fotoperiodismo
Rotação de culturas
Aeração
PH
Água
Valor energético
Kcal
KJ
Proteína
Carboidrato
Açúcar
Cálcio
Ferro
Magnésio
Fósforo
Potássio
Sódio
Zinco
Cobre
Manganês
Selênio
Vitamina C
Tiamina
Riboflavina
Niacina
Ácido pantotênico
Vitamina B6
Folato
Betacaroteno
Vitamina A
Unidades Internacionais
Vitamina E
Vitamina K
Micronutriente
Fibra dietética
Cozimento
Lixiviação
National Health Service
Solanina
Matéria-prima
Bebidas alcoólicas
Vodca
Bioetanol
Álcool combustível
História da batata
Bolívia
Peru
Cultura wari
Ayacucho (região)
Tiwanaku
Cusco
América pré-colombiana
Colonização espanhola da América
Ilhas Canárias
Inglaterra
Era dos Descobrimentos
Japão
Irlanda
Frederico II da Prússia
Antoine Parmentier
Guerras Napoleónicas
Revolução Industrial
Phytophtora infestans
Escorbuto
Sarampo
Oomiceto
Phytophthora infestans
Oomycetes
Turquia
União Soviética
Alemanha
Reino Unido
Bielorrússia
Polônia
África Subsaariana
Ucrânia
Rússia
Estados Unidos
Bangladesh
França
Polónia
Países Baixos
Canadá
Irã
Irão
Egito
Delta do Nilo
Malawi
Shanxi
Mongólia Interior
Planície Indo-Gangética
Mar Cáspio
Cordilheira de Zagros
Hokkaido
Austrália
Nova Zelândia
Federação Russa
Besouro-da-batata
Myzus persicae
Macrosiphum euphorbiae
Vírus
Português brasileiro
Português europeu
Alternaria solani
McDonalds
Wendy's
Batata frita
Burger King
Arquipélago da Madeira
Navio
América do Sul
Região Autónoma da Madeira
Pontifícia Universidade Católica do Chile
Manitoba
Departamento de Agricultura dos Estados Unidos
International Standard Book Number
Wikimedia
Biblioteca Nacional Central de Florença
Biblioteca Nacional da Espanha
Grande Enciclopédia Soviética
Encyclopædia Britannica
Gran Enciclopedia Aragonesa
Gemeinsame Normdatei
Dicionário Histórico da Suíça
JSTOR
Número de controle da Biblioteca do Congresso
Taxonomia
Australian Plant Name Index
Ecocrop
Enciclopédia da Vida
Organização Europeia e Mediterrânica para a Proteção das Plantas
EUNIS
FloraBase
Flora of North America
Flora of China
Global Biodiversity Information Facility
INaturalist
International Plant Names Index
ITIS
National Biodiversity Network
National Center for Biotechnology Information
The Plant List
Plazi
Tela Botanica
Tropicos
Medical Subject Headings
UNII
