30 de maio
2011
Ônibus espacial
Endeavour (ônibus espacial)
STS-134
Satellite Catalog Number
Indicativo de chamada
Expedição 69
Gravidade
Altitude
Período Orbital
Órbita
Zarya
20 de novembro
1998
2 de novembro
2000
28 de março
2009
18 de dezembro
2024
2021
Língua inglesa
Língua russa
STS-135
Atlantis (ônibus espacial)
Terra
Mir
Rússia
Skylab
Estados Unidos
Exploração espacial
Programas espaciais
Agência Espacial Canadiana
ESA
JAXA
Roskosmos
NASA
Estação espacial
Quilômetro
Órbita terrestre baixa
Aerodinâmica
Gravidade zero
Lei da Gravitação Universal
Peso
Força centrípeta
Português europeu
Português brasileiro
Soyuz
Progress
Agência Espacial Europeia
Agência Japonesa de Exploração Aeroespacial
Turismo espacial
Oceano Pacífico
Laboratório Columbus
Peggy Whitson
Valery Korzun
Rosaviakosmos
Lua
Marte (planeta)
Asteroide
Astrobiologia
Astronomia
Medicina espacial
Ciências da vida
Ciências físicas
Ciência dos materiais
Clima espacial
Meteorologia
Matéria escura
Universo
Espectômetro Magnético Alpha
Telescópio espacial Hubble
Cometa Lovejoy
Expedição 30
Daniel Burbank
Expedição 8
Michael Foale
Vida
Radiação
Próton
Partículas subatômicas
Vento solar
Raios cósmicos
Microgravidade
Extremófilo
Tardígrados
Dessecação
Missão tripulada a Marte
Ultrassom
Sequência de montagem da ISS
Logística
Metros cúbicos
Quilograma
Kilowatt
Potência
Metro
Comprimento
Boeing
General Electric
McDonnell Douglas
Rockwell International
EUA
Columbus (ISS)
Cannes
França
Kibo
Mitsubishi
Canadarm
William Shepherd
Yuri Gidzenko
Sergei Krikalev
Actividade extraveicular
Ronald Reagan
Guerra Fria
Guerra fria
Canadá
Japão
Bélgica
Dinamarca
Alemanha
Itália
Países Baixos
Noruega
Espanha
Suécia
Suíça
Reino Unido
Invasão da Ucrânia pela Rússia em 2022
Boris Johnson
Roscosmos
Brasil
Marcos César Pontes
Lusófono
Embraer
Proton (família de foguetes)
Unity Node
STS-88
ISS Zvezda
Módulo Laboratório Destiny
STS-98
ISS Quest
STS-104
ISS Pirs
ISS Node 2
Discovery (ônibus espacial)
STS-120
STS-122
STS-123
STS-124
Minimódulo de Pesquisa 2
ISS Node 3
STS-130
Cúpula (ISS)
Minimódulo de Pesquisa 1
STS-132
Módulo de Logística Multifuncional
STS-133
Módulo do Laboratório Multifuncional
Prichal
Sol
Rádio (comunicação)
Telemetria
Very high frequency
Segmento Orbital Russo
