Urbana (Illinois)
Chicago
Graceland Cemetery
Alma mater
Universidade da Cidade do Cabo
Universidade de Illinois em Urbana-Champaign
Universidade de Chicago
Roteirista
Jornalista
Repórter
Escritor
Apresentador
Apresentador de televisão
Prémio Pulitzer de Crítica
Prémio Pulitzer
Catolicismo
Tumor da tiroide
18 de junho
1942
4 de abril
2013
Crítico de cinema
Estados Unidos
Chicago Sun-Times
1967
Internet
Programa de televisão
Gene Siskel
1999
2006
Cirurgia
2008
2009
2010
1975
Emmy
1995
2005
Calçada da Fama
Hollywood
2007
Forbes
Pundit
Bill O'Reilly
Lou Dobbs
Universidade do Colorado em Boulder
1994
Champaign (Illinois)
Hellboy
The Punisher (2004)
American Beauty
Stephen King
Festival de Cannes
The Human Centipede (First Sequence)
Motion Picture Association of America
Filme independente
AdoroCinema
Wikiquote
IMDb
Língua inglesa
TV.com
Base Virtual Internacional de Autoridade
Bibsys
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
CiNii
Encyclopædia Britannica
Faceted Application of Subject Terminology
Gemeinsame Normdatei
Find a Grave
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
Metacritic
Biblioteca Nacional da Austrália
Notable Names Database
Biblioteca Real dos Países Baixos
Sistema Universitário de Documentação
WikiTree
Biblioteca Nacional do Brasil
Open Library
Biblioteca Nacional de Israel
Rotten Tomatoes
Pontifícia Universidade São Tomás de Aquino
AllMovie
AlloCiné
