Tiradentes (Minas Gerais)
Pintura histórica
José Wasth Rodrigues
Mártir
Inconfidência Mineira
12 de novembro
1746
Capitania de Minas Gerais
Estado do Brasil
Reino de Portugal
21 de abril
1792
Rio de Janeiro
Capitania do Rio de Janeiro
Dentista
Militar
Ativismo
Brasil Colônia
Império Português
Alferes
Cavalaria
Tropeiro
Minerador
Comerciante
Ativista político
Capitanias do Brasil
Polícias militares estaduais brasileiras
Polícia Civil do Brasil
Proclamação da República do Brasil
Tiradentes (feriado nacional)
Minas Gerais
Rio das Mortes (Minas Gerais)
Panteão da Pátria e da Liberdade Tancredo Neves
Ritápolis
São João del-Rei
Portugueses
Propriedade rural
Alpendre
Oratório cristão
Senzala
Vila Rica (Minas Gerais)
Raimundo de Penaforte
José Mariano da Conceição Veloso
Caminho Novo
Serra da Mantiqueira
Crônica (gênero)
Joaquim Manuel de Macedo
Casa de pasto
Rua do Ouvidor (Rio de Janeiro)
José Luís de Castro
Lista dos Vice-Reis do Brasil
Cláudio Manuel da Costa
Tomás Antônio Gonzaga
Inácio José de Alvarenga Peixoto
Comarca do Rio das Mortes
Revolução Americana de 1776
Estados Unidos
Leopoldino de Faria
Pena de morte
Derrama
Quinto (tributo)
Luís da Cunha Meneses
Luís Antônio Furtado de Mendonça
Conde de Barbacena
Francisco de Paula Freire de Andrade
Alvarenga Peixoto
Joaquim Silvério dos Reis
Coronel
Basílio de Brito Malheiro do Lago
Tenente-coronel
Inácio Correia de Pamplona
Açores
Ernesto Gonçalves
Estremoz
Bacamarte
Francisco Xavier Machado
Arquivo Nacional (Brasil)
Wikisource
Inconfidentes
Degredo
D. Maria I
Crime
Crime de lesa-majestade
Ordenações Afonsinas
Ordenações Filipinas
Traição
Francisco Aurélio de Figueiredo e Melo
Pedro Américo
Museu Mariano Procópio
Sábado
Governo-Geral do Rio de Janeiro
Monarquia de Portugal
Bóris Fausto
Vila Rica
Cooptação
Paraíba do Sul
Varginha do Lourenço
Barbacena (Minas Gerais)
Conselheiro Lafaiete
Arrasar e salgar
Maria I de Portugal
Barão Homem de Mello
Revista Illustrada
Uberaba
Ditadura militar no Brasil
José Sarney
Congresso Nacional do Brasil
Estátua
Forca
Belo Horizonte
Brasília
Independência do Brasil
Casa de Bragança
Pedro I do Brasil
Pedro II do Brasil
Código Criminal de 1830
Positivismo
Jesus Cristo
Piolho
Pedro Doria
Século XX
Deodoro da Fonseca
Silva Jardim
Getúlio Vargas
Polícia Militar do Estado do Piauí
Cecília Meireles
Romanceiro da Inconfidência
Juscelino Kubitschek
Ouro Preto
Humberto de Alencar Castelo Branco
Ditadura militar no Brasil (1964–1985)
Kenneth Maxwell
Arquivo Público Mineiro
Prisão
Câmara dos Deputados do Brasil
Cadeia Velha
Palácio Tiradentes
Praça Tiradentes (Rio de Janeiro)
Praça Tiradentes (Ouro Preto)
Museu da Inconfidência
Real (moeda brasileira)
Panteão da Pátria e da Liberdade
Lista de presidentes do Brasil
G.R.E.S. Império Serrano
Mano Décio da Viola
GRES Unidos do Viradouro
Paulo Barros (carnavalesco)
Inconfidência Mineira (filme)
Cármen Santos
Rodolfo Mayer
Cristo de Lama
Wilson Silva
Os Inconfidentes
Joaquim Pedro de Andrade
José Wilker
"Tiradentes, o Mártir da Independência"
Geraldo Vietri
Adriano Reys
Tiradentes (filme)
Oswaldo Caldeira
Humberto Martins
Joaquim (filme)
Marcelo Gomes (cineasta)
Dez Vidas
Ivani Ribeiro
TV Excelsior
Carlos Zara
Saramandaia
Dias Gomes
Rede Globo
Francisco Cuoco
"Liberdade, Liberdade (telenovela)"
Thiago Lacerda
Filipe dos Santos Freire
Alberto Delpino
Pontifícia Universidade Católica de São Paulo
International Standard Book Number
G1
Folha de S.Paulo
Lucas Figueiredo
Joaquim Norberto de Sousa Silva
Ricardo Tosto
Patronos do Brasil
Brasil
Aldo Augusto Voigt
Ayrton Senna
Aleijadinho
Augusto Ruschi
Aureliano Tavares Bastos
Carlos Gomes
Carmen Portinho
Chico Mendes
Hélder Câmara
Luís Alves de Lima e Silva
Eduardo Gomes
Florestan Fernandes
Jorge da Silva Prado
José Bonifácio de Andrada e Silva
Luís Gama
Machado de Assis
Mário Covas
Milton Santos
Nélson Freire Lavanère-Wanderley
Nilo Peçanha
Oscar Niemeyer
Theodor Amstad
Paulo Autran
Paulo Freire
Rose Marie Muraro
Santos Dumont
Tancredo Neves
Tércio Pacitti
Base Virtual Internacional de Autoridade
Museu Britânico
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Consortium of European Research Libraries
Encyclopædia Britannica
Faceted Application of Subject Terminology
Gemeinsame Normdatei
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
Biblioteca Real dos Países Baixos
Sistema Universitário de Documentação
Biblioteca Nacional da Austrália
