Mariana
Brasil
Pintor
Militar (ocupação)
Barroco
18 de outubro
1762
2 de fevereiro
1830
Professor
Decorador
Barroco no Brasil
Pintura rococó
Aleijadinho
Encarnação e estofamento
Perspectiva (gráfica)
Igreja
Pintura brasileira
Brasil colonial
Igreja de São Francisco de Assis (Ouro Preto)
Capitão
Santa Cruz de Alvadia
Tenente
Padre
Sargento
Alferes
João Nepomuceno Correia e Castro
Antônio Martins da Silveira
Arquitetura
Cartografia
Cristo
Santuário do Bom Jesus de Matosinhos
Congonhas
Talha dourada
Dom João VI
Alforria
Concubinato
Igreja Católica
Pianoforte
Rabeca
Viola
Fagote
Música
Contrarreforma
Barroco mineiro
Pintura no Brasil
Ciclo do ouro
Capitania das Minas Gerais
Ópera
Sarau
Pintura
Estatuária
Arte brasileira
Patrimônio da Humanidade
Clero
Mecenas
Confraria
Ordem terceira
Gentio
Cristãos-novos
Devocional
Museu da Inconfidência
Concílio de Trento
Reforma Protestante
Propaganda
Arte
História da arte
Imaculada Conceição
Contemplação
Absolutismo
Dogma
Deus
Alma
Virgem Maria
Retórica
Drama
Rococó
Estilo (arte)
Neoclassicismo
Romantismo
Rio de Janeiro (estado)
Gravura
Academismo
Renascença
Antiguidade
Bíblia de Demarne
Hannah Levy
Sara
Abraão
Anatomia
Simetria
Perspectiva Pictorum et Architectorum
Andrea Pozzo
Epifania
Escorço
Itaverava
Matriz de Santa Bárbara
Santa Bárbara (Minas Gerais)
Myriam Andrade Ribeiro de Oliveira
Igreja São Francisco de Assis (Ouro Preto)
Cimalha
Pedestal
Coluna
Entablamento
Atlante
Pilar
Púlpito
Apóstolos
Igreja Matriz de Santo Antônio de Ouro Branco
Ouro Branco (Minas Gerais)
Santo Antônio de Lisboa
Ponto de fuga
Santíssima Trindade
Igreja São Francisco de Assis (Mariana)
Francisco de Assis
Cilício
Ampulheta
Crânio
Bíblia
Igreja de Nossa Senhora do Rosário dos Pretos (Mariana)
Querubim
Caraça
Acervo Artístico-Cultural dos Palácios do Governo do Estado de São Paulo
Museu de Arte Sacra de Mariana
Catedral de Mariana
Colégio do Caraça
Quaresma
Belo Horizonte
Carlos Drummond de Andrade
Universidade Federal de Minas Gerais
Igreja de Nossa Senhora do Carmo (Ouro Preto)
Ilustrador
Iluminura
Modernistas
Movimento negro no Brasil
Frans Krajcberg
Rodrigo Mello Franco de Andrade
Salomão de Vasconcellos
Itaú Cultural
Santuário do Bom Jesus do Bacalhau
Ir para cima
Wayback Machine
Digital object identifier
Base Virtual Internacional de Autoridade
Consortium of European Research Libraries
Faceted Application of Subject Terminology
Gemeinsame Normdatei
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
Sistema Universitário de Documentação
Biblioteca Nacional do Brasil
Union List of Artist Names
