Who
Bandeira da Organização Mundial da Saúde
Etiópia
Tedros Adhanom
7 de abril
1948
Genebra
Suíça
Língua inglesa
Estrutura da Organização das Nações Unidas
Organização das Nações Unidas
2017
Século XIX
México
Crimeia
Primeira Guerra Mundial
Sociedade de Nações
Saúde
Malária
Tuberculose
Varíola
Poliomielite
Classificação Estatística Internacional de Doenças
Tabaco
Doenças transmissíveis
Doença não transmissível
Doenças tropicais
Hanseníase
Bordão de Asclépio
Dia Mundial da Saúde
Jawaharlal Nehru
Assembleia Geral das Nações Unidas
Epidemiologia
Estados-membros das Nações Unidas
Liechtenstein
Niue
Ilhas Cook
Porto Rico
Tokelau
Estado da Palestina
Santa Sé
Ordem Soberana e Militar de Malta
Vaticano
Taipé Chinesa
Taiwan
Organização não governamental
Fundação Bill e Melinda Gates
Fundação Rockefeller
Agence France-Presse
G1
International Standard Serial Number
Digital object identifier
Wikimedia
História da Organização das Nações Unidas
Sociedade das Nações
Quatro Policiais
Alargamento da Organização das Nações Unidas
Assembleia Parlamentar das Nações Unidas
Bandeira das Nações Unidas
Dia das Nações Unidas
Línguas oficiais da Organização das Nações Unidas
Mandato da ONU
Grupos regionais das Nações Unidas
Geoesquema das Nações Unidas
Sistema das Nações Unidas
Presidentes da Assembleia Geral das Nações Unidas
Observadores da Assembleia Geral das Nações Unidas
Resolução da Assembleia Geral das Nações Unidas
Conselho de Direitos Humanos das Nações Unidas
Conferência das Nações Unidas sobre Comércio e Desenvolvimento
Centro de Comércio Internacional
Programa das Nações Unidas para o Desenvolvimento
Programa das Nações Unidas para o Meio Ambiente
Painel Intergovernamental sobre Mudanças Climáticas
Fundo de População das Nações Unidas
Programa das Nações Unidas para os Assentamentos Humanos
Alto-comissariado das Nações Unidas para os Refugiados
Fundo das Nações Unidas para a Infância
Escritório das Nações Unidas sobre Drogas e Crime
Agência das Nações Unidas de Assistência aos Refugiados da Palestina no Próximo Oriente
ONU Mulheres
Programa Alimentar Mundial
Instituto de Pesquisa das Nações Unidas para o Desenvolvimento Social
Universidade das Nações Unidas
UNAIDS
Escritório das Nações Unidas de Serviços para Projetos
Conselho de Segurança das Nações Unidas
Membros permanentes do Conselho de Segurança das Nações Unidas
Reforma do Conselho de Segurança das Nações Unidas
Poder de veto do Conselho de Segurança das Nações Unidas
Lista de vetos do governo dos Estados Unidos no Conselho de Segurança da ONU
Forças de manutenção da paz das Nações Unidas
Lista das missões de manutenção da paz das Nações Unidas
Polícia das Nações Unidas
Resolução do Conselho de Segurança das Nações Unidas
Tribunal Especial para a Serra Leoa
Tribunal Penal Internacional para a ex-Jugoslávia
Tribunal Penal Internacional para o Ruanda
Comissão de Consolidação da Paz das Nações Unidas
Fundo para a Consolidação da Paz das Nações Unidas
Comissão de Estado-Maior
"Comissão das Nações Unidas de Vigilância, Verificação e Inspeção"
