Unidade de medida
Potência
Sistema Internacional de Unidades
Joule
Segundo
James Watt
Motor a vapor
Newton (unidade)
Eletromagnetismo
Ampere
Potencial elétrico
Volt
Lei de Ohm
Ohm
Resistência elétrica
Deca
Deci
Hecto
Centi
Quilo
Mili
Mega
Micro
Giga
Nano
Tera
Pico (prefixo)
Peta (prefixo)
Femto
Exa
Atto
Zetta
Zepto
Yotta
Yocto
Potência elétrica
Central nuclear
Termodinâmica
Temperatura
Energia térmica
Argentina
Escritório Internacional de Pesos e Medidas
Mecânica
Metro
Metro por segundo
Força
Tempo
Velocidade
Metros por segundo
Trabalho (física)
Kilowatt-hora
Volt-ampere
Tabela de conversão de unidades
International Standard Book Number
Candela
Kelvin
Mol
Quilograma
Becquerel
Coulomb
Grau Celsius
Farad
Gray (unidade)
Henry (unidade)
Hertz
Katal
Lumen (unidade)
Lux
Pascal (unidade)
Radiano
Siemens (unidade)
Sievert
Esferorradiano
Tesla (unidade)
Weber (unidade)
Unidades aceitas para uso com o Sistema Internacional de Unidades
Unidade de massa atômica
Unidade astronômica
Dia
Decibel
Grau (geometria)
Elétron-volt
Hectare
Hora
Litro
Minuto
Minuto de arco
Neper
Segundo de arco
Tonelada
Unidades atômicas
Unidades naturais
Prefixos do Sistema Internacional de Unidades
Lista de unidades epônimas do Sistema Internacional de Unidades
Redefinição do metro em 1983
