Gol
Federação desportiva
Federação Internacional de Futebol
História do futebol
Esporte de contato
Bola de futebol
Jogos Olímpicos
Jogos Olímpicos de Verão de 1900
Jogos Olímpicos de Verão de 1996
Jogos Paralímpicos
Futebol de cinco
Jogos Paralímpicos de Verão de 2004
Futebol de sete
Jogos Paralímpicos de Verão de 1984
Língua inglesa
Esporte
Árbitro
Baliza (desporto)
Português brasileiro
Português europeu
Inglaterra
The Football Association
Regras do futebol
Língua francesa
Acrónimo
Copa do Mundo FIFA
Rugby
Futebol gaélico
Século XIV
Online Etymology Dictionary
Anglofonia
Futebol australiano
Calque
Cronologia do futebol no mundo
Kemari
Japão
Século III a.C.
Século II a.C.
Dinastia Han
China
Cuju
Extremo Oriente
Mar Mediterrâneo
Harpasto
Império Romano
Epísquiro
Grécia Antiga
Ilhas Britânicas
Song Taizu
Era dos Descobrimentos
Novo Mundo
Jogo de bola mesoamericano
Cultura maia
Companhia de Jesus
Manga ñembosarái
Reduções no Paraguai e adjacências
Groenlândia
Oceania
Estados Unidos
Pasuckuakohowog
Alasca
Calcio fiorentino
Século XVII
Idade Média
Rúgbi
Futebol americano
Futebol escolar
Eduardo III de Inglaterra
Florença
Itália
Renascimento
Século XVI
Eton College
Winchester College
Westminster College
Século XIX
Universidade de Cambridge
Regras de Cambridge
Mão
Bola
Pé
Impedimento (futebol)
Escócia 0–0 Inglaterra (1872)
Regras de Sheffield
Tiro livre
Escanteio
Lançamento lateral
Londres
Freemason's Tavern
Blackheath Rugby Club
Seleção Escocesa de Futebol
Seleção Inglesa de Futebol
Críquete
Escócia
British Home Championship
Copa da Inglaterra
Wanderers F.C.
Football League
Preston North End Football Club
Seleção Britânica de Futebol
Futebol nos Jogos Olímpicos de Verão de 1908
Reino Unido da Grã-Bretanha e Irlanda
Associação Escocesa de Futebol
Associação de Futebol do País de Gales
País de Gales
Associação Norte-Irlandesa de Futebol
Ilha da Irlanda
Década de 1880
Império Britânico
Países Baixos
Dinamarca
Nova Zelândia
Argentina
Chile
Confederação Helvética
Bélgica
Alemanha
Uruguai
Hungria
Noruega
Suécia
Federação Belga de Futebol
Real Federação Espanhola de Futebol
Associação Dinamarquesa de Futebol
Federação Francesa de Futebol
Real Associação de Futebol dos Países Baixos
Associação Sueca de Futebol
Associação Suíça de Futebol
Home Nations
Futebol nos Jogos Olímpicos de Verão de 1900
Futebol nos Jogos Olímpicos de Verão de 1904
Jogos Olímpicos Intercalados de 1906
Confederação Sul-Americana de Futebol
Campeonato Sul-Americano de Futebol 1916
Copa América
Seleção Argentina de Futebol
Seleção Brasileira de Futebol
Seleção Chilena de Futebol
Seleção Uruguaia de Futebol
Primeira Guerra Mundial
Futebol nos Jogos Olímpicos de Verão de 1924
Futebol nos Jogos Olímpicos de Verão de 1928
Amsterdã
Barcelona
Copa do Mundo FIFA de 1930
Constituição Uruguaia de 1830
Copa do Mundo FIFA de 1934
Ditadura fascista
Benito Mussolini
Seleção Italiana de Futebol
Copa do Mundo FIFA de 1938
Seleção Húngara de Futebol
Telegrafia
Preto
Partido Nacional Fascista
Segunda Guerra Mundial
FIFA
Europa
Hampden Park
Glasgow
Copa do Mundo FIFA de 1950
Brasil
Maracanaço
Seleção Alemã de Futebol
Seleção Portuguesa de Futebol
Copa do Mundo FIFA de 2006
Wrexham Association Football Club
Football League Two
Século XX
América do Sul
Década de 1950
Década de 1960
Ásia
União das Associações Europeias de Futebol
Confederação Asiática de Futebol
África
Confederação Africana de Futebol
América do Norte
"Confederação de Futebol da América do Norte, Central e Caribe"
Confederação de Futebol da Oceania
Copa da Ásia
1957
Copa Africana de Nações
Campeonato Europeu de Futebol
Copa Ouro da CONCACAF
Copa das Nações da OFC
Liga dos Campeões da UEFA
Taça dos Campeões Europeus 1955-56
Copa Libertadores da América
Taça Libertadores da América de 1960
Copa Intercontinental
Copa do Mundo de Clubes da FIFA
Campeonato Mundial de Clubes da FIFA 2000
Futebol feminino
Seleção Inglesa de Futebol Feminino
Seleção Escocesa de Futebol Feminino
Década de 1990
Copa do Mundo de Futebol Feminino
Final da Copa do Mundo FIFA de 1950
Maracanã
Campeonato Carioca de Futebol de 1963
Coreia do Sul
Televisão
Vídeo
Tempo real
Copa do Mundo de 2006
Radiocomunicação
Milhão
Profissão
Amadorismo
Homem
Mulher
Juventude (idade)
Criança
República Popular da China
Índia
México
Montserrat
Ilhas Virgens Britânicas
Anguila
Ilhas Turcas e Caicos
Merchandising
Franco suíço
Superávit
Orçamento
Federação Alemã de Futebol
Federação Italiana de Futebol
Fundo das Nações Unidas para a Infância
Organização das Nações Unidas
Nuremberga
Instituto Goethe
Design gráfico
Roberto Fontanarrosa
Literatura
Década de 1970
Cinema
Goal!
Goal II: Living the Dream
Goal! 3
Anime
Captain Tsubasa
Música
Voices from the FIFA World Cup
Álbum musical
Videogame
Atari 2600
FIFA (série)
Pro Evolution Soccer
Veterano
International Football Association Board
Reino Unido
Campo de futebol
Goleiro
Poaceae
Grama sintética
Retângulo
Sistema imperial
Metro
Jarda
Grande área
Equipamentos dos jogadores de futebol
Capitão (futebol)
Esfera
Couro
Circunferência
Centímetro
Massa
Grama
Pressão
Atmosfera padrão
Nível do mar
Extremidade superior
Bandeirinha
Minuto
Prorrogação
Morte súbita (futebol)
Gol de prata
Disputa por pênaltis
Pênalti
Regra do gol fora de casa
Segundo
Tiro de meta
Regra 11 (futebol)
Gíria
Posições no futebol
Esquemas táticos
Futebolista
Esquemas táticos do futebol
Guarda-redes
Zagueiro
Lateral (futebol)
Meio-campo
Avançado
Atacante (futebol)
4-4-2
