Classe Virgínia
Marinha dos Estados Unidos
Embarcação
Reator nuclear
Bomba nuclear
Propulsão nuclear
Submarino
Diesel-elétrico
Energia elétrica
Bateria (eletricidade)
USS Nautilus
Tecnologia militar
Estados Unidos
USS Nautilus (SSN-571)
21 de janeiro
1954
União Soviética
Rússia
9 de agosto
1957
Reino Unido
HMS Dreadnought (S101)
21 de outubro
1960
França
Redoutable (S 611)
29 de março
1967
China
26 de dezembro
1970
Índia
INS Arihant
26 de julho
2009
Submarino de propulsão nuclear brasileiro
AUKUS
Guerra das Malvinas
1982
HMS Conqueror
Inglaterra
Afundamento do Cruzador General Belgrano
Marinha Argentina
Grandes potências
Submarino nuclear lançador de mísseis balísticos
Míssil balístico lançado de submarino
Ogiva nuclear
Engenharia
Casco (navio)
Tonelada
Botadura
Kursk (K-141)
Classe Los Angeles
Classe Seawolf
Classe Ohio
Míssil de cruzeiro lançado de submarino
Marinha russa
Tubarão
OTAN
Classe Typhoon
Mísseis balísticos lançados de submarino
Míssil balístico intercontinental
Marinha da França
Marinha britânica
Marinha da China
Mísseis Balísticos Lançados de Submarino
Década de 1970
Marinha do Brasil
Ciclo do Combustível Nuclear
Itaguaí
15 de setembro
2021
Austrália
Expansionismo
Indo-Pacífico
Transferência de tecnologia
Tecnologia nuclear
Turbina a vapor
Ciência militar
Indústria bélica
Indústria de defesa
Submarino lançador de míssil balístico
Submarino porta-aviões
Nova Cultural
New Scientist
Reuters
BBC News
Marinha
