Fronteira Espanha-Portugal
Vilar Formoso
Fontes de Onor
Oceano
Governo
Estados soberanos
Entidades subnacionais
Guerra
Colonização
Espaço Schengen
Badajoz
Zona-tampão
EUA
México
San Diego
Tijuana
Fronteira Finlândia-Noruega
Fronteira Bélgica-Países Baixos
Baarle-Nassau
Treriksröset
Tríplice fronteira
Suécia
Noruega
Finlândia
Argentina
Brasil
Puerto Iguazú
Foz do Iguaçu
Documento de viagem
Polícia de fronteira
Marco de fronteira
Lista de fronteiras terrestres internacionais
Lista de fronteiras terrestres internacionais por comprimento
International Standard Book Number
Geografia
