Avaré
Legumes
Nutrição
Agricultura
Culinária
Plantae
Humano
Alimento
Horta (agricultura)
Horticultura
Olericultura
Fruta
Fruto seco
Especiaria
Cereal
Batata
Raiz
Mandioca
Botânica
Agronomia
Órgão (anatomia)
Legume
Vagem
Feijão
Folha (botânica)
Alface
Caule
Asparagus officinalis
Cenoura
Fruto
Semente
Fava
Pepino
Abóbora
Tomate
Abacate
Pimenta
Ervilha
Água
Cozedura
Lista de hortaliças
Wayback Machine
Theodoro Peckolt
