Itália
Corrado Gini
Língua italiana
1912
Distribuição de renda
Ciências sociais
Mali
Razão
Curva de Lorenz
Lista de países por igualdade de riqueza
Banco Mundial
França de Vichy
Estados Confederados da América
Czarismo
Cesarismo
Sionismo
Pan-arabismo
Lista de unidades federativas do Brasil por índice de Gini
Desigualdade social
Estado de bem-estar social
Índice de Desenvolvimento Humano
Índice de Theil
Índice de Pobreza Humana
Economia
