Reino de Portugal
Estado do Brasil
Império do Brasil
Evolução da bandeira de Portugal
Hino nacional
Hino Patriótico
Continente
Europa
América
África
Ásia
Oceania
Capital
Rio de Janeiro
Lisboa
Língua oficial
Língua portuguesa
Religião oficial
Catolicismo
Forma de governo
Monarquia
Monarquia absoluta
Monarquia constitucional
Lista de monarcas do Brasil
Maria I de Portugal
João VI de Portugal
Poder legislativo
Lista de cortes em Portugal
16 de dezembro
1815
1820
Revolução liberal do Porto
1821
1822
Constituição portuguesa de 1822
7 de setembro
Independência do Brasil
Lista de países e territórios por área
Lista de países por população
Moeda
Real (moeda portuguesa)
Estado
Reino do Brasil
Metrópole
Transferência da corte portuguesa para o Brasil
Príncipe-Regente
Monarquia constitucional (Portugal)
Soberania
Sua Majestade Fidelíssima
Império Português
Pedro I do Brasil
"Príncipe Real do Reino Unido de Portugal, Brasil e Algarves"
Imperador
Rei
25 de março
1824
Constituição brasileira de 1824
Governo brasileiro
Governo português
Cisplatina (província)
Província da Bahia
Província do Piauí
Província do Maranhão
Província do Grão-Pará
Reino Unido da Grã-Bretanha e Irlanda
Tratado de Amizade e Aliança firmado entre Brasil e Portugal
Congresso de Viena
Casa de Bragança
Guerras napoleônicas
União política
Carta régia
Impressão Régia
Banda Oriental
Guerra contra Artigas
Revolução Oriental
Príncipe do Brasil
Imperador do Brasil
Castelo de Estremoz
Pacto Colonial
Decreto de Abertura dos Portos às Nações Amigas
Cortes Gerais e Extraordinárias da Nação Portuguesa
Carlota Joaquina de Bourbon
Monarquia absolutista
Província ultramarina
Província de Pernambuco
Província do Rio de Janeiro
Exército Português
Províncias do Brasil
9 de dezembro
Tribunal da Relação
Casa da Suplicação
Dia do Fico
Arquivo Nacional (Brasil)
Região Nordeste do Brasil
Província
Antônio Carlos Ribeiro de Andrada e Silva
Nicolau de Campos Vergueiro
José Ricardo da Costa Aguiar de Andrada
Francisco de Paula Sousa e Melo
José Feliciano Fernandes Pinheiro
Cipriano Barata
Francisco Muniz Tavares
Diogo Antônio Feijó
Tratado do Rio de Janeiro (1825)
Guerra da Independência do Brasil
Terra
Portugal
Portugal continental
Reino dos Algarves
Açores
Madeira (Portugal)
Brasil
Acre
Paraguai
Uruguai
Guiana Francesa
Cabo Verde
Guiné-Bissau
Ziguinchor
Casamansa
Senegal
Angola
São Tomé e Príncipe
Fortaleza de São João Batista de Ajudá
Benim
Moçambique
Zimbabué
Goa
Damão
Diu
Dadrá e Nagar Aveli
República da Índia
Macau
República Popular da China
Malaca
Malásia
Ceilão
Sri Lanka
Timor-Leste
Solor
Flores (Indonésia)
Indonésia
Papua-Nova Guiné
Ilhas Molucas
Dinastia de Bragança
1816
Pedro III de Portugal
Carlota Joaquina
Colônia de Caiena e Guiana
História do Brasil
História de Portugal
Reino do Algarve
Reino de Portugal e Algarves
Os Algarves
Wikisource
1825
Cultura do Brasil
Artes do Brasil
Cinema do Brasil
Culinária do Brasil
Esporte no Brasil
Feriados no Brasil
Filosofia no Brasil
Folclore brasileiro
Multiculturalismo no Brasil
Problemas sociais do Brasil
Criminalidade no Brasil
Homofobia no Brasil
Intolerância religiosa no Brasil
Racismo no Brasil
Símbolos do Brasil
Bandeira do Brasil
Armas Nacionais do Brasil
Selo Nacional do Brasil
Ordem e Progresso
Hino Nacional Brasileiro
Economia do Brasil
Agricultura no Brasil
Banco Central do Brasil
Lista de empresas do Brasil
Indústria no Brasil
Mineração no Brasil
Real (moeda brasileira)
Pecuária no Brasil
Problemas econômicos do Brasil
Turismo no Brasil
Geografia do Brasil
Biodiversidade no Brasil
Áreas protegidas no Brasil
Biomas do Brasil
