Razão social
Tipos de empresas
Subsidiária
Editora
1950
Victor Civita
São Paulo (cidade)
São Paulo (estado)
Grupo Abril
Giancarlo Civita
Walter Longo
Revista
Jornais
Livros
R$
Brasil
Veja (revista)
Birmann 21
Italkim
César Civita
Arnoldo Mondadori Editore
Itália
Banda desenhada Disney
Milão
1938
Fascismo
Nova York
1941
Buenos Aires
Argentina
História em quadrinhos
Hugo Pratt
Adolfo Aizen
EBAL
Impressora
Peronismo
Rio de Janeiro (estado)
Pato Donald (revista em quadrinhos)
Walt Disney
Mickey Mouse
Pato Donald
Minas Gerais
Capricho
Manequim (revista)
Roberto Civita
Tóquio
Time (revista)
Fortune
Exame (Brasil)
Veja
Realidade (revista)
Playboy
Playboy (Brasil)
Zé Carioca
Claudia (revista)
Quatro Rodas
Recreio (revista)
Placar
VIP (revista)
Men's Health
Nova (revista)
Cosmopolitan
Elle (revista)
Ciência Ilustrada
Guia do Estudante
Info Exame
Superinteressante
Ângelo Rossi
Editora Azul
Contigo!
Boa Forma
Viagem e Turismo
Set (revista)
Bizz
Abril Mídia
MTV
Elemídia
Livro digital
Tablet
Smartphone
Caras
Você S/A
Women’s Health
Fundação Lemann
Editora Caras
Exame (revista)
Fábio Carvalho
Veja São Paulo
Você RH
Editora Globo
Editora Três
Língua italiana
Editora Companhia das Letras
"A Guerra dos Gibis - a formação do mercado editorial brasileiro e a censura aos quadrinhos, 1933-1964"
2004
2020
International Standard Book Number
Universo HQ
G1
Troféu HQ Mix
Troféu HQ Mix de editora do ano
Abril Jovem
Grupo Editorial Record
Devir (editora)
Atitude Publicações
Via Lettera Editora
Conrad Editora
Nona Arte (editora)
Panini Comics
Ediouro Publicações
Companhia das Letras
LeYa
Editora Nemo
Editora JBC
Veneta (editora)
Editora Mino
SESI-SP Editora
Pipoca & Nanquim
Universo Guará
Comix Zone (editora)
National Geographic (revista)
Distribuidora Nacional de Publicações
Somos Educação
Editora Ática
Editora Scipione
"Comunicações, Lazer e Cultura"
Círculo do Livro
RR Donnelley
Editora Nova Cultural
Listel Listas Telefônicas
BellSouth
A Semana em Ação
Bravo! (revista)
Gloss (revista)
Runner's World
Nova Escola
Cosmopolitan (Brasil)
Elle
Mundo Estranho
Casa Claudia
Exame (revista brasileira)
BTG Pactual
Ana Maria (revista)
Aventuras na História
Máxima (revista)
Minha Novela
Ti Ti Ti (revista)
Abril Radiodifusão
BRZ
FizTV
Ideal TV
Spring Comunicação
MTV Brasil
Bravo Brasil
CMT (Brasil)
ESPN (Brasil)
Eurochannel
Canal+
HBO Brasil
HBO Latin America Group
Abril.com
Brasil Online
HuffPost
Verizon Media
Universo Online
Grupo Folha
DirecTV Brasil
DirecTV
TVA
Telefónica
Vivo TV
Ajato
TVA Digisat
Abril Music
Abril Vídeo
Elemidia
Teatro Renault
Base Virtual Internacional de Autoridade
Discogs
Número de controle da Biblioteca do Congresso
