Bandeira de Saba
Latim
Língua portuguesa
The Bottom
Língua neerlandesa
Língua inglesa
Gentílico
Países Baixos Caribenhos
Países Baixos
Reino dos Países Baixos
Quilómetro quadrado
Densidade populacional
Dólar dos Estados Unidos
ISO 4217
Fuso horário
UTC−04:00
Lista de TLDs
.an
.nl
Lista de códigos telefónicos
Ilha
Pequenas Antilhas
Mar do Caribe
Cristóvão Colombo
13 de novembro
1493
1640
1 de janeiro
2010
Antilhas Neerlandesas
Vegetação
Botânica
São Martinho (Países Baixos)
Santo Eustáquio (Países Baixos)
São Cristóvão (São Cristóvão e Neves)
Aeroporto Juancho E. Yrausquin
Ilhas de Sotavento (Antilhas)
Ilhas SSS
Vulcanismo
Monte Scenery
Altitude
Falésia
Igreja Católica
Língua oficial
Papiamento
Windwardside
Geografia dos Países Baixos
Territórios especiais da União Europeia
União Europeia
Dinamarca
Gronelândia
Ilhas Feroe
Espanha
Ilha de Alborão
Ilhote de Alhucemas
Canárias
Ceuta
Ilhas Chafarinas
Melilha
Ilha de Perejil
Ilhote de Vélez de la Gomera
França
Ilha de Clipperton
Guadalupe
Guiana Francesa
Martinica
Maiote
Nova Caledónia
Polinésia Francesa
Ilhas Marquesas
Tuamotu
Ilhas da Sociedade
Reunião (departamento)
São Bartolomeu (coletividade)
São Martinho (França)
São Pedro e Miquelão
Terras Austrais e Antárticas Francesas
Amesterdão (ilha)
Bassas da Índia
Ilhas Crozet
Ilha Europa
Ilhas Gloriosas
Ilha de João da Nova
Ilhas Kerguelen
Ilha de São Paulo (França)
Terra Adélia
Ilha Tromelin
Wallis e Futuna
Itália
Ilha de Pantelária
Ilhas Pelágias
Ilha de Lampedusa
Ilha de Linosa
Ilha de Lampione
Aruba
Bonaire
Curaçau
Portugal
Açores
Ilha de São Miguel
Ilha Terceira
Ilha do Faial
Ilha do Pico
Ilha de São Jorge
Ilha de Santa Maria
Graciosa
Ilha das Flores (Açores)
Ilha do Corvo
Ilhéus das Formigas
Região Autónoma da Madeira
Ilhas Desertas
Ilha da Madeira
Ilha de Porto Santo
Ilhas Selvagens
Comunidade Económica Europeia
1973
1982
Base Virtual Internacional de Autoridade
Encyclopædia Britannica
Gemeinsame Normdatei
Número de controle da Biblioteca do Congresso
OpenStreetMap
GeoNames
Getty Thesaurus of Geographic Names
