Brasil
15 de março
1985
1990
Governo federal
Lista de presidentes do Brasil
Partido do Movimento Democrático Brasileiro
PMDB
PFL
Partido Democrático Social
PTB
Partido Democrata Cristão (1985)
Eleição presidencial no Brasil em 1985
Tancredo Neves
Governo Figueiredo
Governo Collor
História do Brasil
José Sarney
Presidência da República
Fernando Collor
21 de abril
Ditadura militar brasileira
PIB
Renda per capita
Brasília
1984
Ditadura militar no Brasil (1964–1985)
Linha-dura
Diretas Já
Ernesto Geisel
Abertura política
Movimento Democrático Brasileiro
João Figueiredo
Eleição presidencial brasileira de 1985
Paulo Maluf
14 de março
Morte de Tancredo Neves
Aluísio Alves
Vicente Fialho
Ministério da Aeronáutica
Octávio Júlio Moreira Lima
Tenente-brigadeiro-do-ar
Ministério da Agricultura
Pedro Jorge Simon
Iris Rezende Machado
Ministério da Ciência e Tecnologia
Renato Archer
Luiz Henrique da Silveira
Luiz André Rico Vicente
Ralph Biasi
Ministério da Cultura
José Aparecido de Oliveira
Aluísio Pimenta
Celso Monteiro Furtado
Hugo Napoleão do Rego Neto
Ministério da Educação (Brasil)
Marco Maciel
Jorge Konder Bornhausen
Aloísio Guimarães Sotero
Carlos Corrêa de Menezes Sant'anna
Ministério do Exército
Leônidas Pires Gonçalves
General de Exército
Ministério da Fazenda
Francisco Oswaldo Neves Dornelles
Dilson Domingos Funaro
Luiz Carlos Bresser Gonçalves Pereira
Maílson Ferreira da Nóbrega
Luiz Humberto Prisco Viana
Roberto Herbster Gusmão
José Hugo Castelo Branco
Roberto Cardoso Alves
Ministério da Justiça
Fernando Lyra
Paulo Brossard
Oscar Dias Correia
Saulo Ramos
Ministério da Marinha
Henrique Saboia
Almirante-de-esquadra
Ministério da Previdência Social
Waldir Pires
Raphael de Almeida Magalhães
Jader Barbalho
Nélson de Figueiredo Ribeiro
Dante Martins de Oliveira
Marcos de Barros Freire
Lázaro Ferreira Barboza
Ministério da Saúde
Roberto Figueira Santos
Luiz Carlos Borges da Silveira
Seigo Tsuzuki
Ministério das Comunicações
Antônio Carlos Magalhães
Ministério de Minas e Energia
Aureliano Chaves
Iris Rezende
Ministério das Relações Exteriores
Olavo Setúbal
Roberto Costa de Abreu Sodré
Flávio Rios Peixoto da Silveira
Deni Lineu Schwartz
Ministério do Interior (Brasil)
Ronaldo Costa Couto
Joaquim Francisco
João Alves Filho
Ministério do Trabalho
Almir Pazzianotto
Erós Antônio de Almeida
Dorothea Werneck
Ministério dos Transportes
Affonso Alves de Camargo Neto
José Reinaldo Carneiro Tavares
Gabinete de Segurança Institucional da Presidência da República
Rubens Bayma Denys
General-de-divisão
Casa Civil
Luís Roberto Andrade Ponte
Serviço Nacional de Informações
Ivan de Sousa Mendes
General-de-exército
"Ministério do Planejamento, Orçamento e Gestão"
João Sayad
Aníbal Teixeira de Souza
João Batista de Abreu
Décio Leal
Ministério da Desburocratização
Paulo Lustosa
José Saulo Pereira Ramos
Constituição brasileira de 1988
Ulysses Guimarães
Analfabeto
Voto
Constituição
Constituição brasileira de 1967
1º de fevereiro
1987
Assembleia Constituinte de 1988
São Paulo (estado)
PDS
Poder Executivo do Brasil
Forças Armadas do Brasil
1988
Boris Fausto
Plano Cruzado
Cruzeiro (1970–1986)
Cruzado (moeda brasileira)
Gatilho salarial
Correção monetária
Seguro-desemprego
Inflação
Eleições municipais no Brasil em 1985
Eleições gerais no Brasil em 1986
Sergipe
Congresso Nacional do Brasil
Câmara dos Deputados do Brasil
Senado Federal do Brasil
Ágio
Plano Cruzado II
Dílson Funaro
Bresser Pereira
Luís Carlos Bresser Pereira
Plano Bresser
Déficit público
Fundo Monetário Internacional
Maílson da Nóbrega
Plano Verão
Congelamento de preços
Cruzado novo
Recessão econômica
Guerra Fria
Relações entre Brasil e Cuba
Humberto Castelo Branco
Língua portuguesa
Corrupção
Ferrovia Norte-Sul
Nepotismo
Partido da Social Democracia Brasileira
R7
Governo João Figueiredo
Projeto Calha Norte
Posse de José Sarney
Assembleia Nacional Constituinte de 1987
Lista de viagens presidenciais de José Sarney
Fiscal do Sarney
Presidente do Brasil
Deodoro da Fonseca
Governo Deodoro da Fonseca
Floriano Peixoto
Governo Floriano Peixoto
Prudente de Morais
Governo Prudente de Morais
Campos Sales
Governo Campos Sales
Rodrigues Alves
Afonso Pena
Nilo Peçanha
Governo Nilo Peçanha
Hermes da Fonseca
Venceslau Brás
Governo Venceslau Brás
Delfim Moreira
Epitácio Pessoa
Governo Epitácio Pessoa
Artur Bernardes
Governo Artur Bernardes
Washington Luís
Governo Washington Luís
Getúlio Vargas
Era Vargas
José Linhares
Eurico Gaspar Dutra
Governo Eurico Gaspar Dutra
Governo Getúlio Vargas (1951-1954)
Café Filho
Carlos Luz
Nereu Ramos
Juscelino Kubitschek
Governo Juscelino Kubitschek
Jânio Quadros
Governo Jânio Quadros
Ranieri Mazzilli
João Goulart
Governo João Goulart
Governo Castelo Branco
Costa e Silva
Emílio Garrastazu Médici
Governo Emílio Médici
Governo Ernesto Geisel
Itamar Franco
Governo Itamar Franco
Fernando Henrique Cardoso
Governo Fernando Henrique Cardoso
Luiz Inácio Lula da Silva
Governo Lula (2003–2011)
Dilma Rousseff
Governo Dilma Rousseff
Michel Temer
Governo Michel Temer
Jair Bolsonaro
Governo Jair Bolsonaro
Governo Lula (2023–presente)
Palácio do Planalto
Palácio da Alvorada
Residência Oficial da Granja do Torto
Palácio Rio Negro
Catetinho
