Porto (transporte)
Ribeira (Porto)
Ponte de D. Luís (Porto)
Serra do Pilar
Casa da Música
Câmara Municipal do Porto
Palácio da Bolsa
Igreja de Santo Ildefonso
Gentílico
Área
Quilómetro quadrado
População
População residente
Densidade populacional
Freguesia
Câmara municipal (Portugal)
Rui Moreira
NUTS de Portugal
Região Norte (Portugal)
Área Metropolitana do Porto
Distritos de Portugal
Distrito do Porto
Províncias de Portugal
Douro Litoral
Orago
Nossa Senhora da Vandoma
São Pantaleão de Nicomédia
Feriados em Portugal
24 de Junho
João Batista
Código postal
Sítio eletrónico
Lista de municípios de Portugal
Lista de cidades em Portugal
Portugal
Sub-regiões de Portugal
Regiões de Portugal
Região do Norte
Município
Matosinhos
Maia
Gondomar
Vila Nova de Gaia
Oceano Atlântico
Condado Portucalense
Vinho do Porto
Arquitetura
Centro histórico do Porto
Património Mundial
UNESCO
Futebol Clube do Porto
Boavista Futebol Clube
Sport Comércio e Salgueiros
Universidade do Porto
União Europeia
Rio Douro
Altri
Corticeira Amorim
Banco BPI
BIAL
EFACEC
Lactogal
Millennium BCP
Porto Editora
Sonae
Unicer
Grupo RAR
Associação Empresarial de Portugal
História do Porto
Celta
Império Romano
Portus Cale
Invasão muçulmana
Mouro
Tárique
Braga
Califado Omíada
Astúrias
Vímara Peres
Sé do Porto
Antiga Casa da Câmara (Porto)
Nónego
Vendôme
Armada dos Gascões
Munio Viegas
Franceses
Porta de Vandoma
Nossa Senhora de Vandoma
Teresa de Leão
"Hugo, bispo do Porto"
Maria II de Portugal
Fernando I de Portugal
Crise dinástica de 1383–1385
João I de Portugal
Pedro I de Portugal
Galiza
Douro
Castelhanos
João I de Castela
Cerco de Lisboa (1384)
1384
Lisboa
Filipa de Lencastre
Infante D. Henrique
Conquista de Ceuta
Tripas à moda do Porto
Avenida dos Aliados
Liberalismo
Miguel I de Portugal
Guerra Civil Portuguesa (1828-1834)
Cerco do Porto
Antonomásia
Igreja da Lapa (Porto)
Pedro IV de Portugal
"Ordem Militar da Torre e Espada, do Valor, Lealdade e Mérito"
Grande Área Metropolitana do Porto
Estação Espacial Internacional
Quilómetros quadrados
Norte de Portugal
Centro Histórico do Porto
Algarve
Coimbra
Expresso (Portugal)
Clima mediterrânico
Classificação climática de Köppen-Geiger
Corrente quente
Grau Celsius
Precipitação (meteorologia)
Metro
Instituto Português do Mar e da Atmosfera
Área metropolitana do Porto
Periferia
Cidades satélites
Entre Douro e Minho
Bacia hidrográfica
Monarquia de Portugal
Judeus
Inglaterra
Sinagoga
Sinagoga Kadoorie
Judaicas
Panorama
Paços do Concelho do Porto
Grande área metropolitana
Partido Socialista (Portugal)
Partido Social Democrata (Portugal)
CDS – Partido Popular
Frente Eleitoral Povo Unido
Aliança Povo Unido
Coligação Democrática Unitária
Aliança Democrática (2024)
União Democrática Popular
Bloco de Esquerda
Partido Popular Monárquico
Partido Renovador Democrático (Portugal)
Ergue-te
Partido da Terra
Político sem partido
Pessoas–Animais–Natureza
"Nós, Cidadãos!"
Iniciativa Liberal
Chega (partido político)
Livre (partido político)
Volt Portugal
Grupos Dinamizadores de Unidade Popular
Partido Comunista de Portugal (marxista-leninista)
Partido Comunista dos Trabalhadores Portugueses
Liga Comunista Internacionalista (Portugal)
Movimento Democrático Português / Comissão Democrática Eleitoral
Organização Comunista Marxista-Leninista Portuguesa
Partido da Solidariedade Nacional
Partido Socialista Revolucionário (Portugal)
Política XXI
Partido Humanista (Portugal)
Partido da Nova Democracia
Partido Trabalhista Português
Partido Cidadania e Democracia Cristã
Eleições autárquicas portuguesas de 1976 no distrito do Porto
Eleições autárquicas portuguesas de 1979 no distrito do Porto
Eleições autárquicas portuguesas de 1982 no distrito do Porto
Eleições autárquicas portuguesas de 1985 no distrito do Porto
Eleições autárquicas portuguesas de 1989 no distrito do Porto
Eleições autárquicas portuguesas de 1993 no distrito do Porto
Eleições autárquicas portuguesas de 1997 no distrito do Porto
Eleições autárquicas portuguesas de 2001 no distrito do Porto
Eleições autárquicas portuguesas de 2005 no distrito do Porto
Eleições autárquicas portuguesas de 2009 no distrito do Porto
Eleições autárquicas portuguesas de 2013 no distrito do Porto
Eleições autárquicas portuguesas de 2017 no distrito do Porto
Eleições autárquicas portuguesas de 2021 no distrito do Porto
Partido Comunista Português
Frente Republicana e Socialista
Coligação PSD/CDS
Chega
CDU (Portugal)
Geminação de cidades
Alemanha
Jena
Angola
Luanda
Bélgica
Liège
Brasil
Santos
Recife
Cabo Verde
Mindelo (Cabo Verde)
Macau
Região Administrativa Especial
China
Xangai
Espanha
Duruelo de la Sierra
Leão (Espanha)
Vigo
França
Bordéus
Japão
Nagasáqui
Moçambique
Beira (Moçambique)
Reino Unido
Bristol
São Tomé e Príncipe
Neves (São Tomé e Príncipe)
Zâmbia
Ndola
"Aldoar, Foz do Douro e Nevogilde"
Aldoar
Foz do Douro
Nevogilde (Porto)
Bonfim (Porto)
Campanhã
"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória"
Cedofeita
Santo Ildefonso
Sé (Porto)
Miragaia (Porto)
São Nicolau (Porto)
Vitória (Porto)
Lordelo do Ouro e Massarelos
Lordelo do Ouro
Massarelos
Paranhos (Porto)
Ramalde
Eduardo Souto de Moura
Ângelo de Sousa
Avenida da Boavista
Porto de Leixões
Mercadoria
Aeroporto Francisco Sá Carneiro
Idade Média
Noz
Azeite
Velho Mundo
Novo Mundo
Alto Douro
Economia de Portugal
Associação Industrial Portuense
Euronext
Países Baixos
Associação Comercial do Porto
Jornal de Notícias
Estrada
Caminho-de-ferro
Sector terciário
Indústria
Amorim
Torre dos Clérigos
Nicolau Nasoni
Fundação de Serralves
Capital Europeia da Cultura
Porto 2001
Campeonato Europeu de Futebol de 2004
Mercado do Bolhão
Joaquim Massena
Peregrinação
Convento do Bom Pastor (Porto)
Maria do Divino Coração
Papa Leão XIII
Sagrado Coração de Jesus
Venerável
Igreja Católica
Beatificação
Papa Paulo VI
Capela
Museu
Relíquia
Beato
Lonely Planet
Alfândega do Porto
Europa
Wall Street Journal
