29 de abril
1843
Areia (Paraíba)
Província da Paraíba
7 de outubro
1905
Florença
Reino da Itália (1861-1946)
Império do Brasil
Aurélio de Figueiredo
Manuel de Araújo Porto-Alegre
Alma mater
École des Beaux-Arts
Pintor
Romance
Poeta
Comendador
Imperial Ordem da Rosa
Alemanha
Ordem do Santo Sepulcro
Magnum opus
Batalha do Avaí (Pedro Américo)
Independência ou Morte (Pedro Américo)
Movimento artístico
Pintura do Romantismo brasileiro
Academicismo
Cientista
Teoria da arte
Ensaísta
Filósofo
Político
Professor
Brasil
Academismo no Brasil
Naturalista
Academia Imperial de Belas Artes
Paris
Civismo
Pedro II do Brasil
Pintura
Neoclassicismo
Romantismo
Realismo
Alegoria
Bíblia
Vanguarda
Modernista
Cultura brasileira
Ciências Sociais
Sorbonne
Ciências Naturais
Université Libre de Bruxelles
Antiguidades
Numismática
Museu Histórico Nacional
Desenho
Estética
História da arte
Deputado
Pernambuco
Classicismo
Ordem da Rosa
Poesia
Violinista
Região Nordeste do Brasil
Rio de Janeiro (cidade)
Colégio Pedro II
Desenho técnico
Europa
Museu Dom João VI
Ingres
Hippolyte Flandrin
Guido Reni
Théodore Géricault
Arquitetura
Teologia
Literatura
Filosofia
Victor Cousin
Claude Bernard
Michael Faraday
Collège de France
Bélgica
Humanismo
Salão dos Recusados
Escócia
Correio Mercantil
Estrasburgo
Grão-Ducado de Baden
Holanda
Dinamarca
Marrocos
Sicília
Ilhas gregas
Argélia
Meca
Papa Pio IX
Museu Imperial
Museu Nacional de Belas Artes (Brasil)
Portugal
Cônsul (diplomacia)
Lisboa
Arqueologia
Caricatura
Guerra do Paraguai
Conde d'Eu
Luís Guimarães Júnior
Michelangelo
David
Renascença
Uffizi
Victor Meirelles
Gonzaga Duque
Plágio
Andrea Appiani
Estado de São Paulo
Independência ou Morte (pintura)
Exposição Universal de 1889
Ernest Meissonier
Académie des Beaux-Arts
Charles Garnier
Proclamação da República do Brasil
Escola Nacional de Belas Artes
Inconfidência Mineira
Encilhamento
Rodrigues Alves
Barão do Rio Branco
João Pessoa
Mausoléu
Instituto Histórico e Geográfico do Brasil
Casa Museu Pedro Américo
Museu Paulista
Academismo
Missão Artística Francesa
Pintura do Brasil
Lista de pinturas de Pedro Américo
Liberalismo
Cientificismo
Capitalista
Mecenato
Gramática
Semântica
Antiguidade Clássica
Idealismo
Retórica
Humanista
Horace Vernet
Antoine-Jean Gros
Eugène Delacroix
François Gérard
Risorgimento
Barroca
Jacques Courtois
Bernini
Pintura histórica
Símbolo
Moral
Ética
Elite
Barroco
Absolutismo
Direito divino dos reis
Tiradentes esquartejado
Museu Mariano Procópio
Barroco no Brasil
Joachim Lebreton
Missão Francesa
Dom João VI
Jean-Baptiste Debret
Nicolas-Antoine Taunay
Napoleão Bonaparte
Palácio dos Bandeirantes
América do Sul
Iconografia
Simbologia
Arte pompier
Rei Davi
Abisague
Pinacoteca do Estado de São Paulo
Antigo Testamento
Fotografia
História
Filosofia natural
Belas artes
Renascentista
Positivismo
Silvio Romero
Ecletismo
Jules Michelet
Dogma
Educação
Progresso (filosofia)
Beleza
Ideal (ética)
Imprensa no Brasil
Constituição brasileira de 1891
Arquivo Nacional (Brasil)
Ultrarromantismo
Maniqueísmo
Proselitismo
Sertão nordestino
Joaquim Nabuco
Galeria dos Uffizi
Francis Bacon
Kant
Comte
Itália
Laudelino Freire
José Manuel Cardoso de Oliveira
Angelo Agostini
Oscar Guanabarino
Establishment
Asno
Mito fundador
Pedro I do Brasil
Dragão (militar)
Jorge Coli
Topografia
Gilberto Freyre
José Lins do Rego
Sérgio Milliet
Ostracismo
Modernismo brasileiro
Regime militar no Brasil
História do Brasil
Sílvio Romero
Hernâni Donato
Metropolitan Museum of Art
Giovanni Fattori
Batalha de Montebello
Batalha de Friedland
Academia Paraibana de Letras
Telecomunicações Brasileiras S.A.
Museu de Arte de São Paulo
História da arte no Brasil
História da filosofia no Brasil
Lista de pintores do romantismo
Base Virtual Internacional de Autoridade
Biblioteca Nacional da França
Faceted Application of Subject Terminology
Gemeinsame Normdatei
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
Rijksbureau voor Kunsthistorische Documentatie
Sistema Universitário de Documentação
Biblioteca Nacional do Brasil
Câmara dos Deputados do Brasil
Itaú Cultural
Universidade Federal de Santa Catarina
Biblioteca Nacional de Portugal
Union List of Artist Names
