Setembro
Outubro
Novembro
Domingo
Segunda-feira
Terça-feira
Quarta-feira
Quinta-feira
Sexta-feira
Sábado
29 de setembro
30 de setembro
1 de outubro
2 de outubro
3 de outubro
4 de outubro
5 de outubro
6 de outubro
7 de outubro
8 de outubro
9 de outubro
10 de outubro
11 de outubro
13 de outubro
14 de outubro
15 de outubro
16 de outubro
17 de outubro
18 de outubro
19 de outubro
20 de outubro
21 de outubro
22 de outubro
23 de outubro
24 de outubro
25 de outubro
26 de outubro
27 de outubro
28 de outubro
29 de outubro
30 de outubro
31 de outubro
1 de novembro
2 de novembro
Ano
2024
Década
Década de 2020
Século
Século XXI
Milênio
Terceiro milénio d.C.
Calendário gregoriano
Ano bissexto
Oktoberfest
Cristo Redentor
Atentado ao USS Cole
539 a.C.
"Ciro, o Grande"
Babilônia
Império babilônico
1279
Nichiren Shoshu
Japão
1307
Filipe IV de França
Ordem dos Templários
1398
Tratado de Salynas
Lituânia
Samogícia
Cavaleiros Teutônicos
1492
Cristóvão Colombo
San Salvador (Bahamas)
Bahamas
Índia
1654
Delft
Holanda
1799
Jeanne Geneviève Labrosse
1807
Napoleão Bonaparte
Jean-Andoche Junot
Espanha
1808
João VI de Portugal
Banco do Brasil
1809
Palácio de Schönbrunn
Viena
1810
Torres Vedras
Jean-Baptiste Drouet
Valladolid
Portugal
Munique
1822
Brasil
Independência
Pedro I do Brasil
Brasil Império
1825
Guerra da Cisplatina
Batalha de Sarandi
Província da Cisplatina
Uruguai
1835
Diogo Antônio Feijó
Período regencial (Brasil)
1847
Werner von Siemens
Siemens AG
1856
Terremoto
Escala de magnitude de momento
Creta
Egito
Malta
Heraklion
1876
Escola de Minas de Ouro Preto
Claude Henri Gorceix
Pedro II do Brasil
1884
França
Alemanha
Conferência de Berlim
1901
Santos Dumont
Torre Eiffel
Quilômetros
Theodore Roosevelt
Casa Branca
1908
Amazônia
Cândido Rondon
1909
Coritiba Foot Ball Club
1917
Primeira Guerra Mundial
Primeira Batalha de Passchendaele
1928
Pulmão de aço
1931
Rio de Janeiro
1933
Penitenciária Federal de Alcatraz
1936
Fusca
1940
Adolf Hitler
Grã-Bretanha
1943
Reino Unido
Açores
Erwin Rommel
1944
Ocupação da Grécia pelas potências do Eixo
1949
Alemanha Oriental
1954
Lüshunkou
China
União das Repúblicas Socialistas Soviéticas
1958
Bélgica
1959
Aliança Popular Revolucionária Americana
1960
Nikita Khrushchov
Incidente de bater sapatos
Nações Unidas
1962
Tempestade do dia de Colombo em 1962
1964
União Soviética
Voskhod 1
1967
Bomba
Cyprus Airways
Mar Mediterrâneo
1968
Guiné Equatorial
Espanha Franquista
1970
Vietnamização
Richard Nixon
1971
Persépolis
Irão
Reza Pahlevi
Império Aquemênida
1973
Guerra Colonial Portuguesa
Governo da República Portuguesa
1976
Voo Indian Airlines 171
1977
Hua Guofeng
Mao Tsé-Tung
1979
Tufão Tip
1983
Tanaka Kakuei
Lockheed Corporation
1984
Exército Republicano Irlandês
Atentado no Grand Brighton Hotel
Margaret Thatcher
1992
Ulysses Guimarães
Helicóptero
Angra dos Reis
Rio de Janeiro (estado)
1994
Magellan
Voo
Irã
1995
Sol
51 Pegasi b
Sérgio von Helder
Igreja Universal do Reino de Deus
Nossa Senhora da Conceição Aparecida
Rede Record
Chute na santa
1999
Pervez Musharraf
Paquistão
Nawaz Sharif
Golpe de Estado no Paquistão em 1999
Abecásia
Geórgia
2000
USS Cole (DDG-67)
Marinha dos Estados Unidos
Homem-bomba
2002
Atentados em Bali em outubro de 2002
2005
Shenzhou 6
2012
União Europeia
Nobel da Paz
2017
Estados Unidos
UNESCO
Israel
2018
Eugénia de Iorque
2019
Tufão Hagibis
Eliud Kipchoge
Fernando Sabino
Luciano Pavarotti
Hugh Jackman
Cláudia Abreu
Paulo Henrique Ganso
Josh Hutcherson
1008
Imperador Go-Ichijo
1036
1350
Demétrio de Moscou
1389
1533
Asakura Yoshikage
1573
1537
Eduardo VI de Inglaterra
1553
1558
"Maximiliano III, Arquiduque da Áustria"
1618
1746
Lobo de Mesquita
1805
1754
Amelia Darcy
1784
1792
Christian Gottlob Gmelin
1860
1798
1834
Dionísia Gonçalves Pinto
1885
Elmer Ambrose Sperry
1830
1865
Arthur Harden
1867
Boris Sidis
1923
1875
Aleister Crowley
1947
1890
Luís de Freitas Branco
1955
1891
Edith Stein
1942
1896
Eugenio Montale
1981
Gabriel-Marie Garrone
1902
Peng Zhen
1997
1903
Josephine Hutchinson
1998
1906
Piero Taruffi
1988
Joe Cronin
Jorge Góngora
1911
Maribel Vinson
1961
1912
Heinrich Lausberg
1915
Albert Depreitere
2008
Roque Máspoli
2004
1918
Francisco Javier Sáenz de Oiza
1921
Jaroslav Drobný
2001
1922
Hernâni Donato
Leon Eliachar
1987
Jean Wallace
1990
1926
Allan Brown
2011
Nikita Simonyan
Luiz Vieira
2020
Ole-Johan Dahl
1932
Jake Garn
1934
Richard Meier
Cláudio Lembo
1935
2007
1937
Alberto Goldman
Paul Hawkins
1969
