Catedral de Vilnius
Capitólio dos Estados Unidos
Washington
Acordo Ortográfico de 1945
Estilo arquitetónico
Neoclassicismo
Antiguidade Clássica
Arquitetura grega
Arquitetura romana
História da arquitetura
Barroco tardio
Rococó
Grand Tour
Revolução Industrial
Andrea Palladio
Palladianismo
Mundo ocidental
Rússia
Estados Unidos
América Latina
Arquitetura clássica
Arquitetura renascentista
Eclectismo
Monumentalismo
Marie-Joseph Peyre
James Stuart (1713-1788)
Pártenon
François Blondel
Claude Perrault
Charles Perrault
Colen Campbell
Francesco Milizia
Étienne-Louis Boullée
Claude-Nicolas Ledoux
Iluminismo
Racionalismo
Funcionalismo (arquitetura)
Marco Vitrúvio
Giovanni Battista Piranesi
Jean-Jacques Rousseau
Arco de Trajano (Benevento)
Benevento
Cenotáfio de Newton
História da Grécia
História romana
Grécia
Roma
Arqueologia
Herculano
Pompeia
Johann Joachim Winckelmann
Barroco
David Watkin
Academia francesa
Roma Antiga
Revolução industrial
Romantismo
Salina Real de Arc-et-Senans
Isaac Newton
Voltaire
Denis Diderot
Montesquieu
Pierre-François-Léonard Fontaine
Ordem (arquitetura)
Tímpano (arquitetura)
Inglaterra
França
Regent Street
Piccadilly Circus
Arquitetura neogótica
Arquitetura neo-renascentista
Arquitetura neo-barroca
Arquitetura neo-românica
Napoleão Bonaparte
Restauração (Europa)
Estilo império
Neogótico
Ange-Jacques Gabriel
Palácio da Concórdia
Petit Trianon
Praça da Concórdia
Paris
Versalhes
Arquitetura barroca
Balaustrada
Louvre
Frontão
Coluna
Academia de São Lucas
Estilóbato
Hôtel de Condé
Príncipe de Condé
Charles De Wailly
Teatro do Odéon
Ordem dórica
Victor Louis
Grande Teatro de Bordéus
Amiens
Besançon
Bordéus
Ordem coríntia
Jean Chalgrin
Jacques Gondouin
École de Chirurgie
Quatremère de Quincy
Semicúpula
Caixotão
Panteão de Roma
Benjamin Latrobe
Jean-Nicolas-Louis Durand
Escola Politécnica (França)
Giovanni Niccolò Servandoni
Igreja de São Sulpício
Cidade ideal
Utopia
Cruz grega
Jacques-Germain Soufflot
Panteão de Paris
Mausoléu
Catedral de São Paulo (Londres)
Arquitetura gótica
Turim
Basílica de Santa Maria della Salute
Veneza
Nave (arquitetura)
Abóbada de berço
Entablamento
Ordem jónica
Igreja de la Madeleine
Estilo Império
Templo romano
Abóbada
Termas romanas
Louis-Pierre Baltard
Arco do Triunfo (França)
François-Joseph Bélanger
Ferro fundido
Alexandre-Théodore Brongniart
Bolsa de Paris
Coluna de Vendôme
Charles Percier
Napoleão III
Mansarda
Jakob Ignaz Hittorff
Academia de Belas-Artes de Paris
Antoine Chrysostome Quatremère de Quincy
Lyon
Jacques Ignace Hittorff
Gare du Nord
Tesoura (construção)
Catedral de Monreale
Obelisco de Luxor
Holkham Hall
Inigo Jones
Robert Adam
Pitoresco
Chiswick House
William Kent
Lord Burlington
Spencer House
Londres
Arquitetura neogrega
Bath (Somerset)
Fórum Romano
Ordem colossal
William Chambers
Jardim inglês
Alexander Pope
Twickenham
Buckinghamshire
Templo de Vesta (Tivoli)
Tivoli
Oxfordshire
Stourhead
Wiltshire
Salisbury
Glastonbury (Somerset)
James Wyatt
Escócia
Syon House
Erecteion
