ISO 3166
País
Território dependente
Domínio de topo
ISO 3166-2
ISO 3166-3
ISO 4217
Nações Unidas
Território
ISO 3166-2:AF
Afeganistão
ISO 3166-2:ZA
África do Sul
ISO 3166-2:AX
Åland
Ilhas Åland
ISO 3166-2:AL
Albânia
ISO 3166-2:DE
Alemanha
ISO 3166-2:AD
Andorra
ISO 3166-2:AO
Angola
ISO 3166-2:AI
Anguila
ISO 3166-2:AQ
Antártida
ISO 3166-2:AG
Antígua e Barbuda
Arábia Saudita
Argélia
ISO 3166-2:AR
Argentina
ISO 3166-2:AM
Armênia
Arménia
ISO 3166-2:AW
Aruba
ISO 3166-2:AU
Austrália
ISO 3166-2:AT
Áustria
ISO 3166-2:AZ
Azerbaijão
Bahamas
Bangladexe
Bangladesh
Barbados
Barém
Bahrein
Bélgica
Belize
Benim
Bermudas
Bielorrússia
Bolívia
ISO 3166-2:BQ
Países Baixos Caribenhos
Bósnia e Herzegovina
Botsuana
Botswana
Ilha Bouvet
ISO 3166-2:BR
Brasil
Brunei
Bulgária
Burquina Fasso
Burundi
Butão
Cabo Verde
Ilhas Cayman
Ilhas Caimã
Camboja
Camarões
ISO 3166-2:CA
Canadá
Catar
Cazaquistão
República Centro-Africana
Chade
Chéquia
Chile
China
Chipre
Ilhas Cocos
Ilhas Cocos (Keeling)
Colômbia
Comores
República do Congo
República Democrática do Congo
Ilhas Cook
Coreia do Sul
Coreia do Norte
Costa do Marfim
Costa Rica
Croácia
Cuba
ISO 3166-2:CW
Curaçau
Dinamarca
Djibuti
Djibouti
Dominica
República Dominicana
Egito
El Salvador
Emirados Árabes Unidos
Equador
Eritreia
Eslováquia
Eslovênia
Eslovénia
Espanha
Estados Unidos
Estónia
Essuatíni
Esvalbarde
Jan Mayen
Svalbard e Jan Mayen
Etiópia
Ilhas Feroé
Ilhas Feroe
Fiji
Filipinas
Finlândia
França
Gabão
Gâmbia
Gana
Geórgia
Ilhas Geórgia do Sul e Sandwich do Sul
Gibraltar
Granada (país)
Grécia
Groenlândia
Gronelândia
Guadalupe
Guam
Guatemala
Guernsey
Guiana
Guiana Francesa
Guiné-Bissau
Guiné-Conacri
Guiné
Guiné Equatorial
Haiti
Ilha Heard e Ilhas McDonald
Honduras
Hong Kong
Hungria
Iémen
Índia
Indonésia
Iraque
Irã
Irão
Irlanda
Islândia
Israel
Itália
Jamaica
Japão
Jersey
Jordânia
Kuwait
Laos
Lesoto
Letônia
Letónia
