8 de maio
1850
Itu
13 de novembro
1899
Piracicaba
Brasileiros
Pintor
Professor
Gravura
Magnum opus
Movimento artístico
Academicismo
Realismo
Pintura
Desenho
Brasil
Regionalismo (arte)
Cultura caipira
Naturalismo
Gustave Courbet
Jean-François Millet
Salon de Paris
Biografia
Crime passional
Padre
Catedral de Nossa Senhora da Candelária
Arte sacra
Rio de Janeiro (cidade)
Jules Le Chevrel
Victor Meirelles
Pedro Américo
Europa
Ateliê
Retrato
Museu Nacional de Belas Artes (Brasil)
Pinacoteca do Estado de São Paulo
São Paulo (cidade)
1876
Interior paulista
Pedro II do Brasil
23 de março
Franco (moeda)
Roma
Paris
França
Montmartre
École des Beaux-Arts
Alexandre Cabanel
Desenho anatómico
1879
1882
Obra-prima
1880
1881
Itália
Rodolfo Bernardelli
Henrique Bernardelli
Pedro Alexandrino Borges
Vernissage
Imprensa
Barões do café
Faculdade de Direito de São Paulo
Proclamação da República Brasileira
Paisagem
Pintura de gênero
1884
Luiz Gonzaga Duque Estrada
Ordem da Rosa
Segundo reinado
1887
1896
História da arte no Brasil
1893
1894
1892
Caipira
Paulista
Impressionismo
Museu Paulista
Afonso de Taunay
Bandeirantes
Tratado de Tordesilhas
Lista de pinturas de Almeida Júnior
Pintura do realismo
Museu de Arte de São Paulo
Base Virtual Internacional de Autoridade
Discogs
Faceted Application of Subject Terminology
Gemeinsame Normdatei
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
MusicBrainz
Biblioteca Real dos Países Baixos
Rijksbureau voor Kunsthistorische Documentatie
Sistema Universitário de Documentação
Itaú Cultural
Union List of Artist Names
Open Library
