Bandeira de Saint-Barthélemy
Gustavia (cidade)
Língua francesa
Língua crioula de São Bartolomeu
Língua crioula antilhana
Gentílico
Coletividades de ultramar
França
Presidente da França
Emmanuel Macron
Departamentos de ultramar
21 de Fevereiro
2007
Quilómetro quadrado
Densidade populacional
Renda per capita
Índice de Desenvolvimento Humano
Lista de países por Índice de Desenvolvimento Humano
Euro
ISO 4217
Km²
Pequenas Antilhas
Índias Ocidentais
Gustávia (cidade)
Gustavo III da Suécia
Estatuto
Coletividade ultramarina
21 de fevereiro
Mar do Caribe
Ilha de São Martinho
Anguila
Cristóvão Colombo
Bartolomeu Colombo
1648
Ordem de São João
1660
1744
Britânicos
1758
Colônia
Suécia
Guadalupe
Guerras napoleônicas
Luís XVI da França
1784
Gotemburgo
Contrabando
Escravidão
9 de Outubro
1847
Plantation
Antilhas
Cana-de-açúcar
1852
Furacão
Incêndio
1877
Referendo
1878
Brasão
Brasão de armas da Suécia
Blau
19 de março
1946
1960
1970
Paris
Portugueses
Norte de Portugal
Braga
Guimarães
Barcelos
Monção
Lista de territórios dependentes
Lista de Estados soberanos e territórios dependentes da América
Colónias suecas
International Standard Serial Number
International Standard Book Number
INSEE
Territórios especiais da União Europeia
União Europeia
Dinamarca
Gronelândia
Ilhas Feroe
Espanha
Ilha de Alborão
Ilhote de Alhucemas
Canárias
Ceuta
Ilhas Chafarinas
Melilha
Ilha de Perejil
Ilhote de Vélez de la Gomera
Ilha de Clipperton
Guiana Francesa
Martinica
Maiote
Nova Caledónia
Polinésia Francesa
Ilhas Marquesas
Tuamotu
Ilhas da Sociedade
Reunião (departamento)
São Martinho (França)
São Pedro e Miquelão
Terras Austrais e Antárticas Francesas
Amesterdão (ilha)
Bassas da Índia
Ilhas Crozet
Ilha Europa
Ilhas Gloriosas
Ilha de João da Nova
Ilhas Kerguelen
Ilha de São Paulo (França)
Terra Adélia
Ilha Tromelin
Wallis e Futuna
Itália
Ilha de Pantelária
Ilhas Pelágias
Ilha de Lampedusa
Ilha de Linosa
Ilha de Lampione
Países Baixos
Aruba
Bonaire
Curaçau
Saba
Santo Eustáquio (Países Baixos)
São Martinho (Países Baixos)
Portugal
Açores
Ilha de São Miguel
Ilha Terceira
Ilha do Faial
Ilha do Pico
Ilha de São Jorge
Ilha de Santa Maria
Graciosa
Ilha das Flores (Açores)
Ilha do Corvo
Ilhéus das Formigas
Região Autónoma da Madeira
Ilhas Desertas
Ilha da Madeira
Ilha de Porto Santo
Ilhas Selvagens
Comunidade Económica Europeia
1973
1982
Costa do Ouro (colónia dinamarquesa)
Índias Ocidentais Dinamarquesas
Andamão e Nicobar
Serampore
Tharangambadi
Curlândia
Tobago
Ilha James (Gâmbia)
Noruega
Ilha Bouvet
Terra da Rainha Maud
Ilha de Pedro I
Cabo Corso (colónia da Suécia)
Nova Suécia
Porto Novo (Índia)
