Bandeira da Sérvia
Brasão de armas da Sérvia
Bože pravde
Europa
Kosovo
Belgrado
Língua sérvia
Gentílico
Sérvios
Parlamentarismo
Lista de presidentes da Sérvia
Aleksandar Vučić
Lista de primeiros-ministros da Sérvia
Assembleia Nacional da Sérvia
Ana Brnabić
Principado da Sérvia (Idade Média)
Grão-Principado da Sérvia
Reino da Sérvia (Idade Média)
Império Sérvio
Principado da Sérvia
Reino da Jugoslávia
República Socialista Federativa da Iugoslávia
1945
Sérvia e Montenegro
Quilómetro quadrado
Lista de países e territórios por área
Fronteira
Hungria
Romênia
Bulgária
Macedônia do Norte
Albânia
Cossovo
Bósnia e Herzegovina
Croácia
Montenegro
2022
Lista de países por população
Densidade populacional
Lista de países por densidade populacional
Produto interno bruto
Paridade do poder de compra
Bilhões
Escalas curta e longa
Renda per capita
Índice de Desenvolvimento Humano
Lista de países por Índice de Desenvolvimento Humano
Coeficiente de Gini
Dinar sérvio
ISO 4217
Fuso horário
Tempo Universal Coordenado
Horário da Europa Central
Horário de verão
ISO 3166-1
Lista de TLDs
.rs
Lista de códigos telefónicos
Língua croata
Idioma húngaro
Língua romena
Língua rutena
Língua eslovaca
Vojvodina
Língua albanesa
Língua turca
Transliteração
País
Capital
Bálcãs
Macedónia do Norte
Independência do Kosovo
Província Autônoma de Cossovo e Metóquia
Jugoslávia
Confederação
5 de junho
República Federal da Jugoslávia
22 de dezembro
2009
União Europeia
Primeira Guerra Mundial
Eslavos meridionais
Reino da Iugoslávia
Plebiscito sobre a independência de Montenegro em 2006
Voivodina
Intervenção militar na Iugoslávia em 1999
Organização das Nações Unidas
Independência do Cossovo
Resolução 1244 do Conselho de Segurança das Nações Unidas
Reconhecimento internacional da independência do Cossovo
Conselho da Europa
Organização para a Segurança e Cooperação na Europa
Parceria para a Paz
Organização de Cooperação Econômica do Mar Negro
País neutro
Organização do Tratado de Segurança Coletiva
História da Sérvia
Vinča (Servia)
Lepenski Vir
Ilírios
Trácios
Dácios
Celtas
Kalemegdan
"Alexandre, o Grande"
Mésia
Panônia
Prevalitana
Dalmácia
Dácia
Macedónia romana
Sirmium
Império Romano
Tetrarquia
Viminacium
Ilírico (província romana)
Mésia (província romana)
Galícia (Europa Central)
Império Romano do Oriente
Cristianismo
Igreja Ortodoxa
Alfabeto cirílico
